entry_id,violent_external,tattoos_scarification,year_from,world_region,year_scaled
897,0,0,1928,East Asia,0.7417776516571234
900,1,0,-150,Southwest Asia,-1.2223742582041246
906,0,0,1963,Europe,0.7748600947972311
910,0,0,1968,North America,0.7795861581029607
914,0,0,1258,Africa,0.10848516868934856
919,0,0,1995,Europe,0.805106899953901
921,0,1,1700,South Asia,0.5262691649158507
924,1,0,1853,Africa,0.6708867020711785
927,1,0,0,Southwest Asia,-1.0805923590322346
928,0,0,1860,North America,0.6775031906992
931,1,0,1580,Europe,0.41284364557833886
933,0,0,144,Europe,-0.9444817358272204
934,1,0,1911,Central Eurasia,0.7257090364176426
935,1,0,1910,Africa,0.7247638237564966
938,1,0,-1600,Southwest Asia,-2.5929326168657267
940,1,0,-31,Europe,-1.1098939515277586
941,0,1,1600,East Asia,0.4317478988012575
942,0,0,1816,Africa,0.635913833608779
943,1,0,1752,North America,0.5754202232954393
944,1,0,1620,Europe,0.4506521520241762
946,1,0,700,South Asia,-0.41894349623008187
949,0,0,1963,North America,0.7748600947972311
950,0,0,1652,Africa,0.480898957180846
952,0,0,1980,Southwest Asia,0.790928710036712
953,0,0,1975,South Asia,0.7862026467309823
957,0,0,-800,Europe,-1.8367624879489808
958,1,0,1540,Europe,0.3750351391325016
960,0,0,1000,South Asia,-0.13537969788630205
961,0,0,1885,Europe,0.7011335072278483
962,1,0,1400,East Asia,0.242705366572071
963,1,0,1119,Europe,-0.022899391209936074
966,1,0,1318,Central Eurasia,0.1651979283581045
967,0,0,1825,Europe,0.6444207475590924
969,0,0,1891,South Asia,0.706804783194724
971,1,1,500,South Asia,-0.6079860284592684
972,1,0,431,Southwest Asia,-0.6732057020783377
973,1,1,1845,South Asia,0.6633250007820111
974,1,0,1204,Southwest Asia,0.0574436849874682
975,0,0,1980,North America,0.790928710036712
976,0,0,1187,South Asia,0.041375069747987346
978,0,0,1500,Southeast Asia,0.33722663268666425
980,0,0,1175,East Asia,0.030032517814236156
982,1,0,-499,Southwest Asia,-1.552253476944055
983,0,0,600,South Asia,-0.5134647623446751
984,0,0,1520,Europe,0.3561308859095829
985,0,0,1108,Europe,-0.03329673048254133
986,0,0,150,Europe,-0.9388104598603448
987,0,0,1600,South Asia,0.4317478988012575
988,0,0,1832,North America,0.6510372361871138
989,0,0,1928,Europe,0.7417776516571234
991,0,0,1944,North America,0.7569010542354584
993,1,0,-712,Europe,-1.7535837737681388
994,1,0,330,Africa,-0.768672180854077
997,1,0,-2950,Africa,-3.868969709412736
1004,1,0,-200,Europe,-1.2696348912614213
1006,1,0,-2670,Africa,-3.6043101642918747
1013,1,0,1510,South Asia,0.3466787592981236
1028,1,0,1100,Europe,-0.040858431771708795
1037,1,0,-1100,Africa,-2.1203262862927605
1038,0,0,1644,East Asia,0.4733372558916786
1041,0,0,1600,East Asia,0.4317478988012575
1043,1,0,1500,Southeast Asia,0.33722663268666425
1044,0,0,-141,East Asia,-1.2138673442538113
1060,0,0,1500,East Asia,0.33722663268666425
1069,0,1,-1504,Africa,-2.5021922013957174
1071,0,0,2001,Africa,0.8107781759207765
1076,1,0,1560,South Asia,0.3939393923554202
1083,0,0,1625,South Asia,0.45537821532990586
1087,1,0,969,Europe,-0.16468129038182597
1127,0,0,1890,East Asia,0.705859570533578
1129,1,0,-700,Europe,-1.7422412218343875
1134,0,1,538,East Asia,-0.572067947335723
1140,0,0,220,East Asia,-0.8726455735801295
1154,0,0,1500,East Asia,0.33722663268666425
1162,0,0,400,East Asia,-0.7025072945738616
1172,0,0,500,East Asia,-0.6079860284592684
1178,0,0,1997,South America,0.8069973252761927
1180,1,1,1600,Southeast Asia,0.4317478988012575
1192,1,1,1945,Southeast Asia,0.7578462668966043
1199,1,1,1905,Africa,0.720037760450767
1220,1,0,1227,Central Eurasia,0.07918357619382466
1229,0,0,1950,Central Eurasia,0.762572330202334
1231,0,0,1100,East Asia,-0.040858431771708795
1241,0,0,1837,East Asia,0.6557632994928435
1247,0,0,1885,North America,0.7011335072278483
1248,0,0,-1972,Southwest Asia,-2.944551726812014
1249,0,0,-294,Europe,-1.3584848814091388
1250,0,0,850,Southwest Asia,-0.27716159705819193
1258,1,0,-1000,Southwest Asia,-2.025805020178167
1259,0,0,1200,Central Eurasia,0.05366283434288447
1268,1,1,360,Southwest Asia,-0.740315801019699
1279,1,0,1593,Southeast Asia,0.42513141017323597
1281,1,1,1910,Africa,0.7247638237564966
1283,1,0,1500,Southeast Asia,0.33722663268666425
1289,1,0,1500,Southeast Asia,0.33722663268666425
1295,1,0,311,Africa,-0.7866312214158496
1300,1,0,1990,North America,0.8003808366481713
1303,0,0,-1400,Southwest Asia,-2.4038900846365405
1304,0,0,1875,North America,0.691681380616389
1307,0,0,1845,North America,0.6633250007820111
1311,0,0,1870,North America,0.6869553173106593
1333,0,0,150,Europe,-0.9388104598603448
1335,0,0,1575,Europe,0.4081175822726092
1340,0,0,1957,Europe,0.7691888188303555
1344,0,0,1840,East Asia,0.6585989374762814
1348,1,0,2012,Southwest Asia,0.8211755151933817
1349,1,0,1124,Central Eurasia,-0.01817332790420641
1352,0,0,2,South Asia,-1.0787019337099428
1370,1,1,1935,Africa,0.748394140285145
1371,1,0,1979,Southwest Asia,0.789983497375566
1374,1,0,1560,Europe,0.3939393923554202
1376,0,0,1900,Africa,0.7153116971450373
1386,0,0,1807,East Asia,0.6274069196584656
1390,1,1,1855,North America,0.6727771273934703
1392,0,0,360,Southwest Asia,-0.740315801019699
1396,0,0,-304,Africa,-1.3679370080205981
1397,1,0,400,North America,-0.7025072945738616
1400,1,0,300,East Asia,-0.7970285606884548
1412,0,0,1838,Central Eurasia,0.6567085121539895
1415,1,0,350,Europe,-0.7497679276311583
1426,1,0,1580,East Asia,0.41284364557833886
1433,0,0,250,Europe,-0.8442891937457515
1434,1,1,1912,South America,0.7266542490787885
1436,0,0,320,Southwest Asia,-0.7781243074655363
1441,1,0,1325,North America,0.17181441698612604
1450,1,1,1855,South America,0.6727771273934703
1454,0,0,1337,Europe,0.18315696891987723
1468,0,0,325,Europe,-0.7733982441598066
1474,1,1,1945,South America,0.7578462668966043
1495,0,0,1997,Europe,0.8069973252761927
1511,1,1,1804,Africa,0.6245712816750277
1517,0,0,1936,Africa,0.7493393529462908
1522,1,0,1781,Africa,0.6028313904686713
1544,1,0,1596,Europe,0.4279670481566738
1555,1,0,1970,Southwest Asia,0.7814765834252526
1570,0,1,1900,South Asia,0.7153116971450373
1574,0,0,-2000,Southwest Asia,-2.9710176813241
1619,1,0,1200,Europe,0.05366283434288447
1621,1,0,1700,Europe,0.5262691649158507
1626,0,0,-800,Europe,-1.8367624879489808
1627,0,0,1978,North America,0.7890382847144201
1636,0,0,814,Europe,-0.31118925285944554
1653,1,0,341,Europe,-0.7582748415814716
1654,1,0,1981,Africa,0.7918739226978578
1667,0,0,1850,Africa,0.6680510640877406
1677,1,0,-1650,Southwest Asia,-2.6401932499230236
1689,0,0,1516,Southwest Asia,0.3523500352649992
1690,1,0,843,Europe,-0.2837780856862135
1694,1,0,1054,Europe,-0.0843382141844217
1697,1,0,450,Europe,-0.655246661516565
1701,1,0,1120,Europe,-0.02195417854879014
1708,1,0,708,Southwest Asia,-0.41138179494091437
1734,0,0,-1600,South America,-2.5929326168657267
1737,1,0,661,Southwest Asia,-0.4558067900147732
1759,0,0,1195,Africa,0.048936771037154804
1776,0,0,1881,Africa,0.6973526565832646
1777,0,0,1881,Africa,0.6973526565832646
1780,0,0,1881,Africa,0.6973526565832646
1781,0,0,1969,Africa,0.7805313707641066
1791,1,0,1100,Southwest Asia,-0.040858431771708795
1820,0,0,1980,Africa,0.790928710036712
1829,0,0,1986,Africa,0.7965999860035875
1835,0,0,1948,Africa,0.7606819048800421
1845,0,0,1018,Europe,-0.11836586998567526
1869,0,1,1930,Africa,0.7436680769794153
1872,0,0,1947,Africa,0.7597366922188962
1897,0,0,1951,Africa,0.7635175428634798
1903,1,0,750,Southwest Asia,-0.3716828631727852
1904,1,0,1800,Africa,0.6207904310304441
1908,1,0,1100,East Asia,-0.040858431771708795
1938,0,0,1850,Southwest Asia,0.6680510640877406
1940,0,0,1950,Africa,0.762572330202334
1943,0,1,1990,South America,0.8003808366481713
1961,0,0,1990,Africa,0.8003808366481713
1966,0,0,1972,Africa,0.7833670087475445
1972,0,0,1970,North America,0.7814765834252526
1974,0,0,1989,Africa,0.7994356239870253
1978,0,0,1965,East Asia,0.776750520119523
1983,0,0,400,Southwest Asia,-0.7025072945738616
1985,0,0,34,Southwest Asia,-1.048455128553273
1993,1,0,-600,Europe,-1.6477199557197943
1994,0,0,1968,Africa,0.7795861581029607
2000,0,0,1933,Africa,0.7465037149628531
2003,1,0,1914,Africa,0.7285446744010804
2006,0,0,1972,Africa,0.7833670087475445
2009,1,0,-800,Europe,-1.8367624879489808
2010,1,0,1240,Europe,0.09147134078872178
2016,1,0,909,Southwest Asia,-0.22139405005058194
2021,1,0,1905,Africa,0.720037760450767
2023,1,0,971,Africa,-0.1627908650595341
2038,1,0,1000,Europe,-0.13537969788630205
2052,0,0,1992,Africa,0.8022712619704631
2054,0,0,1918,Africa,0.7323255250456641
2061,0,0,1800,Africa,0.6207904310304441
2069,1,0,1969,Africa,0.7805313707641066
2070,0,0,2003,Africa,0.8126686012430684
2074,0,0,1905,Africa,0.720037760450767
2084,0,0,1980,Africa,0.790928710036712
2089,1,0,1974,Africa,0.7852574340698363
2104,0,0,1700,Africa,0.5262691649158507
2111,1,0,700,Africa,-0.41894349623008187
2114,0,0,1837,Africa,0.6557632994928435
2116,0,0,1804,Africa,0.6245712816750277
2122,0,0,1978,Africa,0.7890382847144201
2126,0,0,1984,Africa,0.7947095606812956
2133,0,0,1923,Africa,0.7370515883513937
2138,1,0,1916,Africa,0.7304350997233723
2139,1,0,1980,Africa,0.790928710036712
2141,1,0,2002,Africa,0.8117233885819224
2147,1,0,1229,Africa,0.08107400151611652
2149,0,0,330,Europe,-0.768672180854077
2194,0,0,1952,Africa,0.7644627555246258
2203,0,0,-476,East Asia,-1.5305135857376986
2210,0,0,1981,Africa,0.7918739226978578
2228,1,0,1972,Africa,0.7833670087475445
2238,0,0,1700,Africa,0.5262691649158507
2244,1,0,1204,Europe,0.0574436849874682
2245,1,0,652,Europe,-0.4643137039650866
2246,1,0,-819,Africa,-1.8547215285107534
2247,1,0,647,Africa,-0.46903976727081625
2248,0,0,1631,Africa,0.4610494912967814
2256,0,0,1700,Africa,0.5262691649158507
2266,0,0,-571,East Asia,-1.6203087885465621
2273,0,0,1291,East Asia,0.13967718650716435
2274,0,0,1920,Africa,0.734215950367956
2278,0,0,1700,Africa,0.5262691649158507
2290,0,0,1200,Africa,0.05366283434288447
2308,1,0,711,Europe,-0.4085461569574766
