entry_id,violent_external,ornaments,year_from,world_region,year_scaled
632,1,0,-650,Europe,-1.6402892655884063
633,0,0,1238,South Asia,0.09317218495399972
645,0,0,1100,South Asia,-0.03353209479962953
649,0,0,700,South Asia,-0.40079087669420704
654,1,0,1198,Europe,0.056446306764541966
661,0,0,1113,Europe,-0.02159618438805576
667,0,1,1855,East Asia,0.6596688560263856
676,0,0,1198,Europe,0.056446306764541966
680,0,0,1850,South Asia,0.6550781212527034
685,0,1,1940,Southeast Asia,0.7377113471789833
688,0,0,1866,South Asia,0.6697684725284865
690,0,0,1880,South Asia,0.6826225298947967
714,0,1,550,South Asia,-0.5385129199046736
719,0,0,1845,North America,0.6504873864790212
726,0,1,-700,South Asia,-1.6861966133252284
727,1,1,1160,Southeast Asia,0.0215567224845571
729,1,1,1895,Africa,0.6963947342158433
739,1,0,1885,Oceania-Australia,0.6872132646684789
745,1,1,1860,Oceania-Australia,0.6642595908000678
749,0,1,1800,East Asia,0.6091707735158811
755,1,0,1850,Central Eurasia,0.6550781212527034
770,1,0,1920,Southeast Asia,0.7193484080842544
788,0,0,-1500,Southwest Asia,-2.4207141771143834
834,0,0,1982,Southeast Asia,0.776273519277914
841,0,1,1073,South Asia,-0.05832206257751352
842,0,0,1730,North America,0.5449004866843301
846,0,0,645,East Asia,-0.45128895920471146
848,0,1,-200,Southwest Asia,-1.2271231359570065
849,0,0,1750,North America,0.563263425779059
850,1,1,-600,Europe,-1.5943819178515841
851,1,0,1899,North America,0.700067322034789
854,1,1,-400,Europe,-1.4107525269042953
857,0,0,1738,Africa,0.5522456623222216
858,1,0,165,Europe,-0.8919994974782045
859,0,0,135,Europe,-0.9195439061202978
862,0,0,1907,South Asia,0.7074124976726807
867,0,1,1200,South Asia,0.058282600674014855
869,1,1,855,East Asia,-0.2584780987100583
870,0,0,1990,Central Eurasia,0.7836186949158055
871,0,0,1848,North America,0.6532418273432304
877,0,0,1989,Southeast Asia,0.782700547961069
879,0,0,1860,Africa,0.6642595908000678
880,1,0,1870,Southwest Asia,0.6734410603474322
882,0,0,-450,Europe,-1.4566598746411175
883,0,0,1949,Central Eurasia,0.7459746697716113
884,1,0,1907,Africa,0.7074124976726807
885,0,1,-1960,Africa,-2.8430617762931476
886,0,0,1990,Europe,0.7836186949158055
887,0,1,1990,Central Eurasia,0.7836186949158055
891,0,1,1956,South America,0.7524016984547665
892,0,0,1960,North America,0.7560742862737122
896,0,0,800,East Asia,-0.3089761812205627
897,0,0,1928,East Asia,0.726693583722146
900,1,0,-150,Southwest Asia,-1.1812157882201844
906,0,0,1963,Europe,0.7588287271379215
910,0,0,1968,North America,0.7634194619116037
914,0,0,1258,Africa,0.1115351240487286
919,0,0,1995,Europe,0.7882094296894877
921,0,1,1700,South Asia,0.5173560780422368
924,1,1,1853,Africa,0.6578325621169127
927,1,0,0,Southwest Asia,-1.0434937450097177
928,0,0,1860,North America,0.6642595908000678
931,1,0,1580,Europe,0.4071784434738635
933,0,0,144,Europe,-0.9112805835276698
934,1,0,1911,Central Eurasia,0.7110850854916264
935,1,0,1910,Africa,0.71016693853689
938,1,0,-1600,Southwest Asia,-2.5125288725880277
940,1,0,-31,Europe,-1.0719563006065476
941,0,1,1600,East Asia,0.4255413825685924
942,0,0,1816,Africa,0.6238611247916642
943,1,0,1752,North America,0.5650997196885319
944,1,0,1620,Europe,0.4439043216633213
946,1,0,700,South Asia,-0.40079087669420704
949,0,0,1963,North America,0.7588287271379215
950,0,0,1652,Africa,0.4732850242148875
952,0,0,1980,Southwest Asia,0.7744372253684411
953,0,0,1975,South Asia,0.7698464905947588
957,0,0,-800,Europe,-1.778011308798873
958,1,0,1540,Europe,0.3704525652844058
960,0,0,1000,South Asia,-0.12534679027327392
961,0,0,1885,Europe,0.6872132646684789
962,1,1,1400,East Asia,0.2419119916213036
963,1,1,1119,Europe,-0.016087302659637096
966,1,0,1318,Central Eurasia,0.16662394133291522
967,0,0,1825,Europe,0.6321244473842923
969,0,0,1891,South Asia,0.6927221463968976
971,1,0,500,South Asia,-0.5844202676414958
972,1,0,431,Southwest Asia,-0.6477724075183104
973,1,1,1845,South Asia,0.6504873864790212
974,1,0,1204,Southwest Asia,0.06195518849296063
975,0,0,1980,North America,0.7744372253684411
976,0,0,1187,South Asia,0.046346690262441086
978,0,0,1500,Southeast Asia,0.333726687094948
980,0,0,1175,East Asia,0.03532892680560376
983,0,0,600,South Asia,-0.49260557216785145
984,0,0,1520,Europe,0.3520896261896769
985,0,0,1108,Europe,-0.02618691916173798
986,0,0,150,Europe,-0.9057717017992511
987,0,0,1600,South Asia,0.4255413825685924
988,0,0,1832,North America,0.6385514760674473
989,0,0,1928,Europe,0.726693583722146
991,0,0,1944,North America,0.7413839349979291
993,1,0,-712,Europe,-1.6972143767820658
994,1,0,330,Africa,-0.7405052499466913
997,1,0,-2950,Africa,-3.752027261482227
1004,1,0,-200,Europe,-1.2271231359570065
1006,1,0,-2670,Africa,-3.4949461141560225
1013,1,1,1510,South Asia,0.34290815664231244
1037,1,1,-1100,Africa,-2.053455395219806
1038,0,0,1644,East Asia,0.46593984857699594
1041,0,0,1600,East Asia,0.4255413825685924
1043,1,0,1500,Southeast Asia,0.333726687094948
1044,0,0,-141,East Asia,-1.1729524656275563
1060,0,0,1500,East Asia,0.333726687094948
1069,0,1,-1504,Africa,-2.4243867649333293
1071,0,0,2001,Africa,0.7937183114179064
1076,1,1,1560,South Asia,0.38881550437913465
1083,0,0,1625,South Asia,0.4484950564370035
1087,1,0,969,Europe,-0.15380934587010367
1127,0,0,1890,East Asia,0.6918039994421611
1129,1,0,-700,Europe,-1.6861966133252284
1134,0,1,538,East Asia,-0.549530683361511
1140,0,0,220,East Asia,-0.8415014149677001
1154,0,0,1500,East Asia,0.333726687094948
1162,0,0,400,East Asia,-0.6762349631151402
1172,0,1,500,East Asia,-0.5844202676414958
1178,0,0,1997,South America,0.7900457235989606
1180,1,1,1600,Southeast Asia,0.4255413825685924
1192,1,1,1945,Southeast Asia,0.7423020819526656
1199,1,1,1905,Africa,0.7055762037632077
1220,1,0,1227,Central Eurasia,0.08307256845189884
1229,0,0,1950,Central Eurasia,0.7468928167263478
1231,0,1,1100,East Asia,-0.03353209479962953
1241,0,0,1837,East Asia,0.6431422108411295
1247,0,0,1885,North America,0.6872132646684789
1248,0,0,-1972,Southwest Asia,-2.8540795397499847
1249,0,0,-294,Europe,-1.3134289497022322
1250,0,1,850,Southwest Asia,-0.2630688334837405
1258,1,0,-1000,Southwest Asia,-1.9616406997461615
1259,0,0,1200,Central Eurasia,0.058282600674014855
1281,1,1,1910,Africa,0.71016693853689
1289,1,0,1500,Southeast Asia,0.333726687094948
1295,1,0,311,Africa,-0.7579500420866837
1300,1,0,1990,North America,0.7836186949158055
1303,0,0,-1400,Southwest Asia,-2.328899481640739
1304,0,0,1875,North America,0.6780317951211144
1307,0,0,1845,North America,0.6504873864790212
1311,0,0,1870,North America,0.6734410603474322
1323,1,1,1910,Africa,0.71016693853689
1333,0,0,150,Europe,-0.9057717017992511
1335,0,0,1575,Europe,0.4025877087001813
1340,0,0,1957,Europe,0.7533198454095028
1344,0,0,1840,East Asia,0.6458966517053389
1348,1,0,2012,Southwest Asia,0.8038179279200073
1349,1,0,1124,Central Eurasia,-0.011496567885954878
1352,0,0,2,South Asia,-1.0416574511002448
1370,1,1,1935,Africa,0.7331206124053011
1371,1,1,1979,Southwest Asia,0.7735190784137046
1374,1,0,1560,Europe,0.38881550437913465
1376,0,0,1900,Africa,0.7009854689895255
1386,0,0,1807,East Asia,0.6155978021990363
1390,1,1,1855,North America,0.6596688560263856
1392,0,0,360,Southwest Asia,-0.712960841304598
1396,0,0,-304,Africa,-1.3226104192495967
1397,1,0,400,North America,-0.6762349631151402
1400,1,0,300,East Asia,-0.7680496585887846
1412,0,0,1838,Central Eurasia,0.644060357795866
1415,1,0,350,Europe,-0.7221423108519625
1419,1,0,-1550,Africa,-2.4666215248512056
1426,1,0,1580,East Asia,0.4071784434738635
1433,0,0,250,Europe,-0.8139570063256067
1434,1,1,1912,South America,0.7120032324463629
1436,0,0,320,Southwest Asia,-0.7496867194940557
1441,1,1,1325,North America,0.17305097001607034
1450,1,1,1855,South America,0.6596688560263856
1454,0,0,1337,Europe,0.18406873347290767
1468,0,0,325,Europe,-0.7450959847203735
1492,1,1,1925,South America,0.7239391428579366
1495,0,0,1997,Europe,0.7900457235989606
1517,0,0,1936,Africa,0.7340387593600375
1522,1,0,1781,Africa,0.5917259813758887
1544,1,0,1596,Europe,0.4218687947496466
1555,1,0,1970,Southwest Asia,0.7652557558210766
1570,0,1,1900,South Asia,0.7009854689895255
1574,0,0,-2000,Southwest Asia,-2.8797876544826053
1619,1,0,1200,Europe,0.058282600674014855
1621,1,0,1700,Europe,0.5173560780422368
1626,0,0,-800,Europe,-1.778011308798873
1627,0,0,1978,North America,0.7726009314589681
1636,0,0,814,Europe,-0.29612212385425246
1653,1,0,341,Europe,-0.7304056334445904
1654,1,0,1981,Africa,0.7753553723231775
1667,0,0,1850,Africa,0.6550781212527034
1677,1,0,-1650,Southwest Asia,-2.55843622032485
1689,0,0,1516,Southwest Asia,0.3484170383707311
1690,1,0,843,Europe,-0.2694958621668956
1694,1,0,1054,Europe,-0.07576685471750595
1697,1,0,450,Europe,-0.630327615378318
1701,1,0,1120,Europe,-0.015169155704900654
1708,1,0,708,Southwest Asia,-0.39344570105631554
1734,0,0,-1600,South America,-2.5125288725880277
1737,1,0,661,Southwest Asia,-0.4365986079289284
1759,0,0,1195,Africa,0.05369186590033263
1776,0,0,1881,Africa,0.6835406768495331
1777,0,0,1881,Africa,0.6835406768495331
1780,0,0,1881,Africa,0.6835406768495331
1781,0,0,1969,Africa,0.7643376088663402
1791,1,0,1100,Southwest Asia,-0.03353209479962953
1820,0,0,1980,Africa,0.7744372253684411
1829,0,0,1986,Africa,0.7799461070968597
1835,0,1,1948,Africa,0.7450565228168748
1845,0,0,1018,Europe,-0.10882014508801792
1869,0,1,1930,Africa,0.7285298776316189
1872,0,0,1947,Africa,0.7441383758621384
1897,0,0,1951,Africa,0.7478109636810842
1904,1,0,1800,Africa,0.6091707735158811
1908,1,0,1100,East Asia,-0.03353209479962953
1938,0,0,1850,Southwest Asia,0.6550781212527034
1940,0,0,1950,Africa,0.7468928167263478
1943,0,1,1990,South America,0.7836186949158055
1961,0,0,1990,Africa,0.7836186949158055
1966,0,0,1972,Africa,0.7670920497305495
1972,0,0,1970,North America,0.7652557558210766
1974,0,0,1989,Africa,0.782700547961069
1978,0,0,1965,East Asia,0.7606650210473944
1983,0,0,400,Southwest Asia,-0.6762349631151402
1985,0,0,34,Southwest Asia,-1.0122767485486788
1993,1,0,-600,Europe,-1.5943819178515841
1994,0,0,1968,Africa,0.7634194619116037
2000,0,0,1933,Africa,0.7312843184958282
2003,1,0,1914,Africa,0.7138395263558358
2006,0,0,1972,Africa,0.7670920497305495
2009,1,0,-800,Europe,-1.778011308798873
2010,1,1,1240,Europe,0.0950084788634726
2011,0,0,1885,Africa,0.6872132646684789
2016,1,0,909,Southwest Asia,-0.2088981631542903
2021,1,0,1905,Africa,0.7055762037632077
2023,1,0,971,Africa,-0.1519730519606308
2038,1,0,1000,Europe,-0.12534679027327392
2051,0,0,2022,Southeast Asia,0.8129993974673717
2052,0,0,1992,Africa,0.7854549888252784
2054,0,0,1918,Africa,0.7175121141747816
2061,0,1,1800,Africa,0.6091707735158811
2069,1,0,1969,Africa,0.7643376088663402
2070,0,0,2003,Africa,0.7955546053273793
2074,0,0,1905,Africa,0.7055762037632077
2084,0,1,1980,Africa,0.7744372253684411
2089,1,0,1974,Africa,0.7689283436400224
2104,0,0,1700,Africa,0.5173560780422368
2111,1,0,700,Africa,-0.40079087669420704
2114,0,0,1837,Africa,0.6431422108411295
2116,0,0,1804,Africa,0.612843361334827
2122,0,0,1978,Africa,0.7726009314589681
2126,0,0,1984,Africa,0.7781098131873868
2133,0,0,1923,Africa,0.7221028489484638
2138,1,0,1916,Africa,0.7156758202653086
2139,1,0,1980,Africa,0.7744372253684411
2147,1,0,1229,Africa,0.08490886236137173
2178,0,1,1918,Africa,0.7175121141747816
2194,0,0,1952,Africa,0.7487291106358206
2203,0,0,-476,East Asia,-1.480531695464265
2209,0,0,1842,Africa,0.6477329456148118
2210,0,1,1981,Africa,0.7753553723231775
2228,1,0,1972,Africa,0.7670920497305495
2238,0,0,1700,Africa,0.5173560780422368
2244,1,0,1204,Europe,0.06195518849296063
2245,1,0,652,Europe,-0.44486193052155637
2246,1,0,819,Africa,-0.29153138908057025
2247,1,0,647,Africa,-0.4494526652952386
2248,0,0,1631,Africa,0.45400393816542217
2256,0,0,1700,Africa,0.5173560780422368
2266,0,0,-571,East Asia,-1.5677556561642272
2271,1,0,1964,Africa,0.759746874092658
2273,0,0,1291,East Asia,0.14183397355503125
2274,0,0,1920,Africa,0.7193484080842544
2278,0,0,1700,Africa,0.5173560780422368
2279,0,0,1890,Africa,0.6918039994421611
2283,0,0,283,East Asia,-0.7836581568193042
2286,0,1,-3500,South America,-4.257008086587271
2290,0,0,1200,Africa,0.058282600674014855
2297,1,0,1173,Europe,0.03349263289613087
2299,1,0,1100,Southwest Asia,-0.03353209479962953
2308,1,0,711,Europe,-0.3906912601921062
2309,1,0,756,Europe,-0.3493746472289662
2312,1,0,-1800,Africa,-2.6961582635353163
2313,0,0,600,Central Eurasia,-0.49260557216785145
2320,0,0,500,East Asia,-0.5844202676414958
2321,0,0,1992,East Asia,0.7854549888252784
2322,1,0,661,Southwest Asia,-0.4365986079289284
2324,0,0,1970,Africa,0.7652557558210766
2325,0,0,-200,East Asia,-1.2271231359570065
2327,0,0,1900,Africa,0.7009854689895255
2328,0,0,1991,East Asia,0.784536841870542
2329,1,1,1937,Southeast Asia,0.734956906314774
2330,0,0,1893,Africa,0.6945584403063705
2331,1,0,750,Southwest Asia,-0.3548835289573849
2333,0,0,1930,Africa,0.7285298776316189
2339,0,1,1100,Africa,-0.03353209479962953
2346,0,0,1800,Africa,0.6091707735158811
2347,0,0,1222,Africa,0.07848183367821662
2348,1,0,-1200,Southwest Asia,-2.14527009069345
2349,0,0,1738,Africa,0.5522456623222216
2363,1,0,1940,Africa,0.7377113471789833
2365,1,1,1502,Africa,0.3355629810044209
2369,1,0,1787,Africa,0.5972348631043074
2371,0,0,1950,North America,0.7468928167263478
