entry_id,violent_external,permanent_scarring,year_scaled,world_region,tip_name
655,0,1,0.742130951603331,South America,Tup.TUPI_GUARANI.SIRIONO
658,0,0,0.749579934491276,South America,Arc.ARAUCANIAN.MAPUDUNGUN
661,0,0,-0.0064918286351391,Europe,IE.ROMANCE.LATIN
662,0,0,0.7467865659082966,South America,Arw.NORTHERN_ARAWAKAN.WAYUU
666,1,0,0.7393375830203517,Oceania-Australia,EB.EAST_BOUGAINVILLE.MOTUNA
674,0,0,0.7402687058813447,South America,Aym.AYMARAN.CENTRAL_AYMARA
675,1,0,0.7123350200515511,Europe,CK.NORTHERN_CHUKOTKO_KAMCHATKAN.CHUKCHEE
676,0,0,0.0726536145492762,Europe,IE.ROMANCE.LATIN
679,0,0,0.7402687058813447,South Asia,AuA.MUNDA.SANTALI
680,0,0,0.6797457199167919,South Asia,IE.INDIC.GUJARATI
681,1,0,-3.230970296254321,Southwest Asia,AA.SEMITIC.AKKADIAN
682,1,0,0.7309574772714136,South Asia,ST.KUKI_CHIN.NAGA_MARAM
684,1,0,0.4609318475834081,North America,Iro.NORTHERN_IROQUOIAN.WENDAT_HURON
685,0,0,0.7635467774061728,Southeast Asia,An.SAMA_BAJAW.SAMAL
688,0,0,0.6946436856926818,South Asia,IE.INDIC.URDU
689,1,0,0.6974370542756612,South America,Mas.MASCOIAN.LENGUA
690,0,0,0.7076794057465855,South Asia,IE.INDIC.URDU
691,1,0,0.6983681771366543,Africa,Fur.FUR.FUR
694,1,0,0.7076794057465855,North America,NDe.EYAK.EYAK
710,1,0,0.6480875426430257,North America,Sio.SIOUAN.HIDATSA
714,0,0,-0.5307139993742669,South Asia,Dra.SOUTHERN_DRAVIDIAN.TAMIL
719,0,0,0.6750901056118263,North America,IE.GERMANIC.ENGLISH
721,0,0,0.7356130915763792,Southeast Asia,AuA.ASLIAN.LANOH
726,0,0,-1.6946175756156696,South Asia,IE.INDIC.SANSKRIT
727,1,0,0.0372709458315375,Southeast Asia,An.MALAYO_SUMBAWAN.CHAM_EASTERN
728,0,0,0.7523733030742553,Oceania-Australia,IE.GERMANIC.ENGLISH
729,1,0,0.7216462486614823,Africa,NC.BANTOID.GIKUYU
745,1,1,0.6890569485267231,Oceania-Australia,An.OCEANIC.TAIOF
749,0,0,0.6331895768671357,East Asia,Kor.KOREAN.KOREAN
750,1,1,0.6797457199167919,Oceania-Australia,An.OCEANIC.MEKEO
752,1,0,0.3259190327394054,Southeast Asia,An.MALAYO_SUMBAWAN.CHAM_EASTERN
755,1,0,0.6797457199167919,Central Eurasia,Alt.TURKIC.UYGHUR
759,1,0,0.6844013342217574,North America,UA.NUMIC.COMANCHE
763,0,0,0.642500805477067,Oceania-Australia,An.OCEANIC.SOUTH_ISLAND_MAORI
766,0,0,0.7542355487962417,South Asia,ST.BODO_GARO.GARO
770,1,0,0.7449243201863104,Southeast Asia,TK.KAM_TAI.THAI
788,0,0,-2.439515864410167,Southwest Asia,AA.SEMITIC.UGARITIC
794,1,0,0.6704344913068606,North America,Sio.SIOUAN.OMAHA_PONCA
834,0,0,0.802653937567884,Southeast Asia,AuA.VIET_MUONG.VIETNAMESE
841,0,0,-0.043736743074864,South Asia,ST.BODIC.TIBETAN_WRITTEN
842,0,0,0.5680109765976172,North America,IE.GERMANIC.ENGLISH
846,0,0,-0.4422573275799203,East Asia,ST.CHINESE.MIDDLE_CHINESE
848,0,1,-1.2290561451191084,Southwest Asia,AA.SEMITIC.BIBLICAL_HEBREW
849,0,0,0.5866334338174797,North America,Iro.NORTHERN_IROQUOIAN.SENECA
850,1,0,-1.6015052895163573,Europe,IE.CELTIC.OLD_IRISH
851,1,0,0.7253707401054549,North America,IE.GERMANIC.ENGLISH
852,1,1,-1.5083930034170452,Europe,IE.CELTIC.OLD_IRISH
854,1,0,-1.4152807173177329,Europe,IE.CELTIC.OLD_IRISH
857,0,0,0.5754599594855622,Africa,IE.GERMANIC.ENGLISH
859,0,0,-0.9171299866864128,Europe,IE.ROMANCE.LATIN
862,0,0,0.7328197229933998,South Asia,IE.INDIC.GUJARATI
863,0,0,-1.5549491464667011,Europe,IE.GREEK.GREEK_ANCIENT
867,0,0,0.0745158602712624,South Asia,ST.BODIC.TIBETAN_WRITTEN
870,0,0,0.810102920455829,Central Eurasia,Alt.MONGOLIC.MONGOLIAN
871,0,0,0.6778834741948055,Europe,IE.GERMANIC.ENGLISH
877,0,0,0.8091717975948358,Southeast Asia,TK.KAM_TAI.THAI
879,0,0,0.6890569485267231,Africa,IE.GERMANIC.ENGLISH
880,1,1,0.6983681771366543,Southwest Asia,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
882,0,0,-1.461836860367389,Europe,IE.GREEK.GREEK_ANCIENT
883,0,0,0.7719268831551109,Central Eurasia,ST.CHINESE.MANDARIN
884,1,0,0.7328197229933998,Africa,IE.GERMANIC.ENGLISH
885,0,0,0.7821692346260353,Africa,NC.KWA.FONGBE
886,0,0,0.810102920455829,Europe,IE.GERMANIC.ENGLISH
887,0,0,0.810102920455829,Central Eurasia,Alt.MONGOLIC.MONGOLIAN
891,0,0,0.7784447431820628,South America,IE.ROMANCE.SPANISH
892,0,0,0.7821692346260353,North America,IE.GERMANIC.ENGLISH
896,0,0,-0.2979332841259864,East Asia,Jap.JAPANESE.JAPANESE
897,0,0,0.7523733030742553,East Asia,Kor.KOREAN.KOREAN
900,1,0,-1.1825000020694525,Southwest Asia,AA.SEMITIC.BIBLICAL_HEBREW
906,0,0,0.7849626032090147,Europe,IE.GERMANIC.ENGLISH
910,0,0,0.7896182175139802,North America,IE.ROMANCE.SPANISH
914,0,0,0.1285209862088635,Africa,AA.SEMITIC.CLASSICAL_ARABIC
915,0,0,0.8194141490657602,North America,IE.GERMANIC.ENGLISH
919,0,0,0.8147585347607945,Europe,IE.SLAVIC.CROATIAN
921,0,0,0.5400772907678235,South Asia,IE.INDIC.GUJARATI
924,1,0,0.6825390884997712,Africa,NC.NORTHERN_ATLANTIC.WOLOF
927,1,1,-1.042831572920484,Southwest Asia,AA.SEMITIC.BIBLICAL_HEBREW
928,0,0,0.6890569485267231,North America,Sio.SIOUAN.LAKHOTA
931,1,0,0.4283425474486488,Europe,IE.GERMANIC.ENGLISH
933,0,0,-0.9087498809374746,Europe,IE.ROMANCE.LATIN
934,1,0,0.7365442144373723,Central Eurasia,Alt.MONGOLIC.MONGOLIAN
935,1,0,0.7356130915763792,Africa,IE.GERMANIC.ENGLISH
938,1,0,-2.532628150509479,Southwest Asia,AA.SEMITIC.UGARITIC
940,1,0,-1.0716963816112708,Europe,IE.ROMANCE.LATIN
941,0,1,0.4469650046685113,East Asia,ST.CHINESE.MIDDLE_CHINESE
942,0,0,0.6480875426430257,Africa,IE.GERMANIC.ENGLISH
943,1,0,0.5884956795394659,North America,IE.GERMANIC.ENGLISH
944,1,0,0.4655874618883737,Europe,IE.SLAVIC.UKRAINIAN
946,1,0,-0.3910455702252986,South Asia,ST.BODIC.TIBETAN_WRITTEN
948,0,0,-0.9310968296013096,Southwest Asia,IE.GREEK.GREEK_ANCIENT
949,0,0,0.7849626032090147,North America,IE.GERMANIC.ENGLISH
950,0,0,0.4953833934401536,Africa,IE.GERMANIC.ENGLISH
952,0,0,0.8007916918458977,Southwest Asia,AA.SEMITIC.AMHARIC
953,0,0,0.7961360775409321,South Asia,IE.INDIC.NEPALI
957,0,0,-1.7877298617149815,Europe,IE.GREEK.GREEK_ANCIENT
958,1,0,0.391097633008924,Europe,IE.ROMANCE.ITALIAN
960,0,0,-0.1117087119273619,South Asia,ST.BODIC.TIBETAN_WRITTEN
961,0,0,0.7123350200515511,Europe,IE.ROMANCE.ROMANIAN
962,1,0,0.2607404324698869,East Asia,ST.BODIC.TIBETAN_WRITTEN
963,1,0,-0.0009050914691804,Europe,IE.ROMANCE.LATIN
966,1,0,0.1843883578684508,Central Eurasia,IE.IRANIAN.EASTERN_FARSI
967,0,0,0.6564676483919638,Europe,IE.GERMANIC.ENGLISH
969,0,0,0.7179217572175098,South Asia,Dra.SOUTHERN_DRAVIDIAN.TAMIL
971,1,1,-0.577270142423923,South Asia,IE.INDIC.SANSKRIT
972,1,0,-0.6415176198324485,Southwest Asia,AA.SEMITIC.CLASSICAL_SYRIAC
973,1,0,0.6750901056118263,South Asia,AuA.MUNDA.MUNDARI
974,1,0,0.0782403517152349,Southwest Asia,IE.GREEK.GREEK_ANCIENT
975,0,0,0.8007916918458977,North America,IE.GERMANIC.ENGLISH
976,0,0,0.0624112630783518,South Asia,ST.TANI.MISING
978,0,0,0.3538527185691991,Southeast Asia,An.MALAYO_SUMBAWAN.INDONESIAN
980,0,0,0.0512377887464344,East Asia,Jap.JAPANESE.JAPANESE
982,1,1,-1.507461880556052,Southwest Asia,AA.SEMITIC.BIBLICAL_HEBREW
983,0,1,-0.4841578563246108,South Asia,ST.BODIC.TIBETAN_WRITTEN
984,0,0,0.3724751757890615,Europe,IE.ROMANCE.FRENCH
985,0,0,-0.0111474429401047,Europe,IE.ROMANCE.FRENCH
986,0,0,-0.9031631437715156,Europe,IE.GREEK.GREEK_ANCIENT
987,0,0,0.4469650046685113,South Asia,IE.INDIC.GUJARATI
988,0,0,0.6629855084189157,North America,IE.GERMANIC.ENGLISH
989,0,0,0.7523733030742553,Europe,IE.ROMANCE.LATIN
991,0,0,0.7672712688501453,North America,IE.GERMANIC.ENGLISH
993,1,0,-1.705791049947587,Europe,IE.ROMANCE.LATIN
994,1,0,-0.7355610287927538,Africa,AA.SEMITIC.CLASSICAL_SYRIAC
997,1,0,-3.7896440128501943,Africa,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN
1004,1,0,-1.2290561451191084,Europe,IE.ROMANCE.LATIN
1006,1,0,-3.5289296117721203,Africa,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN
1010,0,0,-1.5363266892468388,Europe,IE.GREEK.GREEK_ANCIENT
1013,1,1,0.3631639471791303,South Asia,IE.ROMANCE.PORTUGUESE
1028,1,0,-0.0185964258280497,Europe,IE.GERMANIC.YIDDISH_WESTERN
1037,1,0,-2.0670667200129182,Africa,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN
1038,0,0,0.4879344105522087,East Asia,ST.CHINESE.MIDDLE_CHINESE
1041,0,0,0.4469650046685113,East Asia,Kor.KOREAN.KOREAN
1043,1,1,0.3538527185691991,Southeast Asia,An.MALAYO_SUMBAWAN.ACEH
1044,0,0,-1.1741198963205144,East Asia,ST.CHINESE.OLD_CHINESE
1051,1,0,-2.8678323804670036,Africa,AA.SEMITIC.BIBLICAL_HEBREW
1060,0,0,0.3538527185691991,East Asia,ST.CHINESE.SUZHOU_WU
1071,0,0,0.8203452719267533,Africa,Jap.JAPANESE.JAPANESE
1076,1,0,0.4097200902287864,South Asia,IE.ROMANCE.PORTUGUESE
1083,0,0,0.4702430761933394,South Asia,ST.BODIC.TIBETAN_WRITTEN
1087,1,0,-0.1405735206181487,Europe,IE.SLAVIC.BULGARIAN
1127,0,0,0.7169906343565168,East Asia,Kor.KOREAN.KOREAN
1129,1,0,-1.6946175756156696,Europe,IE.GREEK.GREEK_ANCIENT
1134,0,1,-0.5418874737061844,East Asia,ST.CHINESE.MIDDLE_CHINESE
1136,0,0,0.7356130915763792,East Asia,ST.CHINESE.MANDARIN
1140,0,0,-0.8379845435019972,East Asia,ST.CHINESE.MIDDLE_CHINESE
1154,0,0,0.3538527185691991,East Asia,ST.CHINESE.MANDARIN
1172,0,0,-0.577270142423923,East Asia,ST.CHINESE.MIDDLE_CHINESE
1178,0,0,0.8166207804827808,South America,IE.GERMANIC.ENGLISH
