ID,Name,Glottocode,Glottolog_Name,Family,classification_wals,classification_ethnologue,classification_glottolog
ABUN,ABUN,abun1252,Abun,Abun,Abu.ABUN,Languageisolate_kgr,Abun
ABUNG_SUKADANA_LAMPUNG_NYO,ABUNG_SUKADANA_LAMPUNG_NYO,lamp1242,Lampung Nyo,Austronesian,An.LAMPUNGIC,"Austronesian,Malayo-Polynesian,Lampung","Austronesian,Malayo-Polynesian,Lampungic"
ABURE,ABURE,abur1243,Abure,Atlantic-Congo,NC.TANO,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Western","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,WesternTano"
ABURE_2,ABURE_2,abur1243,Abure,Atlantic-Congo,NC.TANO,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Western","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,WesternTano"
ABURE_3,ABURE_3,abur1243,Abure,Atlantic-Congo,NC.TANO,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Western","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,WesternTano"
ABU_2,ABU_2,abua1245,Abu' Arapesh,Nuclear Torricelli,Tor.KOMBIO-ARAPESH,"Torricelli,Kombio-Arapesh,Arapesh","NuclearTorricelli,Kombio-Arapesh-Urat,Arapesh,Mufian-Bukiyip-Abu,Bukiyip-Abu"
ABU_ARAPESH,ABU_ARAPESH,abua1245,Abu' Arapesh,Nuclear Torricelli,Tor.KOMBIO-ARAPESH,"Torricelli,Kombio-Arapesh,Arapesh","NuclearTorricelli,Kombio-Arapesh-Urat,Arapesh,Mufian-Bukiyip-Abu,Bukiyip-Abu"
ACATECO_SAN_MIGUEL_ACATAN,ACATECO_SAN_MIGUEL_ACATAN,west2635,Akateko,Mayan,May.MAYAN,"Mayan,Yucatecan-CoreMayan,Q'anjob'alan-Chujean,Q'anjob'alan,Q'anjob'al-Akateko-Jakalteko","Mayan,CoreMayan,WesternMayan,Kanjobalan-Chujean,Kanjobalan,Kanjobal-Jacaltec"
ACEH,ACEH,achi1257,Acehnese,Austronesian,An.MALAYO-SUMBAWAN,"Austronesian,Malayo-Polynesian,Malayo-Chamic,Chamic,Acehnese","Austronesian,Malayo-Polynesian,Malayo-Chamic,Aceh-Chamic"
ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,jewi1240,Jewish Babylonian Aramaic (ca. 200-1200 CE),Afro-Asiatic,AA.SEMITIC,"Afro-Asiatic,Semitic,Central,Aramaic,Eastern,Central,Northeastern","Afro-Asiatic,Semitic,WestSemitic,CentralSemitic,NorthwestSemitic,Aramaic,Imperial-Middle-ModernAramaic,Middle-ModernAramaic,EasternAramaic,CentralEasternAramaic,North-EasternNeo-Aramaic"
