entry_id,entrytag_name,entrytag_level,ID,Glottocode,tip_name
537,Tagalog,8,TAGALOG,taga1270,An.GREATER_CENTRAL_PHILIPPINE.TAGALOG
538,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
543,Lele (Papua New Guinea),12,LELE,lele1270,An.OCEANIC.LELE
545,Ekari,4,KAPAUKU,ekar1243,TNG.WISSEL_LAKES_KEMANDOGA.KAPAUKU
548,Tiwi,3,TIWI,tiwi1244,Aus.TIWIAN.TIWI
550,Remun,11,REMUN,remu1237,An.MALAYO_SUMBAWAN.REMUN
553,Akabo,6,AKA_BO,akab1248,GA.GREAT_ANDAMANESE.AKA_BO
557,Burushaski,3,HAIDERABAD_HUNZA_BURUSHASKI,buru1296,Brs.BURUSHASKI.HAIDERABAD_HUNZA_BURUSHASKI
563,Hindi,13,HINDI,hind1269,IE.INDIC.HINDI
564,Nepali,11,NEPALI,nepa1254,IE.INDIC.NEPALI
565,Egyptian Arabic,10,CAIRO_ARABIC,egyp1253,AA.SEMITIC.CAIRO_ARABIC
567,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
570,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
571,Abkhaz,4,ABKHAZ,abkh1244,NWC.NORTHWEST_CAUCASIAN.ABKHAZ
572,Kilivila,13,KILIVILA,kili1267,An.OCEANIC.KILIVILA
574,Konso,10,KOMSO_2,kons1243,AA.LOWLAND_EAST_CUSHITIC.KOMSO_2
576,Kuy,6,KUY,kuyy1240,AuA.KATUIC.KUY
577,Ganda,13,LUGANDA,gand1255,NC.BANTOID.LUGANDA
578,Dandami Maria,9,SOUTH_BASTAR_GONDI,dand1238,Dra.SOUTH_CENTRAL_DRAVIDIAN.SOUTH_BASTAR_GONDI
580,Urdu,13,URDU,urdu1245,IE.INDIC.URDU
581,Mentawai,7,MENTAWAI,ment1249,An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.MENTAWAI
582,Thai,12,THAI_3,thai1261,TK.KAM_TAI.THAI_3
586,Northern Thai,13,TAI_CHIENGMAI,nort2740,TK.KAM_TAI.TAI_CHIENGMAI
588,Nyakyusa-Ngonde,11,NYAKYUSA,nyak1260,NC.BANTOID.NYAKYUSA
589,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
590,Middle Chinese,6,MIDDLE_CHINESE,midd1344,ST.CHINESE.MIDDLE_CHINESE
591,Korean,3,KOREAN,kore1280,Kor.KOREAN.KOREAN
592,Urdu,13,URDU,urdu1245,IE.INDIC.URDU
594,Wolof,6,WOLOF,nucl1347,NC.NORTHERN_ATLANTIC.WOLOF
595,Samoan,13,SAMOAN,samo1305,An.OCEANIC.SAMOAN
598,Masai,8,MAASAI,masa1300,ESu.NILOTIC.MAASAI
599,Nepali,11,NEPALI,nepa1254,IE.INDIC.NEPALI
600,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,6,TARIFIT_GUELAIA,tari1263,AA.BERBER.TARIFIT_GUELAIA
604,Bambara,11,BAMBARA,bamb1269,Man.WESTERN_MANDE.BAMBARA
605,Burmese,9,BURMESE,nucl1310,ST.BURMESE_LOLO.BURMESE
609,Farefare,17,FRAFRA,fare1241,NC.GUR.FRAFRA
610,Somali,10,SOMALI,soma1255,AA.LOWLAND_EAST_CUSHITIC.SOMALI
611,Javanese,6,YOGYAKARTA,java1254,An.JAVANESE.YOGYAKARTA
612,Marshallese,11,EASTERN_MARSHALLESE,mars1254,An.OCEANIC.EASTERN_MARSHALLESE
613,Maori,16,SOUTH_ISLAND_MAORI,maor1246,An.OCEANIC.SOUTH_ISLAND_MAORI
614,South-Eastern Ju,4,KAUEN,juho1239,Kxa.KXA.KAUEN
616,Balinese,7,BALI,bali1278,An.MALAYO_SUMBAWAN.BALI
618,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
619,Amur Nivkh,3,GILYAK_WEST_SAKHALIN,gily1242,Niv.NIVKH.GILYAK_WEST_SAKHALIN
620,Tohono O'odham,6,UPPER_PIMA,toho1245,UA.TEPIMAN.UPPER_PIMA
622,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
623,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
625,Western Canadian Inuktitut,5,KANGIRYUARMIUTUN,west2618,EA.ESKIMO.KANGIRYUARMIUTUN
627,Tikopia,11,TIKOPIA,tiko1237,An.OCEANIC.TIKOPIA
629,Nepali,11,NEPALI,nepa1254,IE.INDIC.NEPALI
630,Alyawarr,7,ALYAWARR_ALYAWARA,alya1239,Aus.PAMA_NYUNGAN.ALYAWARR_ALYAWARA
631,Cha'palaa,4,CAYAPA,chac1249,Bar.BARBACOAN.CAYAPA
632,Ionic-Attic Ancient Greek,8,GREEK_ANCIENT,anci1242,IE.GREEK.GREEK_ANCIENT
633,Konkan Marathi,14,KONKANI,konk1267,IE.INDIC.KONKANI
634,Old Chinese,4,OLD_CHINESE,oldc1244,ST.CHINESE.OLD_CHINESE
635,Tagalog,8,MARINDUQUE_TAGALOG,taga1270,An.GREATER_CENTRAL_PHILIPPINE.MARINDUQUE_TAGALOG
636,Balinese,7,BALI,bali1278,An.MALAYO_SUMBAWAN.BALI
637,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
639,Middle Chinese,6,MIDDLE_CHINESE,midd1344,ST.CHINESE.MIDDLE_CHINESE
645,Hindi,13,HINDI,hind1269,IE.INDIC.HINDI
646,Lakota,7,LAKHOTA,lako1247,Sio.SIOUAN.LAKHOTA
647,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
648,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
649,Tamil,13,TAMIL,tami1289,Dra.SOUTHERN_DRAVIDIAN.TAMIL
650,Lele (Papua New Guinea),12,LELE,lele1270,An.OCEANIC.LELE
651,Ekari,4,KAPAUKU,ekar1243,TNG.WISSEL_LAKES_KEMANDOGA.KAPAUKU
652,Tiwi,3,TIWI,tiwi1244,Aus.TIWIAN.TIWI
654,Latin,8,LATIN,lati1261,IE.ROMANCE.LATIN
655,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
657,Chuukese,17,TRUKESE,chuu1238,An.OCEANIC.TRUKESE
658,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
660,Remun,11,REMUN,remu1237,An.MALAYO_SUMBAWAN.REMUN
662,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
666,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
667,Russian,7,NINILCHIK_RUSSIAN,russ1263,IE.SLAVIC.NINILCHIK_RUSSIAN
671,Fijian,10,FIJIAN_2,fiji1243,An.OCEANIC.FIJIAN_2
673,Pawnee,6,PAWNEE,pawn1254,Cad.CADDOAN.PAWNEE
674,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
675,Russian,7,RUSSIAN,russ1263,IE.SLAVIC.RUSSIAN
676,Latin,8,LATIN,lati1261,IE.ROMANCE.LATIN
677,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
679,Santali,7,SANTALI,sant1410,AuA.MUNDA.SANTALI
680,Urdu,13,URDU,urdu1245,IE.INDIC.URDU
681,Akkadian,5,AKKADIAN,akka1240,AA.SEMITIC.AKKADIAN
682,Zyphe,8,CHIN_ZYPHE,zyph1238,ST.KUKI_CHIN.CHIN_ZYPHE
684,Huron-Wyandot,4,WENDAT_HURON,wyan1247,Iro.NORTHERN_IROQUOIAN.WENDAT_HURON
685,Southern Sama,9,SIBUTU_SOUTHERN_SAMA,sout2918,An.SAMA_BAJAW.SIBUTU_SOUTHERN_SAMA
686,Highland Popoluca,5,SOTEAPAN_ZOQUE,high1276,MZ.MIXE_ZOQUE.SOTEAPAN_ZOQUE
688,Konkan Marathi,14,KONKANI,konk1267,IE.INDIC.KONKANI
689,Enxet Sur,4,LENGUA,sout2989,Mas.MASCOIAN.LENGUA
690,Konkan Marathi,14,KONKANI,konk1267,IE.INDIC.KONKANI
691,Fur,3,FUR,furr1244,Fur.FUR.FUR
694,Eyak,4,EYAK,eyak1241,NDe.EYAK.EYAK
710,Hidatsa,5,HIDATSA,hida1246,Sio.SIOUAN.HIDATSA
