glottolog_name,Glottocode,asjp_id,tip_name
Garrwa,gara1269,GARAWA,Aus.GARRWAN.GARAWA
Wageman,wage1238,WAGIMAN,Aus.WAGIMAN.WAGIMAN
Wardaman,ward1246,WARDAMAN,Aus.YANGMANIC.WARDAMAN
Yangman,yang1288,YANGMAN,Aus.YANGMANIC.YANGMAN
Jaminjung-Ngaliwurru,djam1255,DJAMINDJUNG,Aus.JAMINJUNGAN.DJAMINDJUNG
Jingulu,djin1251,DJINGILI,Aus.WEST_BARKLY.DJINGILI
Ngarnka,ngar1283,GUDANJI,Aus.WEST_BARKLY.GUDANJI
Wambayan,wamb1258,WAMBAYA,Aus.WEST_BARKLY.WAMBAYA
Djeebbana,djee1236,DJEEBBANA,Aus.NDJEBBANA.DJEEBBANA
Nakara,naka1260,NAKARA,Aus.NAKARA.NAKARA
Burarra,bura1267,BURARRA,Aus.BURARRAN.BURARRA
Guragone,gura1252,GURAGONE,Aus.BURARRAN.GURAGONE
Jawoyn,djau1244,DJAUAN,Aus.DJAUAN.DJAUAN
Warray,wara1290,WARAY,Aus.WARAY.WARAY
Anindilyakwa,anin1240,INGURA,Aus.ANINDILYAKWA.INGURA
Wubuy,nung1290,NUNGGUBUYU,Aus.NUNGGUBUYU.NUNGGUBUYU
Ngandi,ngan1295,NGANDI,Aus.NGANDI.NGANDI
Ngalakgan,ngal1293,NGALAKAN,Aus.NGALAKAN.NGALAKAN
Rembarrnga,remb1249,RAINBARNGO,Aus.REMBARNGA.RAINBARNGO
Kunbarlang,kunb1251,GUNBALANG_WARLANG,Aus.GUNWINYGIC.GUNBALANG_WARLANG
Ngalkbun,ngal1292,BUAN,Aus.GUNWINYGIC.BUAN
Bininj Kun-Wok,gunw1252,GUNWINGGU_KUNE,Aus.GUNWINYGIC.GUNWINGGU_KUNE
Bininj Kun-Wok,gunw1252,GUNWINGGU_KUNINJKU,Aus.GUNWINYGIC.GUNWINGGU_KUNINJKU
Bininj Kun-Wok,gunw1252,GUNWINGGU_KUNWINJKU,Aus.GUNWINYGIC.GUNWINGGU_KUNWINJKU
Bininj Kun-Wok,gunw1252,GUNWINGGU_GUN_DJEIHMI,Aus.GUNWINYGIC.GUNWINGGU_GUN_DJEIHMI
Bininj Kun-Wok,gunw1252,GUNWINGGU_MANYALLALUK_MAYALI,Aus.GUNWINYGIC.GUNWINGGU_MANYALLALUK_MAYALI
Kala Lagaw Ya,kala1377,KALA_LAGGAW_YA,Aus.PAMA_NYUNGAN.KALA_LAGGAW_YA
Yanyuwa,yany1243,YANYUWA,Aus.PAMA_NYUNGAN.YANYUWA
Wagaya,waga1260,WAGAYA,Aus.PAMA_NYUNGAN.WAGAYA
Warluwara,warl1256,WARLUWARA,Aus.PAMA_NYUNGAN.WARLUWARA
Djinang,djin1253,DJINANG,Aus.PAMA_NYUNGAN.DJINANG
Djinba,djin1252,DJINBA,Aus.PAMA_NYUNGAN.DJINBA
Nhangu,yann1237,YANANGO,Aus.PAMA_NYUNGAN.YANANGO
Ritharrngu,rita1239,RITHARNGU,Aus.PAMA_NYUNGAN.RITHARNGU
Dayi,dayi1244,DALWONGO,Aus.PAMA_NYUNGAN.DALWONGO
Dhangu,dhan1270,YOLNGUMATHA,Aus.PAMA_NYUNGAN.YOLNGUMATHA
Nuclear Dhuwal,nucl1333,DJAPU,Aus.PAMA_NYUNGAN.DJAPU
Nuclear Dhuwal,nucl1333,DHUWAL,Aus.PAMA_NYUNGAN.DHUWAL
Gumatj,guma1253,GOMAIDJ,Aus.PAMA_NYUNGAN.GOMAIDJ
Djambarrpuyngu,djam1256,DJAMBARRPUYNGU,Aus.PAMA_NYUNGAN.DJAMBARRPUYNGU
Gupapuyngu,gupa1247,GOBABINGO,Aus.PAMA_NYUNGAN.GOBABINGO
Gupapuyngu,gupa1247,MANGGALILI,Aus.PAMA_NYUNGAN.MANGGALILI
Gupapuyngu,gupa1247,MARARBA,Aus.PAMA_NYUNGAN.MARARBA
Guugu Yimidhirr,gugu1255,GUUGU_YIMIDHIR,Aus.PAMA_NYUNGAN.GUUGU_YIMIDHIR
Kuku-Yalanji,kuku1273,KOKO_YALANDJI,Aus.PAMA_NYUNGAN.KOKO_YALANDJI
