entry_id,entry_name,tip_name
1011,Kingdom of Edom,AA.SEMITIC.BIBLICAL_HEBREW
1013,Estado da Índia Renegades in Deccan,IE.ROMANCE.PORTUGUESE
1028,German Pietists (Hasidei Ashkenaz),AA.SEMITIC.BIBLICAL_HEBREW
1037,Third Intermediate Period in Ancient Egypt,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN
1041,Korean Catholicism,Kor.KOREAN.KOREAN
1043,Islam in Aceh,An.MALAYO_SUMBAWAN.ACEH
1044,Han Imperial Cult under Emperor Wu,ST.CHINESE.OLD_CHINESE
1051,Religion at Tell el-Dab'a (ancient Avaris) in Ancient Egypt,AA.SEMITIC.BIBLICAL_HEBREW
1060,The Taizhou Movement,ST.CHINESE.SUZHOU_WU
1069,Religion at Deir el-Medina,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN
1071,Digital Shinto Communities,IE.ROMANCE.PORTUGUESE
1076,Inquisitors of Goa's Santo Ofício,IE.ROMANCE.LATIN
1083,Drukpa Kagyü School (Bhutan),ST.BODIC.TIBETAN_WRITTEN
1087,The Bogomils,IE.SLAVIC.BULGARIAN
1127,Anglican Church of Korea,Kor.KOREAN.KOREAN
1129,Ancient Thessalians,IE.GREEK.GREEK_ANCIENT
1134,Tiantai,ST.CHINESE.MIDDLE_CHINESE
1154,The Cult of the Fox,ST.CHINESE.MANDARIN
1172,Twofold Mystery (Chongxuan 重玄),ST.CHINESE.MIDDLE_CHINESE
1178,Modern Mystery School (MMS),IE.ROMANCE.FRENCH
1180,Batak Traditional Religions,An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.BATAK_ANGKOLA
1191,Religion in Greco-Roman Alexandria,AA.SEMITIC.BIBLICAL_HEBREW
1192,Kaharingan,An.BARITO.SAMIHIM
1210,Mende,Man.WESTERN_MANDE.MENDE
1220,The Cult of Chinggis Khan (a.k.a. Genghis Khan) in Mongolia,Alt.MONGOLIC.MONGOLIAN
1223,Toda,Dra.SOUTHERN_DRAVIDIAN.TODA
1227,Polytheistic Pre-Islamic South Arabia,AA.SEMITIC.SABEAN
1241,Taiping 太平 Movement,ST.CHINESE.HAKKA
1247,Exovedate,IE.ROMANCE.FRENCH
1249,Cult of the Egyptian Gods at Demetrias,IE.GREEK.GREEK
1250,Hanbalism,AA.SEMITIC.IRAQ_MUSLIM_BAGHDAD_ARABIC
1258,Religion in Judah,AA.SEMITIC.BIBLICAL_HEBREW
1259,"The LuWang School, the School of Lu Xiangshan and Wang Yangming",ST.CHINESE.MANDARIN
1268,Monotheistic Pre-Islamic South Arabia,AA.SEMITIC.SABEAN
1279,Mandarese Muslims,An.SOUTH_SULAWESI.MANDAR
1281,Otoro Nuba,Krd.HEIBAN.UTORO
1283,Butonese Muslims,An.CELEBIC.WOLIO
1295,Donatism,IE.ROMANCE.LATIN
1300,"Enlace de Agentes de Pastoral Indígena (EAPI, Network of Indigenous Ministry Agents)",IE.ROMANCE.SPANISH
1304,Peyote Religion (Peyotism) and the Native American Church,IE.GERMANIC.ENGLISH
1307,Southern Baptists,IE.GERMANIC.ENGLISH
1311,Jehovah's Witnesses,IE.GERMANIC.ENGLISH
1323,Luguru,NC.BANTOID.LUGURU
1335,Congregation of the Oratory,IE.ROMANCE.LATIN
1337,Tell Afis (Syria),AA.SEMITIC.AMEDYA_ARAMAIC
1340,International Sivananda Yoga Vedanta Centers,IE.ROMANCE.FRENCH
1348,Disability-focused Christianity for Palestinians,AA.SEMITIC.HEBREW
1349,The Dingxiang Wang Cult,ST.CHINESE.XIANG
1352,Śākadvīpīya Brāhmaṇas,IE.INDIC.SANSKRIT
1370,Teda,IE.ROMANCE.FRENCH
1371,Twelver Shi'ism in post-revolutionary Iran,IE.IRANIAN.PERSIAN
1374,The Reformed Church (Early Orthodoxy),IE.ROMANCE.FRENCH
1386,Liumen (Liu School),ST.CHINESE.MANDARIN
1390,Eastern Apache,NDe.ATHAPASKAN.LIPAN
1397,The Classic Period Peripheral Coastal Lowlands Ritual Ballgame Cult,OM.POPOLOCAN.SAN_JUAN_CHIQUIHUITLAN
1419,Ancient Egyptian Religion in the Early 18th Dynasty,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN
1420,Creek,Mus.MUSKOGEAN.CREEK
1426,Early Missionary Christianity in China,ST.CHINESE.MANDARIN
1433,Novatians,IE.ROMANCE.LATIN
1434,Kuna,Chi.KUNA.CUNA
1436,The Monastic School of Gaza,IE.GREEK.GREEK_ANCIENT
1441,Mexica (Aztec) Religion,UA.AZTECAN.CLASSICAL_NAHUATL
1450,Tehuelche,IE.ROMANCE.SPANISH
1454,Hesychastic Controversy,IE.GREEK.GREEK_ANCIENT
1468,Eastern Christianity From Nicaea to Chalcedon,IE.GREEK.GREEK_ANCIENT
1474,Amahuaca,Pan.PANOAN.YAMINAWA
1492,Nambicuara,Nam.NAMBIKUARAN.NAMBIKWARA
1495,Secular Buddhists,IE.GERMANIC.ENGLISH
1517,Tunisian Women's Associations,IE.ROMANCE.FRENCH
1521,Order of the Hermits of St Augustine (Augustinian friars),IE.ROMANCE.LATIN
1544,Ukrainian Greek Catholic Church,IE.SLAVIC.OLD_CHURCH_SLAVONIC
1570,Tamil Muslims,IE.GERMANIC.ENGLISH
1624,Neo-Assyrian Healers (āšipu/mašmaššu-exorcists),AA.SEMITIC.AKKADIAN
1626,The Cult of Maritime Hera,IE.GREEK.GREEK_ANCIENT
1627,Mount Putuo 普陀山,ST.CHINESE.MANDARIN
1636,The second phase of the Iconoclastic Controversy,IE.GREEK.GREEK_ANCIENT
1653,Visigothic Homoian Christianity,IE.GERMANIC.GOTHIC
1667,Medérsiens,IE.ROMANCE.FRENCH
1689,The Isma'ilis in the Ottoman Empire,AA.SEMITIC.SYRIAN_ARABIC
1690,Christianity in Byzantium: between the end of Iconoclasm and the Schism,IE.GREEK.GREEK_ANCIENT
1694,Christianity in Byzantium: Between the Schism and the Fourth Crusade,IE.GREEK.GREEK_ANCIENT
1697,Stylite Monks,IE.GREEK.GREEK_ANCIENT
1701,The Premonstratensian Order in the Middle Ages,IE.ROMANCE.FRENCH
1708,الإباضية  Al-Ibadia,AA.SEMITIC.ARABIC_GULF_SPOKEN
1737,الإمامية Al-Imamia,IE.IRANIAN.EASTERN_FARSI
1759,الطريقة الشاذلية = Attarika Achadoulia,AA.SEMITIC.STANDARD_ARABIC
1776,الطريقة القادرية في البلاد التونسية The Qadiriyya Order in Tunisia,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1777,الطريقة التّيجانية بالبلاد التونسية The Tijaniyya Order in Tunisia,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1780,الطريقة الشاذلية في تونس The Shadhiliyya Order in Tunisia,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1781,المذهب الشيعي في تونس The Shiʿi madhhab in Tunisia,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1791,"الطريقة القادرية في بغداد: فترة التأسيس ق12 Attarika Al Qadiria à Bagdad: la période fondatrice, le XIIe siècle",AA.SEMITIC.IRAQ_MUSLIM_BAGHDAD_ARABIC
1845,Benedictine Order in Denmark,IE.GERMANIC.DANISH
1903,The 'Abbāsids,AA.SEMITIC.SYRIAN_ARABIC
1904,الطريقة القادرية في تونس القرن  19 و20   =  L'ordre Qadiri en Tunisie aux XIXe et XXe siècles,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1943,Cult of Gauchito Gil,IE.ROMANCE.SPANISH
1974,"Chapel of Grace, Ile-Ife",IE.GERMANIC.ENGLISH
1978,"The Dharmalakshana Buddhist Institute 佛教法相學會, Hong Kong",ST.CHINESE.CANTONESE
1994,Nigeria Fellowship of Evangelical Students (NIFES),IE.GERMANIC.ENGLISH
2003,Nigerian Baptist Convention,IE.GERMANIC.ENGLISH
2011,Scripture Union Nigeria,IE.GERMANIC.ENGLISH
2021,The United Missionary Church of Africa,IE.GERMANIC.ENGLISH
2070,Overcomers Evangelical Mission International (Ori-Oke Asegun),IE.GERMANIC.ENGLISH
2128,Paulicians,IE.ARMENIAN.ARMENIAN_CLASSICAL
2131,Chimú Empire Religion,Cmu.CHIMUAN.MOCHICA
2133,ANSAR-UD-DEEN SOCIETY OF NIGERIA,IE.GERMANIC.ENGLISH
2138,الجماعة الأحمدية الإسلامية في نيجيريا,IE.GERMANIC.ENGLISH
2139,Shi'a Group in Nigeria,IE.GERMANIC.ENGLISH
2149,Judaism in Byzantium,AA.SEMITIC.BIBLICAL_HEBREW
2194,The Redeemed Christian Church of God,IE.GERMANIC.ENGLISH
2203,Huang-Lao Daoism,ST.CHINESE.OLD_CHINESE
2209,The Church of Nigeria Anglican Communion,IE.GERMANIC.ENGLISH
2228,Church of God Mission,IE.GERMANIC.ENGLISH
2232,"Lollards, Lollard, the Lollard movement, Lollardism,  Lollardy, Wycliffites",IE.GERMANIC.ENGLISH
2241,The Cult of Cybele and Attis,IE.ROMANCE.LATIN
2264,Puritans,IE.GERMANIC.ENGLISH
2266,Yangsheng Daoism from Laozi to Ge Hong,ST.CHINESE.OLD_CHINESE
2297,Waldensians (Waldenses),IE.GERMANIC.ENGLISH
2312,The philosophical system of 'Ubuntu' in Southern Africa,IE.GERMANIC.ENGLISH
2313,Dungan people,ST.CHINESE.MIDDLE_CHINESE
2333,Sōka Gakkai (創価学会),IE.GERMANIC.ENGLISH
2335,The Seventh-day Adventist Church in Nigeria,IE.GERMANIC.ENGLISH
2348,Ancient Israelite Religion (Iron Age),AA.SEMITIC.BIBLICAL_HEBREW
2349,Methodism (Wesleyanism),IE.GERMANIC.ENGLISH
2353,Sannō Ichijitsu Shintō,IE.GERMANIC.ENGLISH
2360,Toltecas,IE.GERMANIC.ENGLISH
2373,"The London Missionary Society in British Guiana, 1800-1824",IE.GERMANIC.ENGLISH
2375,"Quakers in Barbados, 1655-1780",IE.GERMANIC.ENGLISH
2376,"Baptists in Jamaica, 1780-1832",IE.GERMANIC.ENGLISH
2407,"Obeah in Jamaica, British Guiana, and Barbados, 1760-1834",IE.GERMANIC.ENGLISH
2428,Navayana Buddhism,IE.GERMANIC.ENGLISH
2451,Ethiopian Orthodox Tewahedo Church,IE.GERMANIC.ENGLISH
2455,New Orleans Voodoo,IE.GERMANIC.ENGLISH
2464,Philippine Catholicism,IE.GERMANIC.ENGLISH
2526,The Chontal Maya (Yoko t’anob),May.MAYAN.CHONTAL_TABASCO
1522,Tijaniyya Tariqa الطريقة التجانية,AA.SEMITIC.STANDARD_ARABIC
1555,Al-Ahbash الأحباش,AA.SEMITIC.STANDARD_ARABIC
1654,Le Parti du Mouvement de La Nahda حزب حركة النهضة,AA.SEMITIC.STANDARD_ARABIC
1985,Christianity in Antioch. From the Apostolic Era to the Islamic conquest,AA.SEMITIC.STANDARD_ARABIC
2016,الدولة الفاطمية Fatimid Dynasty,AA.SEMITIC.STANDARD_ARABIC
2023,الدولة الزيرية Zirid Dynasty,AA.SEMITIC.STANDARD_ARABIC
2048,الدولة الرستمية Rustamid Dynasty,AA.SEMITIC.STANDARD_ARABIC
2069,L'ordre Soufi Qasimite Hadfite الطريقة الصوفية القاسميّة الهادفية,AA.SEMITIC.STANDARD_ARABIC
2074,"Revolutionary Mahdism and Resistance to Colonial Rule in the Sokoto Caliphate, 1905-1906",AA.SEMITIC.STANDARD_ARABIC
2084,MAITATSINE: NIGERIA'S BLOODY RELIGIOUS TERRORIST MOVEMENT,AA.SEMITIC.STANDARD_ARABIC
2089,L'ordre Soufit karkariya en Tunisie الطريقة الكركرية في تونس,AA.SEMITIC.STANDARD_ARABIC
2104,الطريقة التجانية في تونس ق18-ق19 ATARIKA TJENIA FI TOUNES  XVIII-XIXème siècle,AA.SEMITIC.STANDARD_ARABIC
2114,Tijaniyyah Sufi Movement in North-Western Nigeria,AA.SEMITIC.STANDARD_ARABIC
2116,Qadiriyyah Movement in the Sokoto Caliphate.,AA.SEMITIC.STANDARD_ARABIC
2122,Jama'at Izalat al-Bid'ah wa Iqamat al-Sunnah (JIBWIS),AA.SEMITIC.STANDARD_ARABIC
