entry_id,entry_name,entrytag_name,entrytag_used,glottolog_name,glottolog_id,asjp_id,jaeger_id,glottocode_cands,resolution_status,n_candidates,source,coder_v1,confidence_v1,tip_coder,tip_assigned,tip_confidence,tip_comment
441,Worshipers of Śītalā,Urdu,Urdu,Urdu,urdu1245,URDU,IE.INDIC.URDU,urdu1245,resolved_unique,1,DRH,,,,,,
442,Donatism,Neo-Punic,,Phoenician,phoe1239,PHOENICIAN,AA.SEMITIC.PHOENICIAN,,resolved_unique,1,manual_B,Willis Monroe,,,,,
455,Lan Na Buddhism,Shan,Northern Thai,Northern Thai,nort2740,"LAMPANG_THAI, TAI_CHIENGMAI","TK.KAM_TAI.LAMPANG_THAI, TK.KAM_TAI.TAI_CHIENGMAI",nort2740,resolved_multiple,2,DRH,,,,,,
456,The Essenes,Ancient Hebrew,Ancient Hebrew,Ancient Hebrew,anci1244,BIBLICAL_HEBREW,AA.SEMITIC.BIBLICAL_HEBREW,anci1244,resolved_unique,1,DRH,,,,,,
469,Won-Buddhism,Ch'ungch'ongdo,Korean,Korean,kore1280,KOREAN,Kor.KOREAN.KOREAN,kore1280,resolved_unique,1,DRH,,,,,,
470,Archaic Spartan Cults,Doric,Doric,Doric,dori1248,,,dori1248,glottocode_no_tree_tip,0,DRH,,,,,,
476,Cham Bani,Eastern Cham,Eastern Cham,Eastern Cham,east2563,CHAM_EASTERN,An.MALAYO_SUMBAWAN.CHAM_EASTERN,east2563,resolved_unique,1,DRH,,,,,,
483,Northern Irish Roman Catholics,Irish English,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
484,Northern Irish Protestants,Irish English,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
485,Sámi pre-Christian religion,Western Finnmarku Saami,Lule Saami,Lule Saami,lule1254,LULE_SAAMI,Ura.SAAMI.LULE_SAAMI,lule1254,resolved_unique,1,DRH,,,,,,
486,Church of Jesus Christ of Latter-day Saints (early),North American English,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
490,Guglielmites,Vulgar Latin,Latin,Latin,lati1261,LATIN,IE.ROMANCE.LATIN,lati1261,resolved_unique,1,DRH,,,,,,
492,Roman Divination,Vulgar Latin,Latin,Latin,lati1261,LATIN,IE.ROMANCE.LATIN,lati1261,resolved_unique,1,DRH,,,,,,
520,Cham Ahiér,Haroi,Haroi,Haroi,haro1237,,,haro1237,glottocode_no_tree_tip,0,DRH,,,,,,
525,Church of Jesus Christ of Latter-day Saints (modern),North American English,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
526,Hmong Christianity,Hmongic,,Hmong Daw,hmon1333,HMONG_DAW,HM.HMONG_MIEN.HMONG_DAW,,resolved_unique,1,manual_B,William Noseworthy,,,,,
534,Roman Imperial Cult,Vulgar Latin,Latin,Latin,lati1261,LATIN,IE.ROMANCE.LATIN,lati1261,resolved_unique,1,DRH,,,,,,
562,Medieval Śrīvaiṣṇavism,,Tamil,Tamil,tami1289,TAMIL,Dra.SOUTHERN_DRAVIDIAN.TAMIL,tami1289,resolved_unique,1,manual_A,Matthew Hamm,,,,,
563,"Gaddi, a Hindu community of the Western Himalayas",Hindi,Hindi,Hindi,hind1269,HINDI,IE.INDIC.HINDI,hind1269,resolved_unique,1,DRH,,,,,,
564,Tribal Christianity (and allied castes) in the Himalayas,Nepali,Nepali,Nepali,nepa1254,NEPALI,IE.INDIC.NEPALI,nepa1254,resolved_unique,1,DRH,,,,,,
565,Fellahin,Egyptian Arabic,Egyptian Arabic,Egyptian Arabic,egyp1253,CAIRO_ARABIC,AA.SEMITIC.CAIRO_ARABIC,egyp1253,resolved_unique,1,DRH,,,,,,
567,Gay and Lesbian Vaishnava Association (GALVA-108),English,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
570,Supreme Master Ching Hai World Society,English,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
576,Kuy traditional religions,Chang,Kuy,Kuy,kuyy1240,"KUI_THAILAND, KUI_THAILAND_2, KUY","AuA.KATUIC.KUI_THAILAND, AuA.KATUIC.KUI_THAILAND_2, AuA.KATUIC.KUY",kuyy1240,resolved_multiple,3,DRH,,,,,,
577,Ganda,Ganda,Ganda,Ganda,gand1255,"J15_GANDA, LUGANDA","NC.BANTOID.J15_GANDA, NC.BANTOID.LUGANDA",gand1255,resolved_multiple,2,DRH,,,,,,
580,Nāth Sampradāya,Urdu,Urdu,Urdu,urdu1245,URDU,IE.INDIC.URDU,urdu1245,resolved_unique,1,DRH,,,,,,
581,Mentawai (Rereiket),South Siberut,Mentawai,Mentawai,ment1249,MENTAWAI,An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.MENTAWAI,ment1249,resolved_unique,1,DRH,,,,,,
590,Huayan School (Early Tang),Middle Chinese,Middle Chinese,Middle Chinese,midd1344,MIDDLE_CHINESE,ST.CHINESE.MIDDLE_CHINESE,midd1344,resolved_unique,1,DRH,,,,,,
592,Veerashaivas,Urdu,Urdu,Urdu,urdu1245,URDU,IE.INDIC.URDU,urdu1245,resolved_unique,1,DRH,,,,,,
598,Masai,Purko,Masai,Masai,masa1300,MAASAI,ESu.NILOTIC.MAASAI,masa1300,resolved_unique,1,DRH,,,,,,
602,Amhara,,Amharic,Amharic,amha1245,"AMHARIC, AMHARIC_2, AMHARIC_3","AA.SEMITIC.AMHARIC, AA.SEMITIC.AMHARIC_2, AA.SEMITIC.AMHARIC_3",amha1245,resolved_multiple,3,manual_A,Matthew Hamm,,,,,
604,Bambara,Standard Bambara,Bambara,Bambara,bamb1269,BAMBARA,Man.WESTERN_MANDE.BAMBARA,bamb1269,resolved_unique,1,DRH,,,,,,
607,Mohism,,Literary Chinese,,,,,,name_not_in_glottolog,0,manual_A,Matthew Hamm,,,,,
608,Kurd,Kurdish,,Central Kurdish,cent1972,KURDISH_CENTRAL,IE.IRANIAN.KURDISH_CENTRAL,,resolved_unique,1,manual_B,Willis Monroe,,,,,
623,Diasporic American Hinduism,North American English,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
624,The Roshaniyya,Pashto,,Western Farsi,west2369,PERSIAN,IE.IRANIAN.PERSIAN,,resolved_unique,1,manual_B,Julian Weideman,,,,,
626,Barama River Carib,Patamona,,Trió,trio1238,TIRIYO,Car.CARIBAN.TIRIYO,,resolved_unique,1,manual_B,Edward Slingerland,,,,,
629,Newar Buddhists,Nepali,Nepali,Nepali,nepa1254,NEPALI,IE.INDIC.NEPALI,nepa1254,resolved_unique,1,DRH,,,,,,
630,Aranda,Mparntwe Arrernte,Alyawarr,Alyawarr,alya1239,"ALYAWARRA, ALYAWARR_ALYAWARA, ALYAWARR_MACDONALDDOWNS_ALYAWARA","Aus.PAMA_NYUNGAN.ALYAWARRA, Aus.PAMA_NYUNGAN.ALYAWARR_ALYAWARA, Aus.PAMA_NYUNGAN.ALYAWARR_MACDONALDDOWNS_ALYAWARA",alya1239,resolved_multiple,3,DRH,,,,,,
632,Local Religion at Selinous,Ionic-Attic Ancient Greek,Ionic-Attic Ancient Greek,Ionic-Attic Ancient Greek,anci1242,GREEK_ANCIENT,IE.GREEK.GREEK_ANCIENT,anci1242,resolved_unique,1,DRH,,,,,,
633,Mādhva,Konkan Marathi,Konkan Marathi,Konkan Marathi,konk1267,KONKANI,IE.INDIC.KONKANI,konk1267,resolved_unique,1,DRH,,,,,,
645,"Meo Muslim, Mev, Mewati Muslim",Urdu,Urdu,Urdu,urdu1245,URDU,IE.INDIC.URDU,urdu1245,resolved_unique,1,DRH,,,,,,
649,"Worshippers at the Chidambaram Nataraja Temple, Modern Period",Tamil,Tamil,Tamil,tami1289,TAMIL,Dra.SOUTHERN_DRAVIDIAN.TAMIL,tami1289,resolved_unique,1,DRH,,,,,,
654,12th-13th c Cistercians,Vulgar Latin,Latin,Latin,lati1261,LATIN,IE.ROMANCE.LATIN,lati1261,resolved_unique,1,DRH,,,,,,
655,Siriono,Bolivian Spanish,Spanish,Spanish,stan1288,SPANISH,IE.ROMANCE.SPANISH,stan1288,resolved_unique,1,DRH,,,,,,
658,Mapuche,Rioplatense Spanish,Spanish,Spanish,stan1288,SPANISH,IE.ROMANCE.SPANISH,stan1288,resolved_unique,1,DRH,,,,,,
661,Congregation of Savigny,Imperial Latin,,Latin,lati1261,LATIN,IE.ROMANCE.LATIN,,resolved_unique,1,manual_B,Edward Slingerland,,,,,
662,Goajiro,Venezuelan Spanish,Spanish,Spanish,stan1288,SPANISH,IE.ROMANCE.SPANISH,stan1288,resolved_unique,1,DRH,,,,,,
666,Siuai,Tok Pisin,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
667,Ainu,Hokkaidō,Russian,Russian,russ1263,"NINILCHIK_RUSSIAN, RUSSIAN","IE.SLAVIC.NINILCHIK_RUSSIAN, IE.SLAVIC.RUSSIAN",russ1263,resolved_multiple,2,DRH,,,,,,
674,Aymara,Bolivian Spanish,Spanish,Spanish,stan1288,SPANISH,IE.ROMANCE.SPANISH,stan1288,resolved_unique,1,DRH,,,,,,
675,Chukchee,Ninilchik,Russian,Russian,russ1263,"NINILCHIK_RUSSIAN, RUSSIAN","IE.SLAVIC.NINILCHIK_RUSSIAN, IE.SLAVIC.RUSSIAN",russ1263,resolved_multiple,2,DRH,,,,,,
676,"The Order of the Holy Trinity for the Redemption of Captives, 1198-1500",Vulgar Latin,Latin,Latin,lati1261,LATIN,IE.ROMANCE.LATIN,lati1261,resolved_unique,1,DRH,,,,,,
679,Santal,Karmali,Santali,Santali,sant1410,"BODOBELGHORIA_SANTALI, JABRI_SANTALI, PAHARPUR_SANTALI, PATICHORA_SANTALI, RAJARAMPUR_SANTALI, RASHIDPUR_SANTALI, RAUTNAGAR_SANTALI, SANTALI","AuA.MUNDA.BODOBELGHORIA_SANTALI, AuA.MUNDA.JABRI_SANTALI, AuA.MUNDA.PAHARPUR_SANTALI, AuA.MUNDA.PATICHORA_SANTALI, AuA.MUNDA.RAJARAMPUR_SANTALI, AuA.MUNDA.RASHIDPUR_SANTALI, AuA.MUNDA.RAUTNAGAR_SANTALI, AuA.MUNDA.SANTALI",sant1410,resolved_multiple,8,DRH,,,,,,
680,Gujarati Mata Worshipers,Indian English,Hindi,Hindi,hind1269,HINDI,IE.INDIC.HINDI,hind1269,resolved_unique,1,DRH,,,,,,
681,Sargonic Empire,Akkadian,Akkadian,Akkadian,akka1240,"AKKADIAN, AKKADIAN_2","AA.SEMITIC.AKKADIAN, AA.SEMITIC.AKKADIAN_2",akka1240,resolved_multiple,2,DRH,,,,,,
682,Lakher,Lower Zyphe,Zyphe,Zyphe,zyph1238,CHIN_ZYPHE,ST.KUKI_CHIN.CHIN_ZYPHE,zyph1238,resolved_unique,1,DRH,,,,,,
684,Huron,Wyandot,Huron-Wyandot,Huron-Wyandot,wyan1247,"WENDAT_HURON, WYANDOT","Iro.NORTHERN_IROQUOIAN.WENDAT_HURON, Iro.NORTHERN_IROQUOIAN.WYANDOT",wyan1247,resolved_multiple,2,DRH,,,,,,
685,Badjau,Simunul,Southern Sama,Southern Sama,sout2918,SIBUTU_SOUTHERN_SAMA,An.SAMA_BAJAW.SIBUTU_SOUTHERN_SAMA,sout2918,resolved_unique,1,DRH,,,,,,
688,Darul Uloom Deoband,Konkan Marathi,Konkan Marathi,Konkan Marathi,konk1267,KONKANI,IE.INDIC.KONKANI,konk1267,resolved_unique,1,DRH,,,,,,
689,Lengua,Enlhet Norte,Enxet Sur,Enxet Sur,sout2989,"LENGUA, LENGUA_2","Mas.MASCOIAN.LENGUA, Mas.MASCOIAN.LENGUA_2",sout2989,resolved_multiple,2,DRH,,,,,,
690,Ahl-e-Sunnat wa Jamaat,Konkan Marathi,Konkan Marathi,Konkan Marathi,konk1267,KONKANI,IE.INDIC.KONKANI,konk1267,resolved_unique,1,DRH,,,,,,
691,Fur,Fur,Fur,Fur,furr1244,FUR,Fur.FUR.FUR,furr1244,resolved_unique,1,DRH,,,,,,
694,Eyak,Eyak,Eyak,Eyak,eyak1241,EYAK,NDe.EYAK.EYAK,eyak1241,resolved_unique,1,DRH,,,,,,
710,Hidatsa,Hidatsa,Hidatsa,Hidatsa,hida1246,HIDATSA,Sio.SIOUAN.HIDATSA,hida1246,resolved_unique,1,DRH,,,,,,
711,Kwoma,Kwoma,Kwoma,Kwoma,kwom1262,KWOMA,Sep.MIDDLE_SEPIK.KWOMA,kwom1262,resolved_unique,1,DRH,,,,,,
714,Tamil Śaiva Bhakti,Tamil,Tamil,Tamil,tami1289,TAMIL,Dra.SOUTHERN_DRAVIDIAN.TAMIL,tami1289,resolved_unique,1,DRH,,,,,,
719,Hinduism in Trinidad,Trinidadian Creole English,,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,,resolved_unique,1,manual_B,Edward Slingerland,poor,,,,
721,Semang,Batek,Mintil,Mintil,mint1239,MINTIL,AuA.ASLIAN.MINTIL,mint1239,resolved_unique,1,DRH,,,,,,
726,Early Śramaṇas,Paisaci Prakrit,Sanskrit,Sanskrit,sans1269,SANSKRIT,IE.INDIC.SANSKRIT,sans1269,resolved_unique,1,DRH,,,,,,
727,Raglai,Rai (Southern Roglai),Chru,Chru,chru1239,CHRU,An.MALAYO_SUMBAWAN.CHRU,chru1239,resolved_unique,1,DRH,,,,,,
728,Pentecost,Suru Kavian,Seke (Vanuatu),Seke (Vanuatu),seke1241,"SEKE, SKE","An.OCEANIC.SEKE, An.OCEANIC.SKE",seke1241,resolved_multiple,2,DRH,,,,,,
729,Kikuyu,Southern Gikuyu,Kikuyu,Kikuyu,kiku1240,"GIKUYU, GIKUYU_2","NC.BANTOID.GIKUYU, NC.BANTOID.GIKUYU_2",kiku1240,resolved_multiple,2,DRH,,,,,,
732,Marquesans,Nuku Hiva,North Marquesan,North Marquesan,nort2845,"LANGUE_DE_ISLES_MARQUISES, MARQUESAN_NUKUHIVA, NORTH_MARQUESAN, UA_POU","An.OCEANIC.LANGUE_DE_ISLES_MARQUISES, An.OCEANIC.MARQUESAN_NUKUHIVA, An.OCEANIC.NORTH_MARQUESAN, An.OCEANIC.UA_POU",nort2845,resolved_multiple,4,DRH,,,,,,
739,Lakalai,Nakanai,Nakanai,Nakanai,naka1262,"BILEKI_NAKANAI, MAUTUTU, NAKANAI, NAKANAI_2","An.OCEANIC.BILEKI_NAKANAI, An.OCEANIC.MAUTUTU, An.OCEANIC.NAKANAI, An.OCEANIC.NAKANAI_2",naka1262,resolved_multiple,4,DRH,,,,,,
745,Buka,Hanahan,Halia,Halia,hali1244,"HALIA, HALIA_2","An.OCEANIC.HALIA, An.OCEANIC.HALIA_2",hali1244,resolved_multiple,2,DRH,,,,,,
749,Korean shamanism,Korean,Korean,Korean,kore1280,KOREAN,Kor.KOREAN.KOREAN,kore1280,resolved_unique,1,DRH,,,,,,
750,Mekeo,Northwest Mekeo,Mekeo,Mekeo,meke1243,MEKEO,An.OCEANIC.MEKEO,meke1243,resolved_unique,1,DRH,,,,,,
752,Haroi,Haroi,Haroi,Haroi,haro1237,,,haro1237,glottocode_no_tree_tip,0,DRH,,,,,,
755,Uyghur Islam,Uighur,Uighur,Uighur,uigh1240,UYGHUR,Alt.TURKIC.UYGHUR,uigh1240,resolved_unique,1,DRH,,,,,,
759,Comanche,North American English,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
763,Moriori,Moriori,Maori,Maori,maor1246,"MAORI, MOORIORI, SOUTH_ISLAND_MAORI","An.OCEANIC.MAORI, An.OCEANIC.MOORIORI, An.OCEANIC.SOUTH_ISLAND_MAORI",maor1246,resolved_multiple,3,DRH,,,,,,
766,Garo,Garo,Garo,Garo,garo1247,GARO,ST.BODO_GARO.GARO,garo1247,resolved_unique,1,DRH,,,,,,
770,Thai Forest Tradition,Northern Thai,Northern Thai,Northern Thai,nort2740,"LAMPANG_THAI, TAI_CHIENGMAI","TK.KAM_TAI.LAMPANG_THAI, TK.KAM_TAI.TAI_CHIENGMAI",nort2740,resolved_multiple,2,DRH,,,,,,
788,The Late Bronze Age City-State of Ugarit,Ugaritic,Ugaritic,Ugaritic,ugar1238,UGARITIC,AA.SEMITIC.UGARITIC,ugar1238,resolved_unique,1,DRH,,,,,,
794,Omaha,North American English,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
834,The Plum Village Sangha of Thich Nhat Hanh,Global French,Vietnamese,Vietnamese,viet1252,"VIETNAMESE, VIETNAMESE_2, VIETNAMESE_3","AuA.VIET_MUONG.VIETNAMESE, AuA.VIET_MUONG.VIETNAMESE_2, AuA.VIET_MUONG.VIETNAMESE_3",viet1252,resolved_multiple,3,DRH,,,,,,
841,Sa skya,Tibetan,Tibetan,Tibetan,tibe1272,"LHASA_TIBETAN, RANG_PAS, TIBETAN_CENTRAL, TIBETAN_LHASA, TIBETAN_WRITTEN","ST.BODIC.LHASA_TIBETAN, ST.BODIC.RANG_PAS, ST.BODIC.TIBETAN_CENTRAL, ST.BODIC.TIBETAN_LHASA, ST.BODIC.TIBETAN_WRITTEN",tibe1272,resolved_multiple,5,DRH,,,,,,
842,American Evangelicalism,English,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
846,Xuanzang's Yogācāra Tradition,Middle Chinese,Middle Chinese,Middle Chinese,midd1344,MIDDLE_CHINESE,ST.CHINESE.MIDDLE_CHINESE,midd1344,resolved_unique,1,DRH,,,,,,
848,Sadducees,Jewish Babylonian Aramaic (ca. 200-1200 CE),Jewish Babylonian Aramaic (ca. 200-1200 CE),Jewish Babylonian Aramaic (ca. 200-1200 CE),jewi1240,ACHAEMENID_ARAMAIC,AA.SEMITIC.ACHAEMENID_ARAMAIC,jewi1240,resolved_unique,1,DRH,,,,,,
849,"""Gaiwiio Religion,"" ""Longhouse Religion,"" or ""The Way of Handsome Lake"" of the Seneca Tribe",Seneca,Seneca,Seneca,sene1264,SENECA,Iro.NORTHERN_IROQUOIAN.SENECA,sene1264,resolved_unique,1,DRH,,,,,,
850,Pre-Christian Religion / Paganism in Gaul,Transalpine Gaulish,Transalpine Gaulish,Transalpine Gaulish,tran1282,,,tran1282,glottocode_no_tree_tip,0,DRH,,,,,,
851,Sikhism in the United States,North American English,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
852,Pre-Christian Religion / Paganism in Ireland,Primitive Irish (4-6th century),Early Irish,Early Irish,oldi1245,OLD_IRISH,IE.CELTIC.OLD_IRISH,oldi1245,resolved_unique,1,DRH,,,,,,
854,pre-Christian Irish,Middle Irish (10-12th century),Early Irish,Early Irish,oldi1245,OLD_IRISH,IE.CELTIC.OLD_IRISH,oldi1245,resolved_unique,1,DRH,,,,,,
855,Middle-Class Migrant Muslims in the UAE,Arabic,Arabic,Arabic,arab1395,,,arab1395,glottocode_no_tree_tip,0,DRH,,,,,,
857,Wesleyanism,Latin American Spanish,Spanish,Spanish,stan1288,SPANISH,IE.ROMANCE.SPANISH,stan1288,resolved_unique,1,DRH,,,,,,
858,"The New Prophecy or ""Montanism""",Eastern Syriac,Classical Syriac,Classical Syriac,clas1252,"CLASSICAL_SYRIAC, SYRIAC, SYRIAC_2","AA.SEMITIC.CLASSICAL_SYRIAC, AA.SEMITIC.SYRIAC, AA.SEMITIC.SYRIAC_2",clas1252,resolved_multiple,3,DRH,,,,,,
859,Valentinians,Jewish Babylonian Aramaic (ca. 200-1200 CE),Jewish Babylonian Aramaic (ca. 200-1200 CE),Jewish Babylonian Aramaic (ca. 200-1200 CE),jewi1240,ACHAEMENID_ARAMAIC,AA.SEMITIC.ACHAEMENID_ARAMAIC,jewi1240,resolved_unique,1,DRH,,,,,,
862,Ilm-e-Khshnoom,Indian English,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
863,Orphism,Jewish Babylonian Aramaic (ca. 200-1200 CE),Jewish Babylonian Aramaic (ca. 200-1200 CE),Jewish Babylonian Aramaic (ca. 200-1200 CE),jewi1240,ACHAEMENID_ARAMAIC,AA.SEMITIC.ACHAEMENID_ARAMAIC,jewi1240,resolved_unique,1,DRH,,,,,,
867,Nyingma Treasure,Tibetan,Tibetan,Tibetan,tibe1272,"LHASA_TIBETAN, RANG_PAS, TIBETAN_CENTRAL, TIBETAN_LHASA, TIBETAN_WRITTEN","ST.BODIC.LHASA_TIBETAN, ST.BODIC.RANG_PAS, ST.BODIC.TIBETAN_CENTRAL, ST.BODIC.TIBETAN_LHASA, ST.BODIC.TIBETAN_WRITTEN",tibe1272,resolved_multiple,5,DRH,,,,,,
869,Sichuan Esoteric Buddhist Cult,Classical-Middle-Modern Sinitic,,Middle Chinese,midd1344,MIDDLE_CHINESE,ST.CHINESE.MIDDLE_CHINESE,,resolved_unique,1,manual_B,Matthew Hamm,medium,,,,
870,Postsocialist Mongolian Buddhism,Mongolian,,Halh Mongolian,halh1238,MONGOLIAN,Alt.MONGOLIC.MONGOLIAN,,resolved_unique,1,manual_B,Edward Slingerland,,,,,
871,Spiritualism,Canadian English,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,DRH,,,,,,
877,The International Network of Engaged Buddhists - INEB,Thai,Thai,Thai,thai1261,"KHORAT_THAI, SIAMESE, SIAMESE_2, TAI, THAI, THAI_2, THAI_3","TK.KAM_TAI.KHORAT_THAI, TK.KAM_TAI.SIAMESE, TK.KAM_TAI.SIAMESE_2, TK.KAM_TAI.TAI, TK.KAM_TAI.THAI, TK.KAM_TAI.THAI_2, TK.KAM_TAI.THAI_3",thai1261,resolved_multiple,7,DRH,,,,,,
879,Free Methodist Church,,English,English,stan1293,ENGLISH,IE.GERMANIC.ENGLISH,stan1293,resolved_unique,1,manual_A,Matthew Hamm,,,,,
880,Egyptian Salafism (inluding North Africa and West Asia),Judeo-Yemeni Arabic,Tunisian Arabic,Tunisian Arabic,tuni1259,TUNISIAN_ARABIC_MAGHRIB,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB,tuni1259,resolved_unique,1,DRH,,,,,,
882,Orphism,Jewish Babylonian Aramaic (ca. 200-1200 CE),Jewish Babylonian Aramaic (ca. 200-1200 CE),Jewish Babylonian Aramaic (ca. 200-1200 CE),jewi1240,ACHAEMENID_ARAMAIC,AA.SEMITIC.ACHAEMENID_ARAMAIC,jewi1240,resolved_unique,1,DRH,,,,,,
883,Catholics in the People's Republic of China (PRC),Mandarin Chinese,Mandarin Chinese,Mandarin Chinese,mand1415,"KUNMING_MANDARIN, MANDARIN, MANDARIN_2","ST.CHINESE.KUNMING_MANDARIN, ST.CHINESE.MANDARIN, ST.CHINESE.MANDARIN_2",mand1415,resolved_multiple,3,DRH,,,,,,
