tip_name,asjp_id,glottocode,glottolog_name
Aus.GARRWAN.GARAWA,GARAWA,gara1269,Garrwa
Aus.WAGIMAN.WAGIMAN,WAGIMAN,wage1238,Wageman
Aus.YANGMANIC.WARDAMAN,WARDAMAN,ward1246,Wardaman
Aus.YANGMANIC.YANGMAN,YANGMAN,yang1288,Yangman
Aus.JAMINJUNGAN.DJAMINDJUNG,DJAMINDJUNG,djam1255,Jaminjung-Ngaliwurru
Aus.WEST_BARKLY.DJINGILI,DJINGILI,djin1251,Jingulu
Aus.WEST_BARKLY.GUDANJI,GUDANJI,ngar1283,Ngarnka
Aus.WEST_BARKLY.WAMBAYA,WAMBAYA,wamb1258,Wambayan
Aus.NDJEBBANA.DJEEBBANA,DJEEBBANA,djee1236,Djeebbana
Aus.NAKARA.NAKARA,NAKARA,naka1260,Nakara
Aus.BURARRAN.BURARRA,BURARRA,bura1267,Burarra
Aus.BURARRAN.GURAGONE,GURAGONE,gura1252,Guragone
Aus.DJAUAN.DJAUAN,DJAUAN,djau1244,Jawoyn
Aus.WARAY.WARAY,WARAY,wara1290,Warray
Aus.ANINDILYAKWA.INGURA,INGURA,anin1240,Anindilyakwa
Aus.NUNGGUBUYU.NUNGGUBUYU,NUNGGUBUYU,nung1290,Wubuy
Aus.NGANDI.NGANDI,NGANDI,ngan1295,Ngandi
Aus.NGALAKAN.NGALAKAN,NGALAKAN,ngal1293,Ngalakgan
Aus.REMBARNGA.RAINBARNGO,RAINBARNGO,remb1249,Rembarrnga
Aus.GUNWINYGIC.GUNBALANG_WARLANG,GUNBALANG_WARLANG,kunb1251,Kunbarlang
Aus.GUNWINYGIC.BUAN,BUAN,ngal1292,Ngalkbun
Aus.GUNWINYGIC.GUNWINGGU_KUNE,GUNWINGGU_KUNE,gunw1252,Bininj Kun-Wok
Aus.GUNWINYGIC.GUNWINGGU_KUNINJKU,GUNWINGGU_KUNINJKU,gunw1252,Bininj Kun-Wok
Aus.GUNWINYGIC.GUNWINGGU_KUNWINJKU,GUNWINGGU_KUNWINJKU,gunw1252,Bininj Kun-Wok
Aus.GUNWINYGIC.GUNWINGGU_GUN_DJEIHMI,GUNWINGGU_GUN_DJEIHMI,gunw1252,Bininj Kun-Wok
Aus.GUNWINYGIC.GUNWINGGU_MANYALLALUK_MAYALI,GUNWINGGU_MANYALLALUK_MAYALI,gunw1252,Bininj Kun-Wok
Aus.PAMA_NYUNGAN.KALA_LAGGAW_YA,KALA_LAGGAW_YA,kala1377,Kala Lagaw Ya
Aus.PAMA_NYUNGAN.YANYUWA,YANYUWA,yany1243,Yanyuwa
Aus.PAMA_NYUNGAN.WAGAYA,WAGAYA,waga1260,Wagaya
Aus.PAMA_NYUNGAN.WARLUWARA,WARLUWARA,warl1256,Warluwara
Aus.PAMA_NYUNGAN.DJINANG,DJINANG,djin1253,Djinang
Aus.PAMA_NYUNGAN.DJINBA,DJINBA,djin1252,Djinba
Aus.PAMA_NYUNGAN.YANANGO,YANANGO,yann1237,Nhangu
Aus.PAMA_NYUNGAN.RITHARNGU,RITHARNGU,rita1239,Ritharrngu
Aus.PAMA_NYUNGAN.DALWONGO,DALWONGO,dayi1244,Dayi
Aus.PAMA_NYUNGAN.YOLNGUMATHA,YOLNGUMATHA,dhan1270,Dhangu
Aus.PAMA_NYUNGAN.DJAPU,DJAPU,nucl1333,Nuclear Dhuwal
Aus.PAMA_NYUNGAN.DHUWAL,DHUWAL,nucl1333,Nuclear Dhuwal
Aus.PAMA_NYUNGAN.GOMAIDJ,GOMAIDJ,guma1253,Gumatj
Aus.PAMA_NYUNGAN.DJAMBARRPUYNGU,DJAMBARRPUYNGU,djam1256,Djambarrpuyngu
Aus.PAMA_NYUNGAN.GOBABINGO,GOBABINGO,gupa1247,Gupapuyngu
Aus.PAMA_NYUNGAN.MANGGALILI,MANGGALILI,gupa1247,Gupapuyngu
Aus.PAMA_NYUNGAN.MARARBA,MARARBA,gupa1247,Gupapuyngu
Aus.PAMA_NYUNGAN.GUUGU_YIMIDHIR,GUUGU_YIMIDHIR,gugu1255,Guugu Yimidhirr
Aus.PAMA_NYUNGAN.KOKO_YALANDJI,KOKO_YALANDJI,kuku1273,Kuku-Yalanji
Aus.PAMA_NYUNGAN.DYAABUGAY,DYAABUGAY,dyaa1242,Dyaabugay
Aus.PAMA_NYUNGAN.YIDINY,YIDINY,yidi1250,Yidiñ
Aus.PAMA_NYUNGAN.BIDJARA,BIDJARA,bidy1243,Bidyara
Aus.PAMA_NYUNGAN.KUNGGARI,KUNGGARI,kung1258,Kunggari
Aus.PAMA_NYUNGAN.GUWAMU,GUWAMU,guwa1243,Guwamu
Aus.PAMA_NYUNGAN.GUNYA,GUNYA,guny1241,Gunya
Aus.PAMA_NYUNGAN.MARGANY,MARGANY,marg1253,Margany
Aus.PAMA_NYUNGAN.GUGU_BUJUN,GUGU_BUJUN,gugu1253,Gugu Badhun
Aus.PAMA_NYUNGAN.WARUNGU,WARUNGU,waru1264,Warrongo
Aus.PAMA_NYUNGAN.BIRI,BIRI,biri1256,Biri
Aus.PAMA_NYUNGAN.GANGULU,GANGULU,gang1268,Gangulu
Aus.PAMA_NYUNGAN.BIRRI_AUSTRALIA,BIRRI_AUSTRALIA,biri1256,Biri
Aus.PAMA_NYUNGAN.WIRRI,WIRRI,biri1256,Biri
Aus.PAMA_NYUNGAN.BAYALI,BAYALI,baya1257,Bayali
Aus.PAMA_NYUNGAN.DYIRBAL,DYIRBAL,dyir1250,Dyirbal
Aus.PAMA_NYUNGAN.WARGAMAY,WARGAMAY,warr1255,Warrgamay
Aus.PAMA_NYUNGAN.NYAWAYGI,NYAWAYGI,nyaw1247,Nyawaygi
Aus.PAMA_NYUNGAN.WULGURU,WULGURU,wulg1239,Wulguru
Aus.PAMA_NYUNGAN.DARRKINYUNG,DARRKINYUNG,hawk1239,Hawkesbury
Aus.PAMA_NYUNGAN.DYANGADI,DYANGADI,dyan1250,Dyangadi
Aus.PAMA_NYUNGAN.NGANYAYWANA,NGANYAYWANA,ngan1296,Nganyaywana
Aus.PAMA_NYUNGAN.NGUNAWAL,NGUNAWAL,ngun1277,Ngunawal
Aus.PAMA_NYUNGAN.GANDANGARA,GANDANGARA,,
Aus.PAMA_NYUNGAN.JIRINGAYN,JIRINGAYN,,
Aus.PAMA_NYUNGAN.THAWA,THAWA,,
Aus.PAMA_NYUNGAN.NGARIGU,NGARIGU,ngar1297,Ngarigu
Aus.PAMA_NYUNGAN.OMEO,OMEO,,
Aus.PAMA_NYUNGAN.CAMBERRA_LANGUAGE,CAMBERRA_LANGUAGE,,
Aus.PAMA_NYUNGAN.GUYAMBAL,GUYAMBAL,,
Aus.PAMA_NYUNGAN.BIGAMBAL,BIGAMBAL,,
Aus.PAMA_NYUNGAN.YUGAMBAL,YUGAMBAL,,
Aus.PAMA_NYUNGAN.MADIMADI,MADIMADI,madh1244,Madhi Madhi
