entry_id,entry_name,deepest_tag
2346,Igbo Traditional Religion,Pidgin
2363,"L'ordre Soufi Tunisien ""al-Hasaniyya"" الطريقة الحسنية التونسية",Arabic
2365,Moriscos,Arabic
2369,Le Mouvement Sanussiyya الحركة السنوسيّة,Arabic
2371,Tewa Pueblo Religion,Tewa
2418,Nasca Culture Religion,Unknown
2420,Evangelistria of Kipseli Arta,Greek
2429,Vyliza Monastery,Greek
2433,Hellenistic Religion in the Seleucid Empire,Greek
2445,Priesthoods in Ptolemaic Thebes (Luxor),Greek
2490,Wu Zetian's State Buddhism,Literary Chinese
2496,Vietnamese popular religion,Viet-Muong
2567,Zahiriyyah [in the Iberian Peninsula],Arabic
