entry_id,entry_name,entrytag_name,entrytag_level,entrytag_path,drh_link,data_source,reason,ID,Glottocode
1125,Ancient Egypt - the Ramesside Period,Late Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Late Egyptian[28670],https://religiondatabase.org/browse/1125,Database of Religious History (DRH) [default],merge,,
1175,Religion in Northern Hejaz,Ancient North Arabian,7,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Arabian[7095]->Ancient North Arabian[8596],https://religiondatabase.org/browse/1175,Database of Religious History (DRH) [default],merge,,
1189,Yādiya/Sam'al,Sam'alian,9,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Old Aramaic-Sam'alian[9971]->Sam'alian[34721],https://religiondatabase.org/browse/1189,Database of Religious History (DRH) [default],merge,,
1190,Ancient state of Urartu,Urartian,3,Language[1747]->Hurro-Urartian[1764]->Urartian[2035],https://religiondatabase.org/browse/1190,Database of Religious History (DRH) [default],merge,,
1250,Hanbalism,Arabic,7,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Arabian[7095]->Arabic[8595],https://religiondatabase.org/browse/1250,Database of Religious History (DRH) [default],merge,,
1263,Judean/Yehudite Colony at Elephantine (Persian period),Demotic Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Demotic Egyptian[28673],https://religiondatabase.org/browse/1263,Database of Religious History (DRH) [default],merge,,
1337,Tell Afis (Syria),Old Aramaic (up to 700 BCE),9,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Old Aramaic-Sam'alian[9971]->Old Aramaic (up to 700 BCE)[34722],https://religiondatabase.org/browse/1337,Database of Religious History (DRH) [default],merge,,
1397,The Classic Period Peripheral Coastal Lowlands Ritual Ballgame Cult,Zapotec,6,Language[1747]->Otomanguean[1801]->Eastern Otomanguean[2136]->Popoloca-Zapotecan[3462]->Zapotecan[4730]->Zapotec[5970],https://religiondatabase.org/browse/1397,Database of Religious History (DRH) [default],merge,,
1404,Religion in Nabataea,Nabatean,11,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970]->Middle-Modern Aramaic[11126]->Middle Aramaic[12055]->Nabatean[37937],https://religiondatabase.org/browse/1404,Database of Religious History (DRH) [default],merge,,
1419,Ancient Egyptian Religion in the Early 18th Dynasty,Middle Egyptian,5,Language[1747]->Afro-Asiatic[1977]->Egyptian[3238]->Egyptian (Ancient)[4435]->Middle Egyptian[28669],https://religiondatabase.org/browse/1419,Database of Religious History (DRH) [default],merge,,
1434,Kuna,Kuna,6,Language[1747]->Chibchan[1963]->Core Chibchan[3082]->Isthmic Chibchan[4381]->Eastern Isthmic Chibchan[5644]->Kuna[7057],https://religiondatabase.org/browse/1434,eHRAF,merge,,
1461,Saami,Western Saami,4,Language[1747]->Uralic[1967]->Saami[3097]->Western Saami[4412],https://religiondatabase.org/browse/1461,eHRAF,merge,,
1492,Nambicuara,Nambiquaran,2,Language[1747]->Nambiquaran[1884],https://religiondatabase.org/browse/1492,eHRAF,merge,,
1529,Byzantine Iconoclasts (726-787 CE),Greek,5,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341],https://religiondatabase.org/browse/1529,Database of Religious History (DRH) [default],merge,,
1535,الجمعية الخيرية الإسلامية بمدينة سوق الأربعاء The Islamic Benevolent Society in Souk-el-Arba,Arabic,7,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Arabian[7095]->Arabic[8595],https://religiondatabase.org/browse/1535,Database of Religious History (DRH) [default],merge,,
1582,Cult of Bona Dea,Arabic,7,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Arabian[7095]->Arabic[8595],https://religiondatabase.org/browse/1582,Database of Religious History (DRH) [default],merge,,
530,Ingalik,Degexit'an,7,Language[1747]->Athabaskan-Eyak-Tlingit[1886]->Athabaskan-Eyak[2438]->Athabaskan[3881]->Central Alaska-Yukon Athabaskan[5259]->Koyukonic[6629]->Degexit'an[8206],https://religiondatabase.org/browse/530,eHRAF,tip,DEG_XINAG,dege1248
546,Orokaiva,Orokaiva,8,Language[1747]->Nuclear Trans New Guinea[1804]->Greater Binanderean[2147]->Binanderean[3496]->Nuclear Binanderean[4788]->South Binanderean[6047]->Orokaivic[7459]->Orokaiva[8982],https://religiondatabase.org/browse/546,eHRAF,tip,OROKAIVA,orok1269
621,Haitians,Haitian,18,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Italic[4031]->Latino-Faliscan[5349]->Latinic[6736]->Imperial Latin[8284]->Romance[9690]->Italo-Western Romance[10909]->Western Romance[11855]->Shifted Western Romance[12721]->Northwestern Shifted Romance[13414]->Gallo-Rhaetian[13934]->Oil[14282]->Central Oil[14449]->Macro-French[14570]->Circum-Caribbean French[14635]->Haitian[14708],https://religiondatabase.org/browse/621,Database of Religious History (DRH) [default],tip,HAITIAN_CREOLE,hait1244
669,Orokaiva,Aeka,8,Language[1747]->Nuclear Trans New Guinea[1804]->Greater Binanderean[2147]->Binanderean[3496]->Nuclear Binanderean[4788]->South Binanderean[6047]->Orokaivic[7459]->Aeka[8984],https://religiondatabase.org/browse/669,eHRAF,tip,AEKA,aeka1244
744,Rwala Bedouin,Najdi Arabic,10,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Arabian[7095]->Arabic[8595]->Arabian Peninsula Arabic[9964]->North Arabian Beduin Arabic[11105]->Najdi Arabic[12043],https://religiondatabase.org/browse/744,eHRAF,tip,NAJDI_ARABIC,najd1235
1013,Estado da Índia Renegades in Deccan,Goan Konkani,11,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Southern zone[9716]->Marathic[10941]->Marathi-Konkani[11898]->Goan Konkani[12777],https://religiondatabase.org/browse/1013,Database of Religious History (DRH) [default],tip,GOAN_KONKANI,goan1235
