entry_id,entrytag_name,entrytag_level,entrytag_path,Glottocode,Glottolog_Name,ID,Name,tip_name
355,Jewish Babylonian Aramaic (ca. 200-1200 CE),13,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970]->Middle-Modern Aramaic[11126]->Eastern Aramaic[12053]->Central Eastern Aramaic[12891]->North-Eastern Neo-Aramaic[13595]->Jewish Babylonian Aramaic (ca. 200-1200 CE)[14063],jewi1240,Jewish Babylonian Aramaic (ca. 200-1200 CE),ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,AA.SEMITIC.ACHAEMENID_ARAMAIC
358,Bengali,12,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Eastern zone[9719]->Oriya-Gauda-Kamrupa[10949]->Gauda-Kamrupa[11932]->Gauda-Banga[12812]->Bengali[13516],beng1280,Bengali,BENGALI,BENGALI,IE.INDIC.BENGALI
361,Ionic-Attic Ancient Greek,8,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->South Greek[6723]->Central Greek[8272]->Ionic-Attic Ancient Greek[9686],anci1242,Ionic-Attic Ancient Greek,GREEK_ANCIENT,GREEK_ANCIENT,IE.GREEK.GREEK_ANCIENT
364,Bengali,12,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Eastern zone[9719]->Oriya-Gauda-Kamrupa[10949]->Gauda-Kamrupa[11932]->Gauda-Banga[12812]->Bengali[13516],beng1280,Bengali,BENGALI,BENGALI,IE.INDIC.BENGALI
374,Hindi,13,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Midlands Indo-Aryan[9718]->Shaurasenic[10945]->Indo-Aryan Central zone[11905]->Western Hindi[12783]->Hindustani[13478]->Hindi[13972],hind1269,Hindi,HINDI,HINDI,IE.INDIC.HINDI
378,Marathi,13,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Southern zone[9716]->Marathic[10941]->Marathi-Konkani[11898]->Old-Modern Marathi[12776]->Modern Marathi[13475]->Marathi[13964],mara1378,Marathi,MARATHI,MARATHI,IE.INDIC.MARATHI
381,Eastern Panjabi,12,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Northwestern zone[9715]->Sindhi-Lahnda[10938]->Greater Panjabic[11897]->Eastern Panjabic[12772]->Eastern Panjabi[13468],panj1256,Eastern Panjabi,PUNJABI_MAJHI,PUNJABI_MAJHI,IE.INDIC.PUNJABI_MAJHI
383,Marathi,13,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Southern zone[9716]->Marathic[10941]->Marathi-Konkani[11898]->Old-Modern Marathi[12776]->Modern Marathi[13475]->Marathi[13964],mara1378,Marathi,MARATHI,MARATHI,IE.INDIC.MARATHI
386,Kapingamarangi,13,Language[1747]->Austronesian[1807]->Malayo-Polynesian[2158]->Central-Eastern Malayo-Polynesian[27860]->Eastern Malayo-Polynesian[28256]->Oceanic[29007]->Central Pacific linkage[30197]->Tokelau-Fijian[31779]->Polynesian[33552]->Nuclear Polynesian[35286]->Northern Outlier Polynesian-East Polynesian[36899]->Carolinean Outlier Polynesian[38205]->Kapingamarangi[39247],kapi1249,Kapingamarangi,KAPINGAMARANGI,KAPINGAMARANGI,An.OCEANIC.KAPINGAMARANGI
387,Eastern Panjabi,12,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Northwestern zone[9715]->Sindhi-Lahnda[10938]->Greater Panjabic[11897]->Eastern Panjabic[12772]->Eastern Panjabi[13468],panj1256,Eastern Panjabi,PUNJABI_MAJHI,PUNJABI_MAJHI,IE.INDIC.PUNJABI_MAJHI
