NEEDS_CODE,CODE,CODER,entry_id,entry_name,entrytag_name,tip_name,Glottocode,ID,asjp_candidates,source,coding
False,,,1335,Congregation of the Oratory,Latin,IE.ROMANCE.LATIN,lati1261,LATIN,,DRH,SCCSR.v3
False,,,1337,Tell Afis (Syria),Old Aramaic (up to 700 BCE),AA.SEMITIC.AMEDYA_ARAMAIC,,,,manual_B,Willis Monroe
False,,,1340,International Sivananda Yoga Vedanta Centers,French,IE.ROMANCE.FRENCH,stan1290,FRENCH,,DRH,SCCSR.v3
False,,,1348,Disability-focused Christianity for Palestinians,Modern Hebrew,AA.SEMITIC.HEBREW,hebr1245,HEBREW,,DRH,SCCSR.v3
False,,,1349,The Dingxiang Wang Cult,Classical-Middle-Modern Sinitic,ST.CHINESE.XIANG,,,,manual_B,Matthew Hamm
False,,,1352,Śākadvīpīya Brāhmaṇas,Sanskrit,IE.INDIC.SANSKRIT,sans1269,SANSKRIT,,DRH,SCCSR.v3
False,,,1370,Teda,French,IE.ROMANCE.FRENCH,stan1290,FRENCH,,DRH,SCCSR.v3
False,,,1371,Twelver Shi'ism in post-revolutionary Iran,Western Farsi,IE.IRANIAN.PERSIAN,west2369,PERSIAN,,DRH,SCCSR.v3
False,,,1374,The Reformed Church (Early Orthodoxy),French,IE.ROMANCE.FRENCH,stan1290,FRENCH,,DRH,SCCSR.v3
False,,,1386,Liumen (Liu School),Classical-Middle-Modern Sinitic,ST.CHINESE.MANDARIN,,,,manual_B,Matthew Hamm
False,,,1390,Eastern Apache,Lipan Apache,NDe.ATHAPASKAN.LIPAN,lipa1241,LIPAN,,DRH,SCCSR.v3
False,,,1397,The Classic Period Peripheral Coastal Lowlands Ritual Ballgame Cult,Zapotec,OM.POPOLOCAN.SAN_JUAN_CHIQUIHUITLAN,,,,manual_B,Diana Moreiras
False,,,1419,Ancient Egyptian Religion in the Early 18th Dynasty,Middle Egyptian,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN,,,,manual_B,Willis Monroe
False,,,1420,Creek,Creek,Mus.MUSKOGEAN.CREEK,cree1270,CREEK,,DRH,SCCSR.v3
False,,,1426,Early Missionary Christianity in China,Classical-Middle-Modern Sinitic,ST.CHINESE.MANDARIN,,,,manual_B,Matthew Hamm
False,,,1433,Novatians,Latin,IE.ROMANCE.LATIN,lati1261,LATIN,,manual_A,Matthew Hamm
False,,,1434,Kuna,Kuna,Chi.KUNA.CUNA,,,,manual_B,Willis Monroe
False,,,1436,The Monastic School of Gaza,Semitic,IE.GREEK.GREEK_ANCIENT,,,,manual_B,Willis Monroe
False,,,1441,Mexica (Aztec) Religion,Aztec,UA.AZTECAN.CLASSICAL_NAHUATL,,,,manual_B,Diana Moreiras
False,,,1450,Tehuelche,Spanish,IE.ROMANCE.SPANISH,stan1288,SPANISH,,DRH,SCCSR.v3
False,,,1454,Hesychastic Controversy,Greek,IE.GREEK.GREEK_ANCIENT,,,,manual_B,Willis Monroe
False,,,1468,Eastern Christianity From Nicaea to Chalcedon,Greek,IE.GREEK.GREEK_ANCIENT,,,,manual_B,Willis Monroe
False,,,1474,Amahuaca,Yaminahua,Pan.PANOAN.YAMINAWA,yami1256,YAMINAWA,,DRH,SCCSR.v3
False,,,1492,Nambicuara,Nambiquaran,Nam.NAMBIKUARAN.NAMBIKWARA,,,,manual_B,Edward Slingerland
False,,,1495,Secular Buddhists,English,IE.GERMANIC.ENGLISH,stan1293,ENGLISH,,DRH,SCCSR.v3
False,,,1517,Tunisian Women's Associations,French,IE.ROMANCE.FRENCH,stan1290,FRENCH,,DRH,SCCSR.v3
False,,,1521,Order of the Hermits of St Augustine (Augustinian friars),Latin,IE.ROMANCE.LATIN,lati1261,LATIN,,DRH,SCCSR.v3
