ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,classification_glottolog,recently_extinct,long_extinct,tip_name
ABIRPARA_MAHALI,ABIRPARA_MAHALI,maha1291,Mahali,mjx,Eurasia,23.4,85.32,Austroasiatic,"Austroasiatic,Mundaic,NorthMunda,Kherwarian,Santalic",False,False,AuA.MUNDA.ABIRPARA_MAHALI
ABKHAZ,ABKHAZ,abkh1244,Abkhaz,abk,Eurasia,43.08,41.0,Abkhaz-Adyge,"Abkhaz-Adyge,Abkhaz-Abaza",False,False,NWC.NORTHWEST_CAUCASIAN.ABKHAZ
ABNAKI_EASTERN,ABNAKI_EASTERN,east2544,Eastern Abenaki,aaq,North America,45.0,-68.67,Algic,"Algic,Algonquian-Blackfoot,Algonquian,EasternAlgonquian,Maritimes-SouthernNewEnglandAlgonquian,NorthernEasternAlgonquian,Abenaki",True,False,Alg.ALGONQUIAN.ABNAKI_EASTERN
ABNAKI_WESTERN,ABNAKI_WESTERN,west2630,Western Abenaki,abe,North America,44.0,-72.25,Algic,"Algic,Algonquian-Blackfoot,Algonquian,EasternAlgonquian,Maritimes-SouthernNewEnglandAlgonquian,NorthernEasternAlgonquian,Abenaki",False,False,Alg.ALGONQUIAN.ABNAKI_WESTERN
ABRON,ABRON,abro1238,Abron,abr,Africa,8.0,-3.0,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,CentralTano,Akanic",False,False,NC.KWA.ABRON
ABUA,ABUA,abua1244,Abua,abn,Africa,4.91,6.69,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,CentralDelta,Abua-Odual",False,False,NC.CROSS_RIVER.ABUA
ABUI,ABUI,abui1241,Abui,abz,Papunesia,-8.25,124.58,Timor-Alor-Pantar,"Timor-Alor-Pantar,Alor-Pantar,NuclearAlor-Pantar,CentralAlor,Abuic",False,False,TAP.GREATER_ALOR.ABUI
ABUI_ATIMELANG,ABUI_ATIMELANG,abui1241,Abui,abz,Papunesia,-8.25,124.58,Timor-Alor-Pantar,"Timor-Alor-Pantar,Alor-Pantar,NuclearAlor-Pantar,CentralAlor,Abuic",False,False,TAP.GREATER_ALOR.ABUI_ATIMELANG
ABUI_MAKADAI,ABUI_MAKADAI,abui1241,Abui,abz,Papunesia,-8.25,124.58,Timor-Alor-Pantar,"Timor-Alor-Pantar,Alor-Pantar,NuclearAlor-Pantar,CentralAlor,Abuic",False,False,TAP.GREATER_ALOR.ABUI_MAKADAI
ABUI_TAKALELANG,ABUI_TAKALELANG,abui1241,Abui,abz,Papunesia,-8.25,124.58,Timor-Alor-Pantar,"Timor-Alor-Pantar,Alor-Pantar,NuclearAlor-Pantar,CentralAlor,Abuic",False,False,TAP.GREATER_ALOR.ABUI_TAKALELANG
ABUJHMARIA,ABUJHMARIA,mari1414,Maria (India),mrr,Eurasia,19.5,81.0,Dravidian,"Dravidian,SouthDravidian,SouthDravidianII,Gondi,SoutheastGondi",False,False,Dra.SOUTH_CENTRAL_DRAVIDIAN.ABUJHMARIA
ABUL,ABUL,heib1243,Ebang,hbn,Africa,11.25,30.67,Heibanic,"Heibanic,West-CentralHeibanic,CentralHeibanic,Ebang-Logol,Ebang-Laru",False,False,Krd.HEIBAN.ABUL
ABUN,ABUN,abun1252,Abun,kgr,Papunesia,-0.5,132.5,Abun,Abun,False,False,WP.NORTH_CENTRAL_BIRDS_HEAD.ABUN
ABUNG_SUKADANA_LAMPUNG_NYO,ABUNG_SUKADANA_LAMPUNG_NYO,lamp1242,Lampung Nyo,abl,Papunesia,-4.67,105.5,Austronesian,"Austronesian,Malayo-Polynesian,Lampungic",False,False,An.LAMPUNGIC.ABUNG_SUKADANA_LAMPUNG_NYO
ABU_ARAPESH,ABU_ARAPESH,abua1245,Abu' Arapesh,aah,Papunesia,-6.17,140.17,Nuclear Torricelli,"NuclearTorricelli,Kombio-Arapesh-Urat,Arapesh,Mufian-Bukiyip-Abu,Bukiyip-Abu",False,False,Tor.KOMBIO_ARAPESH.ABU_ARAPESH
ACATECO_SAN_MIGUEL_ACATAN,ACATECO_SAN_MIGUEL_ACATAN,west2635,Akateko,knj,North America,15.33,-91.67,Mayan,"Mayan,CoreMayan,WesternMayan,Kanjobalan-Chujean,Kanjobalan,Kanjobal-Jacaltec",False,False,May.MAYAN.ACATECO_SAN_MIGUEL_ACATAN
ACEH,ACEH,achi1257,Acehnese,ace,Papunesia,5.5,95.5,Austronesian,"Austronesian,Malayo-Polynesian,Malayo-Chamic,Aceh-Chamic",False,False,An.MALAYO_SUMBAWAN.ACEH
ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,jewi1240,Jewish Babylonian Aramaic (ca. 200-1200 CE),tmr,Eurasia,32.54,44.42,Afro-Asiatic,"Afro-Asiatic,Semitic,WestSemitic,CentralSemitic,NorthwestSemitic,Aramaic,Imperial-Middle-ModernAramaic,Middle-ModernAramaic,EasternAramaic,CentralEasternAramaic,North-EasternNeo-Aramaic",False,True,AA.SEMITIC.ACHAEMENID_ARAMAIC
ACHAGUA,ACHAGUA,acha1250,Achagua,aca,South America,4.42,-72.25,Arawakan,"Arawakan,Japura-Colombia,NuclearJapura-Colombia,NortheastJapura-Colombia,Piapoco-Achagua",False,False,Arw.NORTHERN_ARAWAKAN.ACHAGUA
ACHANG,ACHANG,acha1249,Longchuan Achang,acn,Eurasia,25.0,98.5,Sino-Tibetan,"Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Burmish,SouthernBurmish,Achangic",False,False,ST.BURMESE_LOLO.ACHANG
ACHE,ACHE,ache1246,Aché,guq,South America,-25.25,-55.17,Tupian,"Tupian,EasternTupian,Maweti-Guarani,Aweti-Guarani,Tupi-Guarani,SouthernTupi-Guarani,Tupi-GuaraniSubgroupI",False,False,Tup.TUPI_GUARANI.ACHE
ACHOLI,ACHOLI,acol1236,Acoli,ach,Africa,3.0,32.67,Nilotic,"Nilotic,WesternNilotic,Lwoo,SouthernLwoo",False,False,ESu.NILOTIC.ACHOLI
ACHOLI_2,ACHOLI_2,acol1236,Acoli,ach,Africa,3.0,32.67,Nilotic,"Nilotic,WesternNilotic,Lwoo,SouthernLwoo",False,False,ESu.NILOTIC.ACHOLI_2
ACHUAR,ACHUAR,achu1248,Achuar-Shiwiar,acu,South America,-3.0,-76.0,Chicham,"Chicham,Shuaric",False,False,Jiv.JIVAROAN.ACHUAR
ACHUMAWI,ACHUMAWI,achu1247,Achumawi,acv,North America,41.5,-121.0,Palaihnihan,Palaihnihan,False,False,Hok.PALAIHNIHAN.ACHUMAWI
ADANG,ADANG,adan1251,Adang,adn,Papunesia,-8.17,124.47,Timor-Alor-Pantar,"Timor-Alor-Pantar,Alor-Pantar,NuclearAlor-Pantar,WestAlor-Straits-Pantar,WestAlor",False,False,TAP.GREATER_ALOR.ADANG
ADANG_PITUNG,ADANG_PITUNG,adan1251,Adang,adn,Papunesia,-8.17,124.47,Timor-Alor-Pantar,"Timor-Alor-Pantar,Alor-Pantar,NuclearAlor-Pantar,WestAlor-Straits-Pantar,WestAlor",False,False,TAP.GREATER_ALOR.ADANG_PITUNG
ADELE,ADELE,adel1244,Adele,ade,Africa,8.17,0.5,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Na-Togo,Basila-Adele",False,False,NC.KWA.ADELE
ADHOLA,ADHOLA,adho1243,Adhola,adh,Africa,0.67,34.0,Nilotic,"Nilotic,WesternNilotic,Lwoo,SouthernLwoo,Adhola-Alur-Luo,Adhola-Luo",False,False,ESu.NILOTIC.ADHOLA
ADILABAD_GONDI,ADILABAD_GONDI,utno1237,Adilabad Gondi,wsg,Eurasia,19.0,81.0,Dravidian,"Dravidian,SouthDravidian,SouthDravidianII,Gondi,NorthwestGondi,SouthwestGondi,SouthernGondi",False,False,Dra.SOUTH_CENTRAL_DRAVIDIAN.ADILABAD_GONDI
ADIOUKROU,ADIOUKROU,adio1239,Adioukrou,adj,Africa,5.42,-4.58,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Agneby",False,False,NC.KWA.ADIOUKROU
ADI_GALO,ADI_GALO,galo1242,Galo,adl,Eurasia,28.23,94.07,Sino-Tibetan,"Sino-Tibetan,Macro-Tani,Tani,Pre-WesternTani,WesternTani,Subansiri",False,False,ST.TANI.ADI_GALO
ADNYAMATHANHA,ADNYAMATHANHA,adny1235,Adnyamathanha,adt,Australia,-30.5,139.5,Pama-Nyungan,"Pama-Nyungan,Arandic-Thura-Yura,Thura-Yura,CoreThuraYura,NorthernThura-Yura",False,False,Aus.PAMA_NYUNGAN.ADNYAMATHANHA
ADUMANIS_ULU_KOMERING,ADUMANIS_ULU_KOMERING,kome1238,Komering,kge,Papunesia,-4.0,105.0,Austronesian,"Austronesian,Malayo-Polynesian,Lampungic,Pesisir",False,False,An.LAMPUNGIC.ADUMANIS_ULU_KOMERING
ADYGHE,ADYGHE,adyg1241,West Circassian,ady,Eurasia,45.23,40.58,Abkhaz-Adyge,"Abkhaz-Adyge,Circassian",False,False,NWC.NORTHWEST_CAUCASIAN.ADYGHE
ADZERA,ADZERA,adze1240,Adzera,adz,Papunesia,-6.25,146.25,Austronesian,"Austronesian,Malayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceaniclinkage,NorthNewGuinealinkage,HuonGulf,Markham,UpperMarkham",False,False,An.OCEANIC.ADZERA
AFADE,AFADE,afad1236,Afade,aal,Africa,11.33,15.33,Afro-Asiatic,"Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Kotoko-Buduma,KotokoSeptentrional,KotokoSeptentrional1",False,False,AA.BIU_MANDARA.AFADE
AFAR,AFAR,afar1241,Afar,aar,Africa,12.0,42.0,Afro-Asiatic,"Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic,Saho-Afar",False,False,AA.LOWLAND_EAST_CUSHITIC.AFAR
AFAR_2,AFAR_2,afar1241,Afar,aar,Africa,12.0,42.0,Afro-Asiatic,"Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic,Saho-Afar",False,False,AA.LOWLAND_EAST_CUSHITIC.AFAR_2
AFITTI,AFITTI,afit1238,Afitti,aft,Africa,12.47,30.75,Nyimang,Nyimang,False,False,ESu.NYIMANG.AFITTI
AFI_AMANDA,AFI_AMANDA,batu1255,Batu,btu,Africa,6.8,10.95,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,Tivoid,NorthTivoid",False,False,NC.BANTOID.AFI_AMANDA
AFRIKAANS,AFRIKAANS,afri1274,Afrikaans,afr,Africa,-31.0,22.0,Indo-European,"Indo-European,ClassicalIndo-European,Germanic,NorthwestGermanic,WestGermanic,Macro-Dutch,Middle-ModernDutch,ModernDutch,GlobalDutch,Afrikaansic",False,False,IE.GERMANIC.AFRIKAANS
AGALA,AGALA,femb1238,Fembe,agl,Papunesia,-5.75,142.25,East Strickland,EastStrickland,False,False,ES.EAST_STRICKLAND.AGALA
AGARABI,AGARABI,agar1252,Agarabi,agd,Papunesia,-6.17,146.0,Nuclear Trans New Guinea,"NuclearTransNewGuinea,Kainantu-Goroka,Kainantu,Gauwa,Gadsup-Agarabi",False,False,TNG.EASTERN_HIGHLANDS.AGARABI
AGHEM_ISU,AGHEM_ISU,aghe1239,Aghem,agq,Africa,6.67,10.0,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields,Ring,Center-WestRing,WestRing,Aghemic,Aghem-Weh",False,False,NC.BANTOID.AGHEM_ISU
AGHEM_WEH,AGHEM_WEH,aghe1239,Aghem,agq,Africa,6.67,10.0,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields,Ring,Center-WestRing,WestRing,Aghemic,Aghem-Weh",False,False,NC.BANTOID.AGHEM_WEH
AGHEM_WUM,AGHEM_WUM,aghe1239,Aghem,agq,Africa,6.67,10.0,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields,Ring,Center-WestRing,WestRing,Aghemic,Aghem-Weh",False,False,NC.BANTOID.AGHEM_WUM
AGHU_2,AGHU_2,aghu1255,Aghu,ahh,Papunesia,-6.17,140.17,Nuclear Trans New Guinea,"NuclearTransNewGuinea,Asmat-Awyu-Ok,Awyu-Ok,GreaterAwyu,Awyu-Dumut,Awyu,Mappi-DigulAwyu",False,False,TNG.AWJU_DUMUT.AGHU_2
AGHU_THARRNGGALA,AGHU_THARRNGGALA,aghu1254,Aghu Tharnggalu,ggr,Australia,-13.73,142.43,Pama-Nyungan,"Pama-Nyungan,Paman,Alaya-Athima,Thaypanic",True,False,Aus.PAMA_NYUNGAN.AGHU_THARRNGGALA
AGI,AGI,moru1253,Moru,mgd,Africa,4.75,29.75,Central Sudanic,"CentralSudanic,Moru-Madi",False,False,CSu.MORU_MAADI.AGI
AGI_AGEI,AGI_AGEI,agii1245,Agi,aif,Papunesia,-3.42,142.42,Nuclear Torricelli,"NuclearTorricelli,Wapei-Palei,WestPalai,Agi-Yeri",False,False,Tor.WAPEI_PALEI.AGI_AGEI
AGI_YOLPA,AGI_YOLPA,agii1245,Agi,aif,Papunesia,-3.42,142.42,Nuclear Torricelli,"NuclearTorricelli,Wapei-Palei,WestPalai,Agi-Yeri",False,False,Tor.WAPEI_PALEI.AGI_YOLPA
AGOB_DABU,AGOB_DABU,agob1244,Agob-Ende-Kawam,kit,Papunesia,-9.0,142.58,Pahoturi,Pahoturi,False,False,MUM.MOREHEAD_AND_UPPER_MARO_RIVERS.AGOB_DABU
AGRA_GUJARI,AGRA_GUJARI,guja1253,Gujari,gju,Eurasia,27.18,78.0,Indo-European,"Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,ContinentalIndo-Aryan,MidlandsIndo-Aryan,Apabhramsic,Gujarati-Rajasthani,Rajasthani,Mewati-Gojri",False,False,IE.INDIC.AGRA_GUJARI
AGTA,AGTA,cent2084,Central Cagayan Agta,agt,Papunesia,17.97,121.83,Austronesian,"Austronesian,Malayo-Polynesian,NorthernLuzon,CagayanValley,Ibanagic,Gaddangic",False,False,An.NORTHERN_LUZON.AGTA
AGUACATEC,AGUACATEC,agua1252,Aguacateco,agu,North America,15.42,-91.33,Mayan,"Mayan,CoreMayan,Quichean-Mamean,GreaterMamean,Ixilan",False,False,May.MAYAN.AGUACATEC
AGUACATECO_AGUACATAN,AGUACATECO_AGUACATAN,agua1252,Aguacateco,agu,North America,15.42,-91.33,Mayan,"Mayan,CoreMayan,Quichean-Mamean,GreaterMamean,Ixilan",False,False,May.MAYAN.AGUACATECO_AGUACATAN
AGUARUNA,AGUARUNA,agua1253,Aguaruna,agr,South America,-5.0,-78.0,Chicham,Chicham,False,False,Jiv.JIVAROAN.AGUARUNA
AGUARUNA_2,AGUARUNA_2,agua1253,Aguaruna,agr,South America,-5.0,-78.0,Chicham,Chicham,False,False,Jiv.JIVAROAN.AGUARUNA_2
AGUL,AGUL,aghu1253,Aghul,agx,Eurasia,41.75,47.67,Nakh-Daghestanian,"Nakh-Daghestanian,Daghestanian,Lezgic,Samur,EasternSamur,Tabasaran-Aghul-Lezgi,Aghul-Lezgi,Aghulic",False,False,NDa.LEZGIC.AGUL
AHAN,AHAN,ahan1244,Àhàn,ahn,Africa,7.43,6.0,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Defoid,Ayere-Ahan",False,False,NC.DEFOID.AHAN
AHANTE,AHANTE,ahan1243,Ahanta,aha,Africa,4.9,-2.0,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,CentralTano,Bia,SouthernBia",False,False,NC.KWA.AHANTE
AHEAVE,AHEAVE,keor1235,Keoru-Ahia,xeu,Papunesia,-7.67,145.42,Eleman,"Eleman,WesternEleman",False,False,Ele.ELEMAN_PROPER.AHEAVE
AHLO,AHLO,igoo1238,Igo,ahl,Africa,6.67,0.67,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Ka-Togo,Kposo-Ahlo-Bowili",False,False,NC.KWA.AHLO
AHOM,AHOM,ahom1240,Ahom,aho,Eurasia,26.98,94.63,Tai-Kadai,"Tai-Kadai,Kam-Tai,Daic-Beic,Daic,Central-SouthwesternTai,Wenma-SouthwesternTai,Sapa-SouthwesternTai,SouthwesternTai,SouthwesternTaiP,Shanic,Sukaphic",True,False,TK.KAM_TAI.AHOM
AHTNA,AHTNA,ahte1237,Ahtena,aht,North America,62.0,-145.0,Athabaskan-Eyak-Tlingit,"Athabaskan-Eyak-Tlingit,Athabaskan-Eyak,Athabaskan,SouthernAlaskanAthabaskan",False,False,NDe.ATHAPASKAN.AHTNA
AIHUI_MANCHU,AIHUI_MANCHU,manc1252,Manchu,mnc,Eurasia,50.25,127.5,Tungusic,"Tungusic,Manchu-Jurchen,Manchu-Xibe",False,False,Alt.TUNGUSIC.AIHUI_MANCHU
AIKANA,AIKANA,aika1237,Aikanã,tba,South America,-12.67,-60.67,Aikanã,Aikana,False,False,Aik.AIKANA.AIKANA
AIKLEP,AIKLEP,aikl1237,Aiklep,mwg,Papunesia,-6.25,149.67,Austronesian,"Austronesian,Malayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceaniclinkage,NorthNewGuinealinkage,Ngero-Vitiazlinkage,Vitiazlinkage,SouthwestNewBritainlinkage,Arawe-Pasismanua,Arawe,WestArawe",False,False,An.OCEANIC.AIKLEP
AIKU,AIKU,yang1296,Yangum Mon,ymo,Papunesia,-3.7,142.6,Nuclear Torricelli,"NuclearTorricelli,Wapei-Palei,CentralTorricelli,NuclearPalai,Yangum-Ambrak,Yangum",False,False,Tor.WAPEI_PALEI.AIKU
AIMELE,AIMELE,aime1238,Aimele,ail,Papunesia,-6.92,142.67,Bosavi,"Bosavi,BosaviWatershed",False,False,Bos.BOSAVI.AIMELE
AINU_ASAHIKAWA,AINU_ASAHIKAWA,ainu1240,Hokkaido Ainu,ain,Eurasia,43.77,142.37,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_ASAHIKAWA
AINU_BIHORO,AINU_BIHORO,ainu1240,Hokkaido Ainu,ain,Eurasia,43.82,144.1,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_BIHORO
AINU_HIRATORI,AINU_HIRATORI,ainu1240,Hokkaido Ainu,ain,Eurasia,42.58,142.13,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_HIRATORI
AINU_HOROBETSU,AINU_HOROBETSU,ainu1240,Hokkaido Ainu,ain,Eurasia,42.42,141.1,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_HOROBETSU
AINU_KUSHIRO,AINU_KUSHIRO,ainu1240,Hokkaido Ainu,ain,Eurasia,42.98,144.38,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_KUSHIRO
AINU_MAOKA,AINU_MAOKA,ainu1240,Hokkaido Ainu,ain,Eurasia,47.05,142.05,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_MAOKA
AINU_NAIRO,AINU_NAIRO,ainu1240,Hokkaido Ainu,ain,Eurasia,45.39,141.06,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_NAIRO
AINU_NAYORO,AINU_NAYORO,ainu1240,Hokkaido Ainu,ain,Eurasia,44.35,142.46,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_NAYORO
AINU_NIIKAPPU,AINU_NIIKAPPU,ainu1240,Hokkaido Ainu,ain,Eurasia,42.37,142.32,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_NIIKAPPU
AINU_NUKKIBETSU,AINU_NUKKIBETSU,ainu1240,Hokkaido Ainu,ain,Eurasia,42.66,142.27,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_NUKKIBETSU
AINU_OBIHIRO,AINU_OBIHIRO,ainu1240,Hokkaido Ainu,ain,Eurasia,42.92,143.2,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_OBIHIRO
AINU_OCHIHO,AINU_OCHIHO,ainu1240,Hokkaido Ainu,ain,Eurasia,46.92,143.09,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_OCHIHO
AINU_OSHAMAMBE,AINU_OSHAMAMBE,ainu1240,Hokkaido Ainu,ain,Eurasia,42.51,140.37,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_OSHAMAMBE
AINU_RAICHISHKA,AINU_RAICHISHKA,ainu1240,Hokkaido Ainu,ain,Eurasia,49.07,142.03,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_RAICHISHKA
AINU_SAMANI,AINU_SAMANI,ainu1240,Hokkaido Ainu,ain,Eurasia,42.13,142.93,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_SAMANI
AINU_SARU,AINU_SARU,ainu1240,Hokkaido Ainu,ain,Eurasia,42.5,142.01,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_SARU
AINU_SHIRAURA,AINU_SHIRAURA,ainu1240,Hokkaido Ainu,ain,Eurasia,47.85,142.52,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_SHIRAURA
AINU_SOYA,AINU_SOYA,ainu1240,Hokkaido Ainu,ain,Eurasia,45.52,141.94,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_SOYA
AINU_TARANTOMARI,AINU_TARANTOMARI,ainu1240,Hokkaido Ainu,ain,Eurasia,46.86,141.97,Ainu,"Ainu,Hokkaido-KurilAinu",False,False,Ain.AINU.AINU_TARANTOMARI
