entry_id,entry_name,entrytag_name,entrytag_level,ID,Glottocode,tip_name,present_in
2453,The Otomi,Language,1,NAHUATL_XOCHIATIPAN,,UA.AZTECAN.NAHUATL_XOCHIATIPAN,v6_only
2483,Malanda Ma Croix Koma,Language,1,NAHUATL_CHINANCAHUATL_ZACUALTIPAN,,UA.AZTECAN.NAHUATL_CHINANCAHUATL_ZACUALTIPAN,v6_only
2484,Simon Kimbangu,Language,1,NAHUATL_IXHUATLAN_DE_MADERO,,UA.AZTECAN.NAHUATL_IXHUATLAN_DE_MADERO,v6_only
2485,Matswanism,Language,1,NAHUATL_SANTA_ANA_TLACOTENCO,,UA.AZTECAN.NAHUATL_SANTA_ANA_TLACOTENCO,v6_only
2486,Ngunzanism,Language,1,GUINAU,,Arw.NORTHERN_ARAWAKAN.GUINAU,v6_only
2490,Wu Zetian's State Buddhism,Literary Chinese,5,TAPE,,An.OCEANIC.TAPE,v6_only
2492,Tendai Buddhism,Language,1,NAHUATL_JICOCINGO_ZACATLAN,,UA.AZTECAN.NAHUATL_JICOCINGO_ZACATLAN,v6_only
2496,Vietnamese popular religion,Language,1,GUINAU,,Arw.NORTHERN_ARAWAKAN.GUINAU,v6_only
2506,Ismailis in Canada,Language,1,GUACHI,,Gch.GUACHI.GUACHI,v6_only
2508,Wari Religion,Language,1,TOTONAC_OZELONACAXTLA,,Tot.TOTONACAN.TOTONAC_OZELONACAXTLA,v6_only
2509,The Rarámuri,Language,1,SAR_INDONESIA,,TAP.GREATER_ALOR.SAR_INDONESIA,v6_only
2548,Turkana religious practices,Language,1,BIGAMBAL,,Aus.PAMA_NYUNGAN.BIGAMBAL,v6_only
2567,Zahiriyyah [in the Iberian Peninsula],Language,1,ALLENTIAC,,Hur.HUARPE.ALLENTIAC,v6_only
2590,Quirigua Ceremonial Center,Language,1,CARIB_1665,,Arw.NORTHERN_ARAWAKAN.CARIB_1665,v6_only
