intercept,beta,effect
0.34393936260039215,0.7117627404117078,0.3678233778113157
0.30390634394353744,0.8668450686057948,0.5629387246622574
0.23731955161389975,0.7039305108976769,0.46661095928377716
0.3667317062064979,0.681826974446285,0.3150952682397871
0.3035930534026246,0.6014856357338665,0.2978925823312419
0.2836088369905061,0.5583127129753658,0.2747038759848597
0.3100690011546299,0.6911146595925965,0.38104565843796667
0.3191711791084947,0.7039888317582393,0.38481765264974466
0.23649655687840943,0.577504865460584,0.34100830858217457
0.28264037990576246,0.608191980879623,0.32555160097386054
0.33352223235578243,0.6496257638575805,0.3161035315017981
0.22419882693080928,0.6078456281704926,0.3836468012396833
0.20919951005920348,0.6364520484927575,0.42725253843355404
0.31664917419574157,0.6338593537394418,0.31721017954370023
0.2991976112049427,0.7725169386362263,0.4733193274312836
0.26343884915099863,0.7624082135699152,0.49896936441891654
0.27888303885472815,0.7187016895433423,0.4398186506886142
0.33971440732627445,0.6838549126956952,0.34414050536942076
0.38172624144936934,0.7243835740920842,0.34265733264271486
0.21355880461625715,0.5842391846252719,0.37068038000901476
0.3190740343761061,0.5741733394504398,0.2550993050743337
0.2626497170649312,0.6377350731915757,0.37508535612664456
0.273849849939754,0.6101077682007613,0.3362579182610073
0.2752991894015188,0.4944972888689993,0.21919809946748048
0.24753566758202797,0.502723064540237,0.255187396958209
0.16062233838538553,0.56002479114592,0.39940245276053443
0.22080362016953803,0.6240678407068782,0.4032642205373401
0.21737757544236902,0.6001694771598673,0.38279190171749833
0.26198456169042267,0.41935430790097594,0.15736974621055327
0.27263041112821335,0.6580377327626893,0.38540732163447594
0.32476598529492356,0.43122281596142126,0.10645683066649769
0.2595501538690893,0.6409073677382743,0.381357213869185
0.3186746715244498,0.5750052000876866,0.25633052856323685
0.38885776079035494,0.6022604131256448,0.21340265233528988
0.2800812130886002,0.5852471663517231,0.30516595326312296
0.26042574068910557,0.5224315809102036,0.262005840221098
0.27555092027726835,0.6526444326344178,0.3770935123571495
0.32302530977656546,0.44445273715822314,0.12142742738165768
0.1905074993048052,0.5072552178606845,0.3167477185558793
0.2802050995414484,0.583756947938045,0.3035518483965966
0.17508384096841614,0.5288529404881346,0.35376909951971847
0.3137470530841118,0.6028223442566651,0.2890752911725533
0.2739954219566078,0.5258759647383727,0.2518805427817649
0.3456393999229768,0.4355026373180285,0.0898632373950517
0.24311799148274044,0.4137543641320951,0.17063637264935466
0.2773626173832316,0.5924502356894449,0.3150876183062133
0.2705850957769398,0.596805462276164,0.32622036649922426
0.2463189710144093,0.5084254574767433,0.262106486462334
0.22295763763876458,0.6004046576585171,0.37744702001975255
0.28338795525218535,0.6250935491171856,0.34170559386500027
0.22206779715359284,0.639023187027066,0.41695538987347314
0.2239075042809441,0.6815286645162069,0.4576211602352628
0.17445743975826045,0.6462182301760138,0.4717607904177533
0.2842898713615958,0.6134741831768077,0.3291843118152119
0.39653649593900986,0.7638505175641082,0.3673140216250983
0.39351372264531226,0.6358998284844068,0.2423861058390946
0.36087748765990574,0.646754066761904,0.2858765791019982
0.2644622848136926,0.6075636348826632,0.3431013500689706
0.26953437532174634,0.5984489312292861,0.32891455590753976
0.336733511742377,0.6300734622755744,0.2933399505331974
0.35400757107203495,0.7304508302087237,0.37644325913668875
0.28254034346647794,0.7284940697602649,0.44595372629378693
0.3493633631092073,0.6519673034739769,0.3026039403647696
0.2278690223562127,0.5331267516408641,0.3052577292846514
0.2693648874471423,0.7281020385039959,0.4587371510568536
0.30825121858288984,0.6857996578963816,0.3775484393134918
0.41438211059411223,0.6280050379485191,0.2136229273544069
0.4135205731502634,0.618354015779507,0.20483344262924358
0.5273010390287229,0.6061144464798036,0.07881340745108067
0.2383399529647713,0.5122324797823709,0.27389252681759957
0.24935728436700927,0.637276128610576,0.38791884424356676
