entry_id,violent_external,food_taboos,year_scaled,world_region,tip_name,ID,Glottocode
962,1,1,0.2184631141268055,East Asia,ST.BODIC.MAQU_TIBETAN,MAQU_TIBETAN,amdo1237
963,1,1,-0.0419144053553425,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
966,1,1,0.1424810621782783,Central Eurasia,Alt.TURKIC.TURKMEN,TURKMEN,turk1304
969,0,0,0.6734288154283526,South Asia,Dra.SOUTHERN_DRAVIDIAN.TAMIL,TAMIL,tami1289
971,1,0,-0.6154862365277615,South Asia,IE.INDIC.SANSKRIT,SANSKRIT,sans1269
972,1,0,-0.6794223534112783,Southwest Asia,AA.SEMITIC.CLASSICAL_SYRIAC,CLASSICAL_SYRIAC,clas1252
973,1,1,0.6308047375060082,South Asia,IE.INDIC.SADRI,SADRI,sadr1248
974,1,0,0.0368474777620331,Southwest Asia,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN,MIDDLE_EGYPTIAN,
975,0,0,0.7558971401041932,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
976,0,0,0.021095101138558,South Asia,IE.INDIC.ASSAMESE,ASSAMESE,assa1263
978,0,0,0.3111241530884241,Southeast Asia,IE.ROMANCE.LATIN,LATIN,lati1261
980,0,0,0.0099757764631638,East Asia,Jap.JAPANESE.TOKYO_JAPANESE,TOKYO_JAPANESE,nucl1643
982,1,1,-1.5411700157543309,Southwest Asia,IE.GREEK.GREEK_ANCIENT,GREEK_ANCIENT,anci1242
983,0,0,-0.5228251975661429,South Asia,ST.BODIC.SHERPA,SHERPA,sher1255
984,0,0,0.3296563608807478,Europe,IE.ROMANCE.FRENCH,FRENCH,stan1290
985,0,0,-0.0521071196411206,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
986,0,0,-0.9397998728934264,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
987,0,0,0.4037851920500427,South Asia,IE.INDIC.GUJARATI,GUJARATI,guja1252
988,0,0,0.6187588024409978,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
989,0,0,0.7077133998441516,Europe,IE.ROMANCE.FRENCH,FRENCH,stan1290
991,0,0,0.7225391660780105,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
