marker,parameter,median,lo95,hi95
hair,world_regionEastAsia,0.64,-0.34,1.65
hair,world_regionEurope,-0.24,-1.35,0.85
hair,world_regionNorthAmerica,-0.44,-1.92,0.91
hair,world_regionOceaniaMAustralia,0.47,-1.4,2.29
hair,world_regionSouthAmerica,0.51,-1.01,2
hair,world_regionSouthAsia,0.49,-0.53,1.74
hair,world_regionSoutheastAsia,-0.14,-1.65,1.29
hair,world_regionSouthwestAsia,-0.62,-2.12,0.75
ornaments,Intercept,-1.61,-2.29,-0.89
ornaments,violent_internal,-0.25,-1.16,0.57
ornaments,year_scaled,-0.33,-0.73,0.11
ornaments,world_regionCentralEurasia,-0.11,-1.55,1.35
ornaments,world_regionEastAsia,-0.13,-1.13,0.91
ornaments,world_regionEurope,-1.09,-2.31,0.15
ornaments,world_regionNorthAmerica,-0.55,-1.9,0.76
ornaments,world_regionOceaniaMAustralia,0.47,-1.34,2.25
ornaments,world_regionSouthAmerica,1.01,-0.43,2.45
ornaments,world_regionSouthAsia,0.76,-0.26,1.78
ornaments,world_regionSoutheastAsia,-0.15,-1.65,1.26
ornaments,world_regionSouthwestAsia,-0.3,-1.62,1
permanent_scarring,Intercept,-3.76,-4.86,-2.75
permanent_scarring,violent_internal,1.06,-0.09,2.1
permanent_scarring,year_scaled,-0.82,-1.38,-0.25
permanent_scarring,world_regionCentralEurasia,-0.11,-2.03,1.66
permanent_scarring,world_regionEastAsia,0.37,-1.05,1.69
permanent_scarring,world_regionEurope,-0.35,-1.75,1.01
permanent_scarring,world_regionNorthAmerica,0.66,-0.87,2.12
permanent_scarring,world_regionOceaniaMAustralia,0.44,-1.46,2.22
permanent_scarring,world_regionSouthAmerica,-0.11,-2.04,1.68
permanent_scarring,world_regionSouthAsia,0.44,-1.02,1.8
permanent_scarring,world_regionSoutheastAsia,0.47,-1.15,2.11
permanent_scarring,world_regionSouthwestAsia,-0.3,-1.85,1.14
tattoos_scarification,Intercept,-2.48,-3.36,-1.68
tattoos_scarification,violent_internal,-0.47,-1.67,0.67
tattoos_scarification,year_scaled,-0.5,-1.01,0.04
tattoos_scarification,world_regionCentralEurasia,-0.36,-2.1,1.38
tattoos_scarification,world_regionEastAsia,0.13,-1.12,1.37
tattoos_scarification,world_regionEurope,-1.09,-2.48,0.33
tattoos_scarification,world_regionNorthAmerica,-0.07,-1.49,1.37
tattoos_scarification,world_regionOceaniaMAustralia,0.46,-1.46,2.21
tattoos_scarification,world_regionSouthAmerica,0.43,-1.45,2.06
tattoos_scarification,world_regionSouthAsia,0.11,-1.24,1.46
tattoos_scarification,world_regionSoutheastAsia,0.26,-1.37,1.83
tattoos_scarification,world_regionSouthwestAsia,-0.87,-2.46,0.62
