marker,model,parameter,median,lo95,hi95
extra_ritual_group_markers,fit_phylo_year,world_regionSoutheastAsia,-0.26,-1.57,1.02
extra_ritual_group_markers,fit_phylo_year,world_regionSouthwestAsia,-0.54,-1.86,0.65
food_taboos,fit_base,Intercept,-1.58,-2.01,-1.16
food_taboos,fit_base,violent_internal,0.43,-0.34,1.12
food_taboos,fit_phylo,Intercept,-1.61,-2.11,-1.11
food_taboos,fit_phylo,violent_internal,0.45,-0.31,1.19
food_taboos,fit_phylo_repeat,Intercept,-1.63,-2.22,-1.14
food_taboos,fit_phylo_repeat,violent_internal,0.46,-0.3,1.24
food_taboos,fit_phylo_year,Intercept,-1.73,-2.5,-1.12
food_taboos,fit_phylo_year,violent_internal,0.49,-0.29,1.24
food_taboos,fit_phylo_year,year_scaled,-0.18,-0.6,0.26
food_taboos,fit_phylo_year,world_regionCentralEurasia,-0.43,-2.17,1.17
food_taboos,fit_phylo_year,world_regionEastAsia,0.35,-0.68,1.34
food_taboos,fit_phylo_year,world_regionEurope,0.09,-0.93,1.06
food_taboos,fit_phylo_year,world_regionNorthAmerica,-0.57,-1.95,0.69
food_taboos,fit_phylo_year,world_regionOceaniaMAustralia,0.57,-1.24,2.53
food_taboos,fit_phylo_year,world_regionSouthAmerica,0.15,-1.41,1.75
food_taboos,fit_phylo_year,world_regionSouthAsia,0.4,-0.63,1.39
food_taboos,fit_phylo_year,world_regionSoutheastAsia,-0.29,-1.76,1.14
food_taboos,fit_phylo_year,world_regionSouthwestAsia,-0.18,-1.56,1.18
hair,fit_base,Intercept,-1.65,-2.1,-1.21
hair,fit_base,violent_internal,-0.21,-1.08,0.64
hair,fit_phylo,Intercept,-1.66,-2.23,-1.1
hair,fit_phylo,violent_internal,-0.16,-1.09,0.74
hair,fit_phylo_repeat,Intercept,-1.71,-2.33,-1.1
hair,fit_phylo_repeat,violent_internal,-0.13,-1.04,0.79
hair,fit_phylo_year,Intercept,-1.83,-2.65,-1.12
hair,fit_phylo_year,violent_internal,-0.12,-1.05,0.76
hair,fit_phylo_year,year_scaled,-0.27,-0.71,0.18
hair,fit_phylo_year,world_regionCentralEurasia,-0.4,-2.1,1.26
hair,fit_phylo_year,world_regionEastAsia,0.7,-0.32,1.69
hair,fit_phylo_year,world_regionEurope,-0.23,-1.44,0.87
hair,fit_phylo_year,world_regionNorthAmerica,-0.36,-1.84,0.94
hair,fit_phylo_year,world_regionOceaniaMAustralia,0.51,-1.28,2.3
hair,fit_phylo_year,world_regionSouthAmerica,0.58,-0.98,2.06
hair,fit_phylo_year,world_regionSouthAsia,0.37,-0.76,1.51
hair,fit_phylo_year,world_regionSoutheastAsia,-0.11,-1.67,1.37
hair,fit_phylo_year,world_regionSouthwestAsia,-0.95,-2.5,0.6
ornaments,fit_base,Intercept,-1.65,-2.09,-1.2
ornaments,fit_base,violent_internal,-0.08,-0.94,0.73
ornaments,fit_phylo,Intercept,-1.65,-2.29,-1.14
ornaments,fit_phylo,violent_internal,-0.06,-0.92,0.85
ornaments,fit_phylo_repeat,Intercept,-1.71,-2.33,-1.09
ornaments,fit_phylo_repeat,violent_internal,-0.06,-0.9,0.81
ornaments,fit_phylo_year,Intercept,-1.7,-2.44,-0.96
ornaments,fit_phylo_year,violent_internal,-0.13,-1.05,0.73
ornaments,fit_phylo_year,year_scaled,-0.14,-0.61,0.3
ornaments,fit_phylo_year,world_regionCentralEurasia,-0.45,-2.28,1.11
ornaments,fit_phylo_year,world_regionEastAsia,-0.05,-1.15,1
ornaments,fit_phylo_year,world_regionEurope,-0.88,-2.2,0.37
ornaments,fit_phylo_year,world_regionNorthAmerica,-0.92,-2.42,0.5
ornaments,fit_phylo_year,world_regionOceaniaMAustralia,0.57,-1.18,2.41
ornaments,fit_phylo_year,world_regionSouthAmerica,1.13,-0.35,2.63
ornaments,fit_phylo_year,world_regionSouthAsia,0.83,-0.25,1.88
ornaments,fit_phylo_year,world_regionSoutheastAsia,0.27,-1.16,1.57
ornaments,fit_phylo_year,world_regionSouthwestAsia,-0.43,-1.87,1.01
permanent_scarring,fit_base,Intercept,-3.24,-4.03,-2.5
permanent_scarring,fit_base,violent_internal,1.11,0.12,2.18
permanent_scarring,fit_phylo,Intercept,-3.24,-4.1,-2.41
permanent_scarring,fit_phylo,violent_internal,1.17,0.1,2.16
permanent_scarring,fit_phylo_repeat,Intercept,-3.3,-4.29,-2.45
permanent_scarring,fit_phylo_repeat,violent_internal,1.18,0.1,2.21
permanent_scarring,fit_phylo_year,Intercept,-3.47,-4.53,-2.48
permanent_scarring,fit_phylo_year,violent_internal,1.2,0.12,2.24
permanent_scarring,fit_phylo_year,year_scaled,-0.65,-1.21,-0.1
permanent_scarring,fit_phylo_year,world_regionCentralEurasia,-0.12,-1.9,1.79
permanent_scarring,fit_phylo_year,world_regionEastAsia,-0.12,-1.56,1.29
permanent_scarring,fit_phylo_year,world_regionEurope,-0.45,-1.81,0.91
permanent_scarring,fit_phylo_year,world_regionNorthAmerica,0.49,-0.96,1.93
permanent_scarring,fit_phylo_year,world_regionOceaniaMAustralia,0.46,-1.26,2.29
permanent_scarring,fit_phylo_year,world_regionSouthAmerica,0.49,-1.16,2.12
permanent_scarring,fit_phylo_year,world_regionSouthAsia,0.21,-1.17,1.53
permanent_scarring,fit_phylo_year,world_regionSoutheastAsia,0.37,-1.33,1.97
permanent_scarring,fit_phylo_year,world_regionSouthwestAsia,-0.25,-1.83,1.26
tattoos_scarification,fit_base,Intercept,-2.6,-3.22,-2
tattoos_scarification,fit_base,violent_internal,-0.07,-1.19,0.98
tattoos_scarification,fit_phylo,Intercept,-2.61,-3.35,-1.94
tattoos_scarification,fit_phylo,violent_internal,-0.05,-1.17,1.07
tattoos_scarification,fit_phylo_repeat,Intercept,-2.68,-3.49,-1.96
tattoos_scarification,fit_phylo_repeat,violent_internal,-0.06,-1.21,1.06
tattoos_scarification,fit_phylo_year,Intercept,-2.68,-3.6,-1.78
tattoos_scarification,fit_phylo_year,violent_internal,-0.04,-1.2,1.04
tattoos_scarification,fit_phylo_year,year_scaled,-0.17,-0.76,0.49
tattoos_scarification,fit_phylo_year,world_regionCentralEurasia,-0.22,-2.03,1.5
tattoos_scarification,fit_phylo_year,world_regionEastAsia,0.44,-0.87,1.61
tattoos_scarification,fit_phylo_year,world_regionEurope,-0.87,-2.44,0.55
tattoos_scarification,fit_phylo_year,world_regionNorthAmerica,-0.59,-2.16,0.96
tattoos_scarification,fit_phylo_year,world_regionOceaniaMAustralia,0.71,-1.14,2.65
tattoos_scarification,fit_phylo_year,world_regionSouthAmerica,0.5,-1.15,2.17
tattoos_scarification,fit_phylo_year,world_regionSouthAsia,0.11,-1.32,1.37
tattoos_scarification,fit_phylo_year,world_regionSoutheastAsia,0.26,-1.39,1.78
tattoos_scarification,fit_phylo_year,world_regionSouthwestAsia,-0.6,-2.22,1.1
