marker,model,parameter,median,lo95,hi95
food_taboos,fit_phylo_year,world_regionSoutheastAsia,-0.24,-1.7,1.23
food_taboos,fit_phylo_year,world_regionSouthwestAsia,-0.18,-1.53,1.13
hair,fit_base,Intercept,-1.65,-2.1,-1.19
hair,fit_base,violent_internal,-0.2,-1.08,0.64
hair,fit_phylo,Intercept,-1.65,-2.22,-1.08
hair,fit_phylo,violent_internal,-0.18,-1.07,0.7
hair,fit_phylo_repeat,Intercept,-1.69,-2.33,-1.14
hair,fit_phylo_repeat,violent_internal,-0.15,-1.09,0.72
hair,fit_phylo_year,Intercept,-1.82,-2.61,-1.08
hair,fit_phylo_year,violent_internal,-0.13,-1.04,0.83
hair,fit_phylo_year,year_scaled,-0.26,-0.7,0.21
hair,fit_phylo_year,world_regionCentralEurasia,-0.42,-2.15,1.23
hair,fit_phylo_year,world_regionEastAsia,0.69,-0.31,1.73
hair,fit_phylo_year,world_regionEurope,-0.25,-1.39,0.89
hair,fit_phylo_year,world_regionNorthAmerica,-0.36,-1.77,1.01
hair,fit_phylo_year,world_regionOceaniaMAustralia,0.54,-1.27,2.38
hair,fit_phylo_year,world_regionSouthAmerica,0.58,-0.95,2.01
hair,fit_phylo_year,world_regionSouthAsia,0.37,-0.78,1.53
hair,fit_phylo_year,world_regionSoutheastAsia,-0.05,-1.62,1.36
hair,fit_phylo_year,world_regionSouthwestAsia,-0.95,-2.53,0.57
ornaments,fit_base,Intercept,-1.7,-2.15,-1.26
ornaments,fit_base,violent_internal,-0.16,-1.06,0.68
ornaments,fit_phylo,Intercept,-1.71,-2.36,-1.14
ornaments,fit_phylo,violent_internal,-0.15,-1.08,0.71
ornaments,fit_phylo_repeat,Intercept,-1.78,-2.44,-1.18
ornaments,fit_phylo_repeat,violent_internal,-0.15,-1.07,0.7
ornaments,fit_phylo_year,Intercept,-1.75,-2.53,-1.05
ornaments,fit_phylo_year,violent_internal,-0.22,-1.13,0.72
ornaments,fit_phylo_year,year_scaled,-0.19,-0.64,0.28
ornaments,fit_phylo_year,world_regionCentralEurasia,-0.44,-2.14,1.2
ornaments,fit_phylo_year,world_regionEastAsia,-0.26,-1.41,0.86
ornaments,fit_phylo_year,world_regionEurope,-0.86,-2.17,0.41
ornaments,fit_phylo_year,world_regionNorthAmerica,-0.89,-2.37,0.61
ornaments,fit_phylo_year,world_regionOceaniaMAustralia,0.57,-1.3,2.32
ornaments,fit_phylo_year,world_regionSouthAmerica,1.15,-0.35,2.67
ornaments,fit_phylo_year,world_regionSouthAsia,0.91,-0.11,2.04
ornaments,fit_phylo_year,world_regionSoutheastAsia,-0.07,-1.53,1.45
ornaments,fit_phylo_year,world_regionSouthwestAsia,-0.44,-1.82,1.06
permanent_scarring,fit_base,Intercept,-3.38,-4.25,-2.62
permanent_scarring,fit_base,violent_internal,1.09,-0.03,2.14
permanent_scarring,fit_phylo,Intercept,-3.37,-4.32,-2.46
permanent_scarring,fit_phylo,violent_internal,1.14,0.06,2.28
permanent_scarring,fit_phylo_repeat,Intercept,-3.45,-4.45,-2.47
permanent_scarring,fit_phylo_repeat,violent_internal,1.16,0.08,2.3
permanent_scarring,fit_phylo_year,Intercept,-3.76,-4.87,-2.66
permanent_scarring,fit_phylo_year,violent_internal,1.19,0.03,2.34
permanent_scarring,fit_phylo_year,year_scaled,-0.78,-1.33,-0.15
permanent_scarring,fit_phylo_year,world_regionCentralEurasia,-0.08,-1.95,1.82
permanent_scarring,fit_phylo_year,world_regionEastAsia,0.02,-1.54,1.44
permanent_scarring,fit_phylo_year,world_regionEurope,-0.29,-1.73,1.14
permanent_scarring,fit_phylo_year,world_regionNorthAmerica,0.67,-0.81,2.14
permanent_scarring,fit_phylo_year,world_regionOceaniaMAustralia,0.46,-1.43,2.2
permanent_scarring,fit_phylo_year,world_regionSouthAmerica,-0.13,-2.01,1.69
permanent_scarring,fit_phylo_year,world_regionSouthAsia,0.4,-1,1.85
permanent_scarring,fit_phylo_year,world_regionSoutheastAsia,0.5,-1.19,2.09
permanent_scarring,fit_phylo_year,world_regionSouthwestAsia,-0.15,-1.77,1.32
tattoos_scarification,fit_base,Intercept,-2.62,-3.25,-1.99
tattoos_scarification,fit_base,violent_internal,-0.29,-1.49,0.8
tattoos_scarification,fit_phylo,Intercept,-2.63,-3.35,-1.94
tattoos_scarification,fit_phylo,violent_internal,-0.3,-1.48,0.84
tattoos_scarification,fit_phylo_repeat,Intercept,-2.71,-3.54,-1.98
tattoos_scarification,fit_phylo_repeat,violent_internal,-0.29,-1.62,0.77
tattoos_scarification,fit_phylo_year,Intercept,-2.65,-3.58,-1.78
tattoos_scarification,fit_phylo_year,violent_internal,-0.29,-1.53,0.88
tattoos_scarification,fit_phylo_year,year_scaled,-0.22,-0.82,0.38
tattoos_scarification,fit_phylo_year,world_regionCentralEurasia,-0.23,-1.97,1.57
tattoos_scarification,fit_phylo_year,world_regionEastAsia,0.11,-1.32,1.31
tattoos_scarification,fit_phylo_year,world_regionEurope,-0.87,-2.41,0.52
tattoos_scarification,fit_phylo_year,world_regionNorthAmerica,-0.54,-2.2,1.02
tattoos_scarification,fit_phylo_year,world_regionOceaniaMAustralia,0.65,-1.1,2.51
tattoos_scarification,fit_phylo_year,world_regionSouthAmerica,0.51,-1.3,2.14
tattoos_scarification,fit_phylo_year,world_regionSouthAsia,0.15,-1.18,1.5
tattoos_scarification,fit_phylo_year,world_regionSoutheastAsia,0.3,-1.31,1.82
tattoos_scarification,fit_phylo_year,world_regionSouthwestAsia,-0.64,-2.26,0.98
