marker,model,parameter,rhat,ess_bulk,ess_tail
tattoos_scarification,fit_phylo_repeat,violent_internal,1,12833.26,5831.69
tattoos_scarification,fit_phylo_year,Intercept,1,7630.38,4876.94
tattoos_scarification,fit_phylo_year,violent_internal,1,10709.81,5069.16
tattoos_scarification,fit_phylo_year,year_scaled,1,9564.96,5433.79
tattoos_scarification,fit_phylo_year,world_regionCentralEurasia,1,12630.46,6089.97
tattoos_scarification,fit_phylo_year,world_regionEastAsia,1,11069.47,6361.35
tattoos_scarification,fit_phylo_year,world_regionEurope,1,11341.4,5836.48
tattoos_scarification,fit_phylo_year,world_regionNorthAmerica,1,13651.63,5293.77
tattoos_scarification,fit_phylo_year,world_regionOceaniaMAustralia,1,11889.97,6441.66
tattoos_scarification,fit_phylo_year,world_regionSouthAmerica,1,13559.75,6369.14
tattoos_scarification,fit_phylo_year,world_regionSouthAsia,1,10303.48,5536.98
tattoos_scarification,fit_phylo_year,world_regionSoutheastAsia,1,11709.52,5480.56
tattoos_scarification,fit_phylo_year,world_regionSouthwestAsia,1,11746.58,5771.96
