entry_id,circumcision,dress,extra_ritual_group_markers,food_taboos,hair,ornaments,permanent_scarring,tattoos_scarification,violent_external,violent_internal,year_from,region_id,data_source,world_region,year_scaled,judges_other,judges_own,legal_code_other,legal_code_own,military_participate,military_possess,military_protected,police_force_other,police_force_own,punish_other,punish_own,society_type,state
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980,381,Database of Religious History (DRH) [default],Southeast Asia,0.8007916918458977,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,A state,1.0
415,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1970,667,Database of Religious History (DRH) [default],South Asia,0.7914804632359665,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,A state,1.0
419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970,673,Database of Religious History (DRH) [default],South Asia,0.7914804632359665,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,A state,1.0
422,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1500,50,Database of Religious History (DRH) [default],Europe,-2.439515864410167,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,A state,1.0
424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-550,548,Database of Religious History (DRH) [default],Southwest Asia,-1.5549491464667011,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,An empire,1.0
441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1690,690,Database of Religious History (DRH) [default],South Asia,0.5307660621578923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A state,1.0
442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,311,691,Database of Religious History (DRH) [default],Africa,-0.7532523631516231,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,An empire,1.0
455,,,,,,,0.0,,0.0,0.0,1292,703,Database of Religious History (DRH) [default],Southeast Asia,0.1601791634826297,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,A state,1.0
456,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,,-165,485,Database of Religious History (DRH) [default],Southwest Asia,-1.1964668449843492,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,A state,1.0
469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916,717,Database of Religious History (DRH) [default],East Asia,0.7411998287423379,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,A state,1.0
470,,,,,,,1.0,,1.0,1.0,-800,719,Database of Religious History (DRH) [default],Europe,-1.7877298617149815,,,,,1.0,1.0,1.0,,,,1.0,A state,1.0
476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1000,724,Database of Religious History (DRH) [default],Southeast Asia,-0.1117087119273619,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,
483,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2015,720,Database of Religious History (DRH) [default],Europe,0.833380991980657,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,
484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2015,720,Database of Religious History (DRH) [default],Europe,0.833380991980657,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,
485,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,,500,730,Database of Religious History (DRH) [default],Europe,-0.577270142423923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A tribe,0.0
486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1830,731,Database of Religious History (DRH) [default],North America,0.6611232626969294,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,A state,1.0
490,,1.0,1.0,,,,0.0,0.0,0.0,0.0,1260,738,Database of Religious History (DRH) [default],Europe,0.1303832319308497,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A state,1.0
492,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-800,737,Database of Religious History (DRH) [default],Europe,-1.7877298617149815,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,A state,1.0
520,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1600,762,Database of Religious History (DRH) [default],Southeast Asia,0.4469650046685113,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,An empire,1.0
525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1951,660,Database of Religious History (DRH) [default],Africa,0.7737891288770972,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,A state,1.0
526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1900,766,Database of Religious History (DRH) [default],Southeast Asia,0.7263018629664479,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,A tribe,0.0
534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-42,132,Database of Religious History (DRH) [default],Europe,-1.0819387330821952,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,An empire,1.0
562,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1017,480,Database of Religious History (DRH) [default],South Asia,-0.0958796232904788,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,An empire,1.0
563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845,797,Database of Religious History (DRH) [default],South Asia,0.6750901056118263,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
564,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1950,799,Database of Religious History (DRH) [default],South Asia,0.7728580060161041,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,
565,,,,,,,1.0,,0.0,1.0,1925,803,eHRAF,Africa,0.749579934491276,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,A state,1.0
567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001,802,Database of Religious History (DRH) [default],Europe,0.8203452719267533,1.0,0.0,1.0,0.0,,0.0,,1.0,0.0,1.0,0.0,,
570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1986,806,Database of Religious History (DRH) [default],Southeast Asia,0.8063784290118564,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,
576,,,1.0,1.0,,1.0,1.0,1.0,,0.0,1000,811,Database of Religious History (DRH) [default],Southeast Asia,-0.1117087119273619,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,A tribe,0.0
577,,,,,,,0.0,,1.0,1.0,1860,812,eHRAF,Africa,0.6890569485267231,,1.0,,,,1.0,,,,,1.0,A state,1.0
580,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1700,817,Database of Religious History (DRH) [default],South Asia,0.5400772907678235,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,
581,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1970,818,Database of Religious History (DRH) [default],Southeast Asia,0.7914804632359665,,0.0,,0.0,,0.0,,1.0,0.0,1.0,,A band,0.0
590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670,824,Database of Religious History (DRH) [default],East Asia,-0.4189792560550923,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,An empire,1.0
592,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1200,826,Database of Religious History (DRH) [default],South Asia,0.0745158602712624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
598,,,,,,,1.0,,1.0,1.0,1875,833,eHRAF,Africa,0.7030237914416199,,0.0,,0.0,,1.0,,,0.0,,0.0,A chiefdom,0.0
602,1.0,,1.0,,,1.0,,1.0,1.0,,1930,837,eHRAF,Africa,0.7542355487962417,1.0,1.0,,1.0,,1.0,,,,,,A state,1.0
604,1.0,,1.0,,,,,,0.0,0.0,1890,838,eHRAF,Africa,0.7169906343565168,,,,0.0,,,,,,,,A chiefdom,0.0
607,,,,,,,0.0,,0.0,0.0,-400,467,Database of Religious History (DRH) [default],East Asia,-1.4152807173177329,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,A state,1.0
608,1.0,,1.0,1.0,,,,,1.0,1.0,1926,841,eHRAF,Southwest Asia,0.7505110573522691,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,,,A chiefdom,0.0
623,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1893,1131,Database of Religious History (DRH) [default],North America,0.7197840029394961,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,A state,1.0
624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1550,857,Database of Religious History (DRH) [default],South Asia,0.4004088616188552,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,A tribe,0.0
626,,,,,,,0.0,,0.0,0.0,1907,859,eHRAF,South America,0.7328197229933998,,0.0,,0.0,,,,,0.0,,0.0,A band,0.0
629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,861,Database of Religious History (DRH) [default],South Asia,0.0745158602712624,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,A state,1.0
630,1.0,,1.0,,,,0.0,,1.0,,1886,862,eHRAF,Oceania-Australia,0.7132661429125442,,0.0,,0.0,,,,,0.0,,,A tribe,0.0
632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,-650,864,Database of Religious History (DRH) [default],Europe,-1.6480614325660137,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A state,1.0
633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1238,865,Database of Religious History (DRH) [default],South Asia,0.1098985289890011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A state,1.0
645,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1100,873,Database of Religious History (DRH) [default],South Asia,-0.0185964258280497,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,
649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,480,Database of Religious History (DRH) [default],South Asia,-0.3910455702252986,1.0,0.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,,
654,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1198,493,Database of Religious History (DRH) [default],Europe,0.0726536145492762,,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,,1.0,A state,1.0
655,,,,,,,1.0,,0.0,0.0,1917,881,eHRAF,South America,0.742130951603331,,0.0,,,,0.0,,,1.0,,0.0,A band,0.0
658,,,,,,,0.0,,0.0,0.0,1925,884,eHRAF,South America,0.749579934491276,1.0,,1.0,0.0,,,,1.0,,1.0,,A tribe,0.0
661,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1113,887,Database of Religious History (DRH) [default],Europe,-0.0064918286351391,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,A state,1.0
662,,,,,,,0.0,,0.0,1.0,1922,888,eHRAF,South America,0.7467865659082966,,,,,,,,,0.0,,,A tribe,0.0
666,,,,,,,0.0,,1.0,1.0,1914,890,eHRAF,Oceania-Australia,0.7393375830203517,1.0,0.0,1.0,,,,,1.0,0.0,1.0,,A tribe,0.0
667,,,1.0,,,1.0,,1.0,0.0,1.0,1855,891,eHRAF,East Asia,0.6844013342217574,,0.0,,,,,,,0.0,,,A tribe,0.0
674,,,,,,,0.0,,0.0,,1915,898,eHRAF,South America,0.7402687058813447,1.0,0.0,,,1.0,,,,0.0,,,,
675,,,,,,,0.0,,1.0,1.0,1885,899,eHRAF,Europe,0.7123350200515511,,0.0,,,,,,,0.0,,,A band,0.0
676,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1198,900,Database of Religious History (DRH) [default],Europe,0.0726536145492762,1.0,0.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,A state,1.0
679,,,,,,,0.0,,0.0,0.0,1915,903,eHRAF,South Asia,0.7402687058813447,,1.0,,,,,,,1.0,,,A chiefdom,0.0
680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1850,677,Database of Religious History (DRH) [default],South Asia,0.6797457199167919,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,
681,,,,,,,0.0,,1.0,1.0,-2350,904,Database of Religious History (DRH) [default],Southwest Asia,-3.230970296254321,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,An empire,1.0
682,,,,,,,0.0,,1.0,1.0,1905,910,eHRAF,South Asia,0.7309574772714136,1.0,0.0,,,,,,,0.0,,,A chiefdom,0.0
684,,,,,,,0.0,,1.0,1.0,1615,907,eHRAF,North America,0.4609318475834081,,,,,,,,,0.0,,0.0,A chiefdom,0.0
685,,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,1940,908,eHRAF,Southeast Asia,0.7635467774061728,,0.0,,,,,,,0.0,,0.0,A tribe,0.0
688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1866,496,Database of Religious History (DRH) [default],South Asia,0.6946436856926818,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,A state,1.0
689,,,,,,,0.0,,1.0,0.0,1869,911,eHRAF,South America,0.6974370542756612,,0.0,,0.0,,,,,0.0,,,A band,0.0
690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1880,496,Database of Religious History (DRH) [default],South Asia,0.7076794057465855,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,A state,1.0
691,,,,,,,0.0,,1.0,,1870,912,eHRAF,Africa,0.6983681771366543,,1.0,,1.0,,1.0,,,1.0,,,A state,1.0
694,,,,,,,0.0,,1.0,0.0,1880,915,eHRAF,North America,0.7076794057465855,,0.0,,0.0,,,,,0.0,,0.0,A chiefdom,0.0
710,,,,,,,0.0,,1.0,0.0,1816,923,eHRAF,North America,0.6480875426430257,,0.0,,,,,,,1.0,,,A chiefdom,0.0
711,,,1.0,,,,,1.0,1.0,1.0,1912,924,eHRAF,Oceania-Australia,0.7374753372983655,,0.0,,0.0,,,,1.0,0.0,,,A tribe,0.0
714,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,550,480,Database of Religious History (DRH) [default],South Asia,-0.5307139993742669,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,A state,1.0
719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845,342,Database of Religious History (DRH) [default],North America,0.6750901056118263,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,A state,1.0
721,,,,,,,0.0,,0.0,0.0,1910,929,eHRAF,Southeast Asia,0.7356130915763792,,0.0,,0.0,,,,,0.0,,,A band,0.0
726,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-700,934,Database of Religious History (DRH) [default],South Asia,-1.6946175756156696,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,A chiefdom,0.0
727,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1160,935,Database of Religious History (DRH) [default],Southeast Asia,0.0372709458315375,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,A tribe,0.0
728,,,,,,,0.0,,0.0,0.0,1928,936,eHRAF,Oceania-Australia,0.7523733030742553,,0.0,,,,,,,0.0,,,A tribe,0.0
729,1.0,,1.0,,,1.0,0.0,,1.0,0.0,1895,937,eHRAF,Africa,0.7216462486614823,1.0,0.0,,,,,,,0.0,,,A tribe,0.0
732,,,1.0,,,,,1.0,1.0,1.0,1800,938,eHRAF,Oceania-Australia,0.6331895768671357,,0.0,,,,,,,0.0,,0.0,A chiefdom,0.0
739,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1885,945,Pulotu — Database of Pacific Religions,Oceania-Australia,0.7123350200515511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A tribe,0.0
745,0.0,,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1860,950,Pulotu — Database of Pacific Religions,Oceania-Australia,0.6890569485267231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A chiefdom,0.0
749,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1800,717,Database of Religious History (DRH) [default],East Asia,0.6331895768671357,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,A state,1.0
750,,,,,,,1.0,,1.0,1.0,1850,954,Pulotu — Database of Pacific Religions,Oceania-Australia,0.6797457199167919,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A tribe,0.0
752,,,,,,,0.0,,1.0,0.0,1470,955,Database of Religious History (DRH) [default],Southeast Asia,0.3259190327394054,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,,
755,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1850,960,Database of Religious History (DRH) [default],Central Eurasia,0.6797457199167919,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,
759,,,,,,,0.0,,1.0,1.0,1855,964,eHRAF,North America,0.6844013342217574,,0.0,,0.0,,,,,0.0,,,A band,0.0
763,,,,,,,0.0,,0.0,0.0,1810,968,Pulotu — Database of Pacific Religions,Oceania-Australia,0.642500805477067,0.0,,,,0.0,0.0,0.0,0.0,,,,A tribe,0.0
766,,,,,,,0.0,,0.0,0.0,1930,971,eHRAF,South Asia,0.7542355487962417,,,,,,,,,1.0,,,,
770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1920,348,Database of Religious History (DRH) [default],Southeast Asia,0.7449243201863104,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,
788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1500,984,Database of Religious History (DRH) [default],Southwest Asia,-2.439515864410167,1.0,0.0,1.0,,1.0,0.0,1.0,0.0,0.0,,0.0,A state,1.0
794,0.0,,1.0,1.0,1.0,,0.0,,1.0,1.0,1840,986,eHRAF,North America,0.6704344913068606,,0.0,,,,,,,0.0,,,A chiefdom,0.0
834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982,1003,Database of Religious History (DRH) [default],Southeast Asia,0.802653937567884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
841,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1073,1010,Database of Religious History (DRH) [default],South Asia,-0.043736743074864,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730,1011,Database of Religious History (DRH) [default],North America,0.5680109765976172,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,A state,1.0
846,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,645,1015,Database of Religious History (DRH) [default],East Asia,-0.4422573275799203,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,A chiefdom,0.0
848,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-200,485,Database of Religious History (DRH) [default],Southwest Asia,-1.2290561451191084,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,A state,1.0
849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750,1016,Database of Religious History (DRH) [default],North America,0.5866334338174797,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,A tribe,0.0
850,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,-600,1017,Database of Religious History (DRH) [default],Europe,-1.6015052895163573,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,A tribe,0.0
851,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1899,1018,Database of Religious History (DRH) [default],North America,0.7253707401054549,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,
852,,,,,,,1.0,,1.0,1.0,-500,1019,Database of Religious History (DRH) [default],Europe,-1.5083930034170452,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,A tribe,0.0
854,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,-400,554,Database of Religious History (DRH) [default],Europe,-1.4152807173177329,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,A chiefdom,0.0
855,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,0.0,1900,1021,Database of Religious History (DRH) [default],Southwest Asia,0.7263018629664479,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,A state,1.0
857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1738,1097,Database of Religious History (DRH) [default],Africa,0.5754599594855622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
858,0.0,,1.0,1.0,0.0,0.0,,,1.0,1.0,165,1024,Database of Religious History (DRH) [default],Europe,-0.8891963008566189,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,An empire,1.0
859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,135,6,Database of Religious History (DRH) [default],Europe,-0.9171299866864128,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,A tribe,0.0
862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1907,1027,Database of Religious History (DRH) [default],South Asia,0.7328197229933998,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,
863,0.0,,1.0,1.0,,,0.0,,0.0,0.0,-550,132,Database of Religious History (DRH) [default],Europe,-1.5549491464667011,1.0,,1.0,,0.0,0.0,1.0,1.0,,1.0,,A state,1.0
867,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1200,96,Database of Religious History (DRH) [default],South Asia,0.0745158602712624,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A tribe,0.0
869,0.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,855,1031,Database of Religious History (DRH) [default],East Asia,-0.2467215267713647,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,An empire,1.0
