entry_id,entry_name,entrytag_name,tip_assigned,asjp_id,glottolog_id,glottolog_name,tip_coder,tip_confidence
633,Mādhva,Konkan Marathi,IE.INDIC.SANSKRIT,SANSKRIT,sans1269,Sanskrit,Willis Monroe,poor
645,"Meo Muslim, Mev, Mewati Muslim",Urdu,IE.INDIC.HINDI,HINDI,hind1269,Hindi,Willis Monroe,poor
649,"Worshippers at the Chidambaram Nataraja Temple, Modern Period",Tamil,Dra.SOUTHERN_DRAVIDIAN.TAMIL,TAMIL,tami1289,Tamil,Willis Monroe,medium
654,12th-13th c Cistercians,Vulgar Latin,IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Willis Monroe,medium
655,Siriono,Bolivian Spanish,Tup.TUPI_GUARANI.SIRIONO,SIRIONO,siri1273,Sirionó,Willis Monroe,good
658,Mapuche,Rioplatense Spanish,Arc.ARAUCANIAN.MAPUDUNGUN,MAPUDUNGUN,mapu1245,Mapudungun,Willis Monroe,good
661,Congregation of Savigny,Imperial Latin,IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Edward Slingerland,poor
662,Goajiro,Venezuelan Spanish,Arw.NORTHERN_ARAWAKAN.WAYUU,WAYUU,wayu1243,Wayuu,Willis Monroe,good
666,Siuai,Tok Pisin,EB.EAST_BOUGAINVILLE.MOTUNA,MOTUNA,siwa1245,Siwai,Willis Monroe,good
667,Ainu,Hokkaidō,Ain.AINU.KURIL_AINU,KURIL_AINU,ainu1240,Hokkaido Ainu,Willis Monroe,good
674,Aymara,Bolivian Spanish,Aym.AYMARAN.CENTRAL_AYMARA,CENTRAL_AYMARA,cent2142,Central Aymara,Willis Monroe,good
675,Chukchee,Ninilchik,CK.NORTHERN_CHUKOTKO_KAMCHATKAN.CHUKCHEE,CHUKCHEE,chuk1273,Chukchi,Willis Monroe,good
676,"The Order of the Holy Trinity for the Redemption of Captives, 1198-1500",Vulgar Latin,IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Willis Monroe,medium
679,Santal,Karmali,AuA.MUNDA.SANTALI,SANTALI,sant1410,Santali,Willis Monroe,good
680,Gujarati Mata Worshipers,Indian English,IE.INDIC.GUJARATI,GUJARATI,guja1252,Gujarati,Willis Monroe,good
681,Sargonic Empire,Akkadian,AA.SEMITIC.AKKADIAN,AKKADIAN,akka1240,Akkadian,Willis Monroe,good
682,Lakher,Lower Zyphe,ST.KUKI_CHIN.NAGA_MARAM,NAGA_MARAM,mara1379,Maram Naga,Willis Monroe,medium
684,Huron,Wyandot,Iro.NORTHERN_IROQUOIAN.WENDAT_HURON,WENDAT_HURON,wyan1247,Huron-Wyandot,Willis Monroe,good
685,Badjau,Simunul,An.SAMA_BAJAW.SAMAL,SAMAL,cent2092,Central Sama,Willis Monroe,poor
688,Darul Uloom Deoband,Konkan Marathi,IE.INDIC.URDU,URDU,urdu1245,Urdu,Willis Monroe,medium
689,Lengua,Enlhet Norte,Mas.MASCOIAN.LENGUA,LENGUA,sout2989,Enxet Sur,Willis Monroe,good
690,Ahl-e-Sunnat wa Jamaat,Konkan Marathi,IE.INDIC.URDU,URDU,urdu1245,Urdu,Willis Monroe,medium
691,Fur,Fur,Fur.FUR.FUR,FUR,furr1244,Fur,Willis Monroe,good
694,Eyak,Eyak,NDe.EYAK.EYAK,EYAK,eyak1241,Eyak,Willis Monroe,good
710,Hidatsa,Hidatsa,Sio.SIOUAN.HIDATSA,HIDATSA,hida1246,Hidatsa,Willis Monroe,good
711,Kwoma,Kwoma,Sep.MIDDLE_SEPIK.KWOMA,KWOMA,kwom1262,Kwoma,Willis Monroe,good
714,Tamil Śaiva Bhakti,Tamil,Dra.SOUTHERN_DRAVIDIAN.TAMIL,TAMIL,tami1289,Tamil,Willis Monroe,good
719,Hinduism in Trinidad,Trinidadian Creole English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Edward Slingerland,poor
721,Semang,Batek,AuA.ASLIAN.LANOH,LANOH,lano1248,Lanoh,Willis Monroe,poor
726,Early Śramaṇas,Paisaci Prakrit,IE.INDIC.SANSKRIT,SANSKRIT,sans1269,Sanskrit,Willis Monroe,medium
727,Raglai,Rai (Southern Roglai),An.MALAYO_SUMBAWAN.CHAM_EASTERN,CHAM_EASTERN,east2563,Eastern Cham,Willis Monroe,poor
728,Pentecost,Suru Kavian,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,poor
729,Kikuyu,Southern Gikuyu,NC.BANTOID.GIKUYU,GIKUYU,kiku1240,Kikuyu,Willis Monroe,good
732,Marquesans,Nuku Hiva,An.OCEANIC.LANGUE_DE_ISLES_MARQUISES,LANGUE_DE_ISLES_MARQUISES,nort2845,North Marquesan,Willis Monroe,good
739,Lakalai,Nakanai,An.OCEANIC.NAKANAI,NAKANAI,naka1262,Nakanai,Willis Monroe,medium
745,Buka,Hanahan,An.OCEANIC.TAIOF,TAIOF,sapo1253,Saposa,Willis Monroe,poor
749,Korean shamanism,Korean,Kor.KOREAN.KOREAN,KOREAN,kore1280,Korean,Willis Monroe,good
750,Mekeo,Northwest Mekeo,An.OCEANIC.MEKEO,MEKEO,meke1243,Mekeo,Willis Monroe,good
752,Haroi,Haroi,An.MALAYO_SUMBAWAN.CHAM_EASTERN,CHAM_EASTERN,east2563,Eastern Cham,Willis Monroe,poor
755,Uyghur Islam,Uighur,Alt.TURKIC.UYGHUR,UYGHUR,uigh1240,Uighur,Willis Monroe,good
759,Comanche,North American English,UA.NUMIC.COMANCHE,COMANCHE,coma1245,Comanche,Willis Monroe,good
763,Moriori,Moriori,An.OCEANIC.SOUTH_ISLAND_MAORI,SOUTH_ISLAND_MAORI,maor1246,Maori,Willis Monroe,good
766,Garo,Garo,ST.BODO_GARO.GARO,GARO,garo1247,Garo,Willis Monroe,good
770,Thai Forest Tradition,Northern Thai,TK.KAM_TAI.THAI,THAI,thai1261,Thai,Willis Monroe,medium
788,The Late Bronze Age City-State of Ugarit,Ugaritic,AA.SEMITIC.UGARITIC,UGARITIC,ugar1238,Ugaritic,Willis Monroe,perfect
794,Omaha,North American English,Sio.SIOUAN.OMAHA_PONCA,OMAHA_PONCA,omah1247,Omaha-Ponca,Willis Monroe,good
834,The Plum Village Sangha of Thich Nhat Hanh,Global French,AuA.VIET_MUONG.VIETNAMESE,VIETNAMESE,viet1252,Vietnamese,Willis Monroe,medium
841,Sa skya,Tibetan,ST.BODIC.TIBETAN_WRITTEN,TIBETAN_WRITTEN,tibe1272,Tibetan,Willis Monroe,medium
842,American Evangelicalism,English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,perfect
846,Xuanzang's Yogācāra Tradition,Middle Chinese,ST.CHINESE.MIDDLE_CHINESE,MIDDLE_CHINESE,midd1344,Middle Chinese,Willis Monroe,medium
848,Sadducees,Jewish Babylonian Aramaic (ca. 200-1200 CE),AA.SEMITIC.BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244,Ancient Hebrew,Willis Monroe,good
849,"""Gaiwiio Religion,"" ""Longhouse Religion,"" or ""The Way of Handsome Lake"" of the Seneca Tribe",Seneca,Iro.NORTHERN_IROQUOIAN.SENECA,SENECA,sene1264,Seneca,Willis Monroe,good
850,Pre-Christian Religion / Paganism in Gaul,Transalpine Gaulish,IE.CELTIC.OLD_IRISH,OLD_IRISH,oldi1245,Early Irish,Willis Monroe,poor
851,Sikhism in the United States,North American English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,medium
852,Pre-Christian Religion / Paganism in Ireland,Primitive Irish (4-6th century),IE.CELTIC.OLD_IRISH,OLD_IRISH,oldi1245,Early Irish,Willis Monroe,good
854,pre-Christian Irish,Middle Irish (10-12th century),IE.CELTIC.OLD_IRISH,OLD_IRISH,oldi1245,Early Irish,Willis Monroe,good
855,Middle-Class Migrant Muslims in the UAE,Arabic,AA.SEMITIC.ARABIC_GULF_SPOKEN,ARABIC_GULF_SPOKEN,gulf1241,Gulf Arabic,Willis Monroe,medium
857,Wesleyanism,Latin American Spanish,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,good
858,"The New Prophecy or ""Montanism""",Eastern Syriac,IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Willis Monroe,good
859,Valentinians,Jewish Babylonian Aramaic (ca. 200-1200 CE),IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Willis Monroe,good
862,Ilm-e-Khshnoom,Indian English,IE.INDIC.GUJARATI,GUJARATI,guja1252,Gujarati,Willis Monroe,medium
863,Orphism,Jewish Babylonian Aramaic (ca. 200-1200 CE),IE.GREEK.GREEK_ANCIENT,GREEK_ANCIENT,anci1242,Ionic-Attic Ancient Greek,Willis Monroe,good
867,Nyingma Treasure,Tibetan,ST.BODIC.TIBETAN_WRITTEN,TIBETAN_WRITTEN,tibe1272,Tibetan,Willis Monroe,good
869,Sichuan Esoteric Buddhist Cult,Classical-Middle-Modern Sinitic,ST.CHINESE.MIDDLE_CHINESE,MIDDLE_CHINESE,midd1344,Middle Chinese,Matthew Hamm,medium
870,Postsocialist Mongolian Buddhism,Mongolian,Alt.MONGOLIC.MONGOLIAN,MONGOLIAN,halh1238,Halh Mongolian,Edward Slingerland,good
871,Spiritualism,Canadian English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,good
877,The International Network of Engaged Buddhists - INEB,Thai,TK.KAM_TAI.THAI,THAI,thai1261,Thai,Willis Monroe,good
879,Free Methodist Church,,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Matthew Hamm,good
880,Egyptian Salafism (inluding North Africa and West Asia),Judeo-Yemeni Arabic,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB,TUNISIAN_ARABIC_MAGHRIB,tuni1259,Tunisian Arabic,Willis Monroe,good
882,Orphism,Jewish Babylonian Aramaic (ca. 200-1200 CE),IE.GREEK.GREEK_ANCIENT,GREEK_ANCIENT,anci1242,Ionic-Attic Ancient Greek,Willis Monroe,good
883,Catholics in the People's Republic of China (PRC),Mandarin Chinese,ST.CHINESE.MANDARIN,MANDARIN,mand1415,Mandarin Chinese,Willis Monroe,good
884,Sub Saharan Africa Pentecostalism,,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,poor
885,Contemporary West African Vodun,Ewe,NC.KWA.FONGBE,FONGBE,fonn1241,Fon,Willis Monroe,medium
886,Pushtimarg (The Path of Grace) in the UK and Gujarat,English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,medium
887,Postsocialist Mongolian Shamanism,Mongolian,Alt.MONGOLIC.MONGOLIAN,MONGOLIAN,halh1238,Halh Mongolian,Edward Slingerland,good
891,Peruvian Mormons,Andean Spanish,IE.ROMANCE.SPANISH,SPANISH,stan1288,Spanish,Willis Monroe,good
892,Charismatic Renewal Movement in Christianity - Second Wave Pentecostalism,North American English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,good
896,Sannō Shintō,Old Japanese,Jap.JAPANESE.JAPANESE,JAPANESE,nucl1643,Japanese,Edward Slingerland,poor
897,Gaengjeongyudo,Kyongsangdo,Kor.KOREAN.KOREAN,KOREAN,kore1280,Korean,Willis Monroe,good
900,Pharisees,Jewish Babylonian Aramaic (ca. 200-1200 CE),AA.SEMITIC.BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244,Ancient Hebrew,Willis Monroe,good
906,The Church of England,English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,good
910,Christian Base Community movement,Brazilian Portuguese,IE.ROMANCE.SPANISH,SPANISH,stan1288,Spanish,Willis Monroe,good
914,Tariqa Shadhiliyya,Andalusian,AA.SEMITIC.CLASSICAL_ARABIC,CLASSICAL_ARABIC,stan1318,Standard Arabic,Willis Monroe,good
915,Protestantism welcoming People with Disabilities,North American English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,good
918,Fangshi,Late Han Chinese,ST.CHINESE.OLD_CHINESE,OLD_CHINESE,oldc1244,Old Chinese,Willis Monroe,good
919,Catholicism in contemporary Croatia,Croatian Standard,IE.SLAVIC.CROATIAN,CROATIAN,croa1245,Croatian Standard,Willis Monroe,good
921,Bhils,Hindi,IE.INDIC.GUJARATI,GUJARATI,guja1252,Gujarati,Willis Monroe,poor
924,Muridiyya of Senegal,Hassaniyya,NC.NORTHERN_ATLANTIC.WOLOF,WOLOF,nucl1347,Wolof,Willis Monroe,medium
927,Zealots,Jewish Babylonian Aramaic (ca. 200-1200 CE),AA.SEMITIC.BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244,Ancient Hebrew,Willis Monroe,medium
928,The Ghost Dance Movement and the Lakota Sioux,Lakota,Sio.SIOUAN.LAKHOTA,LAKHOTA,lako1247,Lakota,Willis Monroe,good
931,The Society of Jesus (Jesuits) in Britain,English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,good
933,Marcionites,Jewish Babylonian Aramaic (ca. 200-1200 CE),IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Willis Monroe,good
934,Mongolian Buddhism during the Revolutionary Period,Mongolian,Alt.MONGOLIC.MONGOLIAN,MONGOLIAN,halh1238,Halh Mongolian,Edward Slingerland,good
935,Nigerian Pentecostalism,Yoruba,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,medium
938,Ugarit,Ugaritic,AA.SEMITIC.UGARITIC,UGARITIC,ugar1238,Ugaritic,Willis Monroe,good
940,Julio-Claudian Imperial Cult,Vulgar Latin,IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Willis Monroe,good
941,Chan Buddhists in early Qing period,Classical-Middle-Modern Sinitic,ST.CHINESE.MIDDLE_CHINESE,MIDDLE_CHINESE,midd1344,Middle Chinese,Willis Monroe,good
942,African Methodist Episcopal Church,Brazilian Portuguese,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,good
943,Moravian Missionaries in Nunatsiavut,Nunatsiavut,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,good
944,Mohyla's Ukrainian Church,Ukrainian,IE.SLAVIC.UKRAINIAN,UKRAINIAN,ukra1253,Ukrainian,Willis Monroe,good
946,Nyingma (rnying ma),Tibetan,ST.BODIC.TIBETAN_WRITTEN,TIBETAN_WRITTEN,tibe1272,Tibetan,Willis Monroe,good
948,Christianity in Ephesus,Attic,IE.GREEK.GREEK_ANCIENT,GREEK_ANCIENT,anci1242,Ionic-Attic Ancient Greek,Willis Monroe,good
949,The Church of All Worlds,Australian English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,perfect
950,The Religious Society of Friends,Bolivian Spanish,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,perfect
952,Ethiopian Jews,Kailina,AA.SEMITIC.AMHARIC,AMHARIC,amha1245,Amharic,Willis Monroe,medium
953,Sachchai,Urdu,IE.INDIC.NEPALI,NEPALI,nepa1254,Nepali,Willis Monroe,medium
957,Spartan Religion,Doric,IE.GREEK.GREEK_ANCIENT,GREEK_ANCIENT,anci1242,Ionic-Attic Ancient Greek,Willis Monroe,good
958,Society of Jesus,Latin,IE.ROMANCE.ITALIAN,ITALIAN,ital1282,Italian,Willis Monroe,good
960,Bön (Bon),Zhangzhung,ST.BODIC.TIBETAN_WRITTEN,TIBETAN_WRITTEN,tibe1272,Tibetan,Willis Monroe,good
961,Romanian Orthodox Church,Romanian,IE.ROMANCE.ROMANIAN,ROMANIAN,roma1327,Romanian,Willis Monroe,good
962,Amdo Gelukpa,Amdo Tibetan,ST.BODIC.TIBETAN_WRITTEN,TIBETAN_WRITTEN,tibe1272,Tibetan,Willis Monroe,good
963,The Knights Templar,Old French (842-ca. 1400),IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Willis Monroe,medium
964,Baul Fakirs of Bengal,Bengali,IE.INDIC.BENGALI,BENGALI,beng1280,Bengali,Willis Monroe,poor
966,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,",Farsic-Caucasian Tat,IE.IRANIAN.EASTERN_FARSI,EASTERN_FARSI,dari1249,Dari,Willis Monroe,poor
967,Unitarian Universalism,,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Matthew Hamm,perfect
969,Adi Dravida/Valluva Sakya Buddhism,Tamil,Dra.SOUTHERN_DRAVIDIAN.TAMIL,TAMIL,tami1289,Tamil,Willis Monroe,good
971,Gāṇapatya,Sanskrit,IE.INDIC.SANSKRIT,SANSKRIT,sans1269,Sanskrit,Willis Monroe,medium
972,Nestorian Christianity,Classical Syriac,AA.SEMITIC.CLASSICAL_SYRIAC,CLASSICAL_SYRIAC,clas1252,Classical Syriac,Willis Monroe,medium
973,The Sarna religion of the Oraons of Jharkhand,Sadri,AuA.MUNDA.MUNDARI,MUNDARI,mund1320,Mundari,Willis Monroe,medium
974,"Greek Chalcedonian Christians, Nicaea",Medieval Greek,IE.GREEK.GREEK_ANCIENT,GREEK_ANCIENT,anci1242,Ionic-Attic Ancient Greek,Willis Monroe,good
975,Neo-Charismatic Movement - Third Wave Charismatic Movement,North American English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,good
976,Mising Community,Assamese,ST.TANI.MISING,MISING,misi1242,Mising-Padam-Miri-Minyong,Willis Monroe,good
978,Indonesian Catholicism,Latin,An.MALAYO_SUMBAWAN.INDONESIAN,INDONESIAN,indo1316,Standard Indonesian,Willis Monroe,good
980,Pure Land Buddhist Schools in Early Medieval Japan,Japanese,Jap.JAPANESE.JAPANESE,JAPANESE,nucl1643,Japanese,Willis Monroe,medium
982,The Samaritans (Persian to early Roman periods),Samaritan,AA.SEMITIC.BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244,Ancient Hebrew,Willis Monroe,medium
983,Tibetan and Himalayan Mundane and Landscape Cults,Gyalsumdo-Nubri,ST.BODIC.TIBETAN_WRITTEN,TIBETAN_WRITTEN,tibe1272,Tibetan,Willis Monroe,good
984,Calvinism (Early/Reformation),Middle French,IE.ROMANCE.FRENCH,FRENCH,stan1290,French,Willis Monroe,good
985,The Victorines,Medieval Latin,IE.ROMANCE.FRENCH,FRENCH,stan1290,French,Willis Monroe,good
986,Theurgy,Late Latin,IE.GREEK.GREEK_ANCIENT,GREEK_ANCIENT,anci1242,Ionic-Attic Ancient Greek,Willis Monroe,good
987,"Parsis, Zoroastrians of India",Gujarati,IE.INDIC.GUJARATI,GUJARATI,guja1252,Gujarati,Willis Monroe,medium
988,Churches of Christ- United States,North American English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,perfect
989,Opus Dei,French,IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Willis Monroe,medium
991,Beat Buddhism,North American English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,perfect
993,Pontifex Maximus and Pontifices (Pontifical College),Latin,IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Willis Monroe,good
