entry_id,entry_name,year_from,year_to,region_id,world_region
580,Nāth Sampradāya,1700,2018,817,South Asia
581,Mentawai (Rereiket),1970,2018,818,Southeast Asia
582,Siamese (Central Thai),1930,1960,819,Southeast Asia
586,Kelantanese Thai Religion,1900,2017,821,Southeast Asia
588,Nyakyusa,1905,1940,822,Africa
589,Warrau,1915,1945,823,South America
590,Huayan School (Early Tang),670,712,824,East Asia
591,Koreans,1925,1950,825,East Asia
592,Veerashaivas,1200,2018,826,South Asia
594,Wolof,1925,1955,828,Africa
595,Western Samoans,1804,1840,829,Oceania-Australia
597,Confucianism - Eastern Zhou,-600,-200,467,East Asia
598,Masai,1875,1915,833,Africa
599,Lepcha,1920,1938,834,South Asia
600,Riffians,1900,1930,835,Africa
602,Amhara,1930,1960,837,Africa
604,Bambara,1890,1923,838,Africa
605,Burmese,1940,1965,839,Southeast Asia
607,Mohism,-400,-200,467,East Asia
608,Kurd,1926,1955,841,Southwest Asia
609,Tallensi,1915,1940,842,Africa
610,Somali,1900,1960,843,Africa
611,Javanese,1930,1960,844,Southeast Asia
612,Marshallese,1880,1915,845,Oceania-Australia
613,Maori,1800,1830,846,Oceania-Australia
614,!Kung,1925,1960,847,Africa
616,Balinese,1933,1960,849,Southeast Asia
618,Nuxalk,1860,1890,851,North America
619,Gilyak,1865,1900,852,Central Eurasia
620,Papago,1900,1935,853,North America
621,Haitians,1910,1935,854,North America
622,Miskito,1896,1921,855,North America
623,Diasporic American Hinduism,1893,2020,1131,North America
624,The Roshaniyya,1550,1640,857,South Asia
625,Copper Inuit,1890,1915,858,North America
626,Barama River Carib,1907,1935,859,South America
627,Tikopia,1905,1935,860,Europe
629,Newar Buddhists,1200,2018,861,South Asia
630,Aranda,1886,1913,862,Oceania-Australia
631,Cayapa,1879,1909,863,South America
632,Local Religion at Selinous,-650,-409,864,Europe
633,Mādhva,1238,2018,865,South Asia
634,Classical Daoism,-350,-100,467,East Asia
635,Ifugao,1890,1920,866,Southeast Asia
636,Balinese Śaiva priests (pedanda siwa),1500,2018,867,Southeast Asia
637,Yahgan,1900,1924,868,South America
638,Klamath,1855,1900,869,North America
639,Chinese Esoteric Buddhism (Tang Tantrism),716,900,1415,East Asia
642,The Arch of Titus,81,81,872,Europe
645,"Meo Muslim, Mev, Mewati Muslim",1100,2020,873,South Asia
646,Lakota Religious Traditions,1889,2018,894,North America
647,Havasupai,1893,1921,876,North America
648,Haida,1870,1901,877,North America
649,"Worshippers at the Chidambaram Nataraja Temple, Modern Period",700,2019,480,South Asia
650,Manus,1918,1945,878,Oceania-Australia
651,Kapauku,1930,1955,879,Southeast Asia
