entry_id,entry_name,year_from,year_to
856,Mla Bri,1980,2020
857,Wesleyanism,1738,2020
858,"The New Prophecy or ""Montanism""",165,550
859,Valentinians,135,400
860,Kimpa Vita,1704,2020
861,Mu'tazilah,700,1258
862,Ilm-e-Khshnoom,1907,2020
863,Orphism,-550,450
864,13th-15th c. Order of Preachers (Dominican Order),1214,1500
865,puritans,1550,1734
866,Taigu School,1762,1950
867,Nyingma Treasure,1200,1500
868,Deism in Stuart and Hanoverian England,1630,1750
869,Sichuan Esoteric Buddhist Cult,855,1279
870,Postsocialist Mongolian Buddhism,1990,2020
871,Spiritualism,1848,2020
872,"Seventh Day Adventist Church, United States",1863,2020
873,The Branch Davidians,1962,1993
874,Nation of Islam,1930,2020
875,Peoples Temple,1955,1978
876,"Church of Christ, Scientist",1879,2020
877,The International Network of Engaged Buddhists - INEB,1989,2022
878,Zen Buddhism in South America,1903,2020
879,Free Methodist Church,1860,2020
880,Egyptian Salafism (inluding North Africa and West Asia),1870,2015
881,The Muslim Brotherhood,1928,2013
882,Orphism,-450,425
883,Catholics in the People's Republic of China (PRC),1949,2020
884,Sub Saharan Africa Pentecostalism,1907,2022
885,Contemporary West African Vodun,-1960,2022
886,Pushtimarg (The Path of Grace) in the UK and Gujarat,1990,2020
887,Postsocialist Mongolian Shamanism,1990,2020
888,Céli Dé monks,780,900
889,Followers of Dangun,1909,2020
890,The Indigenous Religion of  the Waja (Northen Nigeria),1800,1900
891,Peruvian Mormons,1956,2020
892,Charismatic Renewal Movement in Christianity - Second Wave Pentecostalism,1960,2020
893,Sethian Gnostic,100,400
894,Universal Fellowship of Metropolitan Community Churches,1968,2020
895,Suungyo,1923,2020
896,Sannō Shintō,800,1571
897,Gaengjeongyudo,1928,2020
898,Rastafari of Jamaica,1930,2020
899,Nahdlatul Ulama (NU),1926,2020
900,Pharisees,-150,70
901,Mevlevi Sufi Order: The Disciples of Mawlana Rumi,1200,1350
902,British Isles: Christian,300,500
903,The Buddhist community on Mount Lu during early medieval China,350,450
904,Euboea/Central Macedonia: Nicaean-Chalcedonian Christianity,397,500
905,Euboea/Central Macedonia: Constantinopolitan Chalcedonian Christianity,1260,1302
906,The Church of England,1963,2020
907,Tsumpa,1236,2020
908,Sino-Christian Theology,1980,2020
910,Christian Base Community movement,1968,1998
911,Italy: Roman Catholic Christianity,1260,1302
912,Ganden Monastery (Dga' ldan),1409,1959
913,The United Society of Believers in Christ's Second Appearing,1830,2020
914,Tariqa Shadhiliyya,1258,2020
915,Protestantism welcoming People with Disabilities,2000,2020
916,Italy: Roman Catholic Christianity II,1530,2017
917,British Isles: Predominantly Celtic Polytheism,-500,-50
918,Fangshi,-475,220
919,Catholicism in contemporary Croatia,1995,2020
920,Buddhist Sites in Ladakh,842,2020
921,Bhils,1700,2020
922,British Isles: Mixed Roman and British Polytheism,-50,400
923,British Isles: Introduction of Early Christianity through the End of Columban/Irish Christianity,200,700
924,Muridiyya of Senegal,1853,2022
925,Rabbinic Judaism (Babylonia),220,650
926,Ladakhi Buddhism,842,2020
927,Zealots,0,74
928,The Ghost Dance Movement and the Lakota Sioux,1860,1910
929,Drikung Kagyu,1143,2020
931,The Society of Jesus (Jesuits) in Britain,1580,2020
932,Congregation of Jesus,1609,2020
933,Marcionites,144,1000
934,Mongolian Buddhism during the Revolutionary Period,1911,1940
935,Nigerian Pentecostalism,1910,2020
936,Branwen Spector,1920,2020
937,Vestal Virgins,-800,394
938,Ugarit,-1600,-1185
939,Goodenough and Fergusson Islanders,1875,1900
940,Julio-Claudian Imperial Cult,-31,68
941,Chan Buddhists in early Qing period,1600,1700
942,African Methodist Episcopal Church,1816,2020
943,Moravian Missionaries in Nunatsiavut,1752,2020
944,Mohyla's Ukrainian Church,1620,1700
945,Vasco-Aquitanian Religion,100,400
946,Nyingma (rnying ma),700,1959
947,Sarna of Jharkand,1980,2019
948,Christianity in Ephesus,120,300
949,The Church of All Worlds,1963,2020
950,The Religious Society of Friends,1652,2020
951,Ethiopian Jews,1980,2020
952,Ethiopian Jews,1980,2020
953,Sachchai,1975,2020
954,The 'Sarna' religion follower in Jharkhand,1945,2018
955,British Isles: Augustinian/Roman Christianity,600,800
956,Iron Age Britain: Mid to Late Pre-Roman Iron Age,-500,-55
957,Spartan Religion,-800,-300
958,Society of Jesus,1540,1773
959,Iron Age Britain: Romano-Celtic Era,-55,286
960,Bön (Bon),1000,2020
961,Romanian Orthodox Church,1885,2020
962,Amdo Gelukpa,1400,2000
963,The Knights Templar,1119,1312
964,Baul Fakirs of Bengal,1800,2020
965,Pachomian Monasticism,323,548
966,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,",1318,2020
967,Unitarian Universalism,1825,2020
968,"Anabaptist Mennonites in North America, 1683-2021",1683,2021
969,Adi Dravida/Valluva Sakya Buddhism,1891,1940
970,Cult of Isis (Mysteries of Isis),-323,500
971,Gāṇapatya,500,2020
972,Nestorian Christianity,431,1500
973,The Sarna religion of the Oraons of Jharkhand,1845,2019
974,"Greek Chalcedonian Christians, Nicaea",1204,1261
975,Neo-Charismatic Movement - Third Wave Charismatic Movement,1980,2020
976,Mising Community,1187,2019
977,Chishti Sufis,1200,2020
978,Indonesian Catholicism,1500,2020
979,Early Irish Christianity,600,900
980,Pure Land Buddhist Schools in Early Medieval Japan,1175,1333
981,Nation of Islam,1930,2020
982,The Samaritans (Persian to early Roman periods),-499,100
983,Tibetan and Himalayan Mundane and Landscape Cults,600,2020
984,Calvinism (Early/Reformation),1520,1565
985,The Victorines,1108,1299
986,Theurgy,150,529
987,"Parsis, Zoroastrians of India",1600,2020
988,Churches of Christ- United States,1832,2020
989,Opus Dei,1928,2020
990,Niue,1823,1848
991,Beat Buddhism,1944,1969
