entry_id,circumcision,dress,extra_ritual_group_markers,food_taboos,hair,ornaments,permanent_scarring,tattoos_scarification,violent_external,year_from,region_id,world_region,year_scaled
871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1848,1033,Europe,0.6335845686748567
877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989,1542,Southeast Asia,0.7642366336107389
879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1860,1103,Africa,0.6447038933502509
880,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1870,1038,Southwest Asia,0.6539699972464128
882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-450,1040,Europe,-1.4957661066631378
883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949,1132,Central Eurasia,0.7271722180260914
884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1907,1041,Africa,0.6882545816622117
885,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1960,1071,Africa,0.7373649323118695
886,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1990,1042,Europe,0.7651632440003551
887,0.0,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,1990,1043,Central Eurasia,0.7651632440003551
891,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1956,1047,South America,0.7336584907534047
892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960,1018,North America,0.7373649323118695
896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800,1050,East Asia,-0.3375031196429058
897,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1928,717,East Asia,0.7077133998441516
900,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-150,485,Southwest Asia,-1.2177829897782821
903,,,,,,,,,0.0,350,1055,East Asia,-0.7544777949701893
906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963,725,Europe,0.740144763480718
910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968,1062,North America,0.744777815428799
914,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1258,1064,Africa,0.08688443880130721
915,,,,,,,0.0,,0.0,2000,1065,North America,0.774429347896517
919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995,1068,Europe,0.769796295948436
921,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1700,1070,South Asia,0.49644623101166124
924,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1853,1072,Africa,0.6382176206229376
927,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,485,Southwest Asia,-1.0787914313358542
928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1860,1075,North America,0.6447038933502509
931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1580,1078,Europe,0.385252984257719
933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,1080,Europe,-0.9453595352311236
934,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1911,1081,Central Eurasia,0.6919610232206764
935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1910,1082,Africa,0.6910344128310603
938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1600,1084,Southwest Asia,-2.5613680547217514
940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-31,132,Europe,-1.107516353413956
941,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1600,1087,East Asia,0.4037851920500427
942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1816,1095,Africa,0.6039330362071388
943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1752,1091,North America,0.5446299712717029
944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1620,1101,Europe,0.4223173998423664
945,,,,,,,,,0.0,100,1106,Europe,-0.9861303923742357
946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,700,1129,South Asia,-0.43016415860452434
948,,,,,,,0.0,,0.0,120,1094,Southwest Asia,-0.967598184581912
949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963,1096,North America,0.740144763480718
950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1652,1125,Africa,0.45196893231008434
952,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1980,1104,Southwest Asia,0.7558971401041932
953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1975,1140,South Asia,0.7512640881561122
957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-800,1142,Europe,-1.8200797430288027
958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1540,498,Europe,0.3481885686730716
960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,1107,South Asia,-0.15218104171966867
961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1885,1108,Europe,0.6678691530906555
962,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1400,1109,East Asia,0.21846311412680558
963,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1119,1110,Europe,-0.041914405355342584
966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1318,1113,Central Eurasia,0.14248106217827836
967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1825,1123,Europe,0.6122725297136844
969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891,1117,South Asia,0.6734288154283526
971,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,500,1135,South Asia,-0.6154862365277615
972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,431,1121,Southwest Asia,-0.6794223534112783
973,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1845,1136,South Asia,0.6308047375060082
974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1204,1124,Southwest Asia,0.03684747776203319
975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980,1018,North America,0.7558971401041932
976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187,1133,South Asia,0.021095101138558038
978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1053,Southeast Asia,0.3111241530884241
980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175,1141,East Asia,0.00997577646316381
982,1.0,,1.0,1.0,,,1.0,0.0,1.0,-499,1138,Southwest Asia,-1.5411700157543309
983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,600,1107,South Asia,-0.5228251975661429
984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1520,1139,Europe,0.32965636088074785
985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108,1143,Europe,-0.05210711964112062
986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,1144,Europe,-0.9397998728934265
987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600,1145,South Asia,0.4037851920500427
988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1832,1146,North America,0.6187588024409978
989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928,1147,Europe,0.7077133998441516
991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944,1149,North America,0.7225391660780105
993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-712,872,Europe,-1.7385380287425785
994,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,330,1150,Africa,-0.773010002762513
997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2950,535,Africa,-3.812292080703602
1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-200,1158,Europe,-1.2641135092590914
1006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2670,535,Africa,-3.55284117161107
1010,,,,,,,0.0,,0.0,-530,1163,Europe,-1.5698949378324327
1011,1.0,,1.0,1.0,,,,,1.0,-800,1208,Southwest Asia,-1.8200797430288027
1013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1510,1165,South Asia,0.320390256984586
1015,,,,,,,,,1.0,-4000,517,Africa,-4.785232989800597
1028,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,1100,1173,Europe,-0.05952000275805011
1037,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1100,535,Africa,-2.0980628599136586
1038,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1644,1183,East Asia,0.44455604919315483
1039,,,,,,,,,1.0,-1550,1184,Africa,-2.515037535240942
1041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600,1188,East Asia,0.4037851920500427
1043,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1500,1187,Southeast Asia,0.3111241530884241
1044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-141,89,East Asia,-1.2094434962717364
1051,,,,,,,0.0,,1.0,-1960,1296,Africa,-2.8949477949835782
1060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1225,East Asia,0.3111241530884241
1069,,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,-1504,1207,Africa,-2.4724134573185976
1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001,1435,Africa,0.7753559582861331
1076,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1560,1166,South Asia,0.36672077646539525
1083,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1625,1227,South Asia,0.4269504517904473
