entry_id,violent_external,extra_ritual_group_markers,year_scaled,world_region,tip_name
1041,0,0,0.4474322119279751,East Asia,Kor.KOREAN.KOREAN
1043,1,1,0.3545850257600847,Southeast Asia,An.MALAYO_SUMBAWAN.ACEH
1044,0,0,-1.1690372992549969,East Asia,ST.CHINESE.OLD_CHINESE
1060,0,0,0.3545850257600847,East Asia,ST.CHINESE.SUZHOU_WU
1069,0,1,-2.434544446723343,Africa,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN
1071,0,0,0.8197494284612157,Africa,IE.ROMANCE.PORTUGUESE
1076,1,1,0.410293337460819,South Asia,IE.ROMANCE.LATIN
1083,0,1,0.4706440084699477,South Asia,ST.BODIC.TIBETAN_WRITTEN
1087,1,0,-0.1384335327914132,Europe,IE.SLAVIC.BULGARIAN
1127,0,0,0.7166890518148573,East Asia,Kor.KOREAN.KOREAN
1129,1,0,-1.688053069933504,Europe,IE.GREEK.GREEK_ANCIENT
1134,0,1,-0.5386049051750209,East Asia,ST.CHINESE.MIDDLE_CHINESE
1140,0,0,-0.8338589571889123,East Asia,ST.CHINESE.MIDDLE_CHINESE
1154,0,0,0.3545850257600847,East Asia,ST.CHINESE.MANDARIN
1162,0,0,-0.6667340220867096,East Asia,ST.CHINESE.MIDDLE_CHINESE
1172,0,1,-0.5738868359188193,East Asia,ST.CHINESE.MIDDLE_CHINESE
1178,0,0,0.8160355410145,South America,IE.ROMANCE.FRENCH
1180,1,1,0.4474322119279751,Southeast Asia,An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.BATAK_ANGKOLA
1191,0,1,-1.3166643252619423,Africa,AA.SEMITIC.BIBLICAL_HEBREW
1192,1,1,0.7677550042071971,Southeast Asia,An.BARITO.SAMIHIM
1220,1,0,0.1011122075217439,Central Eurasia,Alt.MONGOLIC.MONGOLIAN
1229,0,0,0.7723973635155916,Central Eurasia,ST.CHINESE.MANDARIN
1231,0,1,-0.0168037189114768,East Asia,ST.CHINESE.MANDARIN
1241,0,0,0.6674800431458754,East Asia,ST.CHINESE.HAKKA
1247,0,1,0.7120466925064628,North America,IE.ROMANCE.FRENCH
1248,0,0,-2.86906927798907,Southwest Asia,AA.SEMITIC.AKKADIAN
1249,0,0,-1.311093494091869,Europe,IE.GREEK.GREEK
1250,0,1,-0.2489216843312028,Southwest Asia,AA.SEMITIC.IRAQ_MUSLIM_BAGHDAD_ARABIC
1258,1,1,-1.9665946284371751,Southwest Asia,AA.SEMITIC.BIBLICAL_HEBREW
1259,0,0,0.0760434672564135,Central Eurasia,ST.CHINESE.MANDARIN
1268,1,1,-0.7038728965538659,Southwest Asia,AA.SEMITIC.SABEAN
1279,1,1,0.4409329088962228,Southeast Asia,An.SOUTH_SULAWESI.MANDAR
1283,1,1,0.3545850257600847,Southeast Asia,An.CELEBIC.WOLIO
