entry_id,violent_external,hair,year_scaled,world_region,tip_name,ID,Glottocode
1247,0,0,0.7120466925064628,North America,IE.ROMANCE.FRENCH,FRENCH,stan1290
1248,0,0,-2.86906927798907,Southwest Asia,AA.SEMITIC.AKKADIAN,AKKADIAN,akka1240
1249,0,0,-1.311093494091869,Europe,IE.GREEK.GREEK,GREEK,mode1248
1258,1,0,-1.9665946284371751,Southwest Asia,AA.SEMITIC.BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244
1279,1,0,0.4409329088962228,Southeast Asia,An.SOUTH_SULAWESI.MANDAR,MANDAR,mand1442
1289,1,0,0.3545850257600847,Southeast Asia,An.SOUTH_SULAWESI.SOPPENG_BUGINESE,SOPPENG_BUGINESE,bugi1244
1295,1,0,-0.7493680177761322,Africa,IE.ROMANCE.LATIN,LATIN,lati1261
1300,1,0,0.8095362379827478,North America,IE.ROMANCE.SPANISH,SPANISH,stan1288
1303,0,0,-2.3379833731087367,Southwest Asia,AA.SEMITIC.AKKADIAN_2,AKKADIAN_2,akka1240
1304,0,0,0.7027619738896738,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
1307,0,0,0.6749078180393067,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
1311,0,1,0.6981196145812792,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
1333,0,0,-0.8988519875064357,Europe,AA.SEMITIC.CLASSICAL_SYRIAC,CLASSICAL_SYRIAC,clas1252
1335,0,1,0.4242204153860026,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
1344,0,0,0.6702654587309121,East Asia,ST.BODIC.LHASA_TIBETAN,LHASA_TIBETAN,tibe1272
1348,1,0,0.8299626189396836,Southwest Asia,AA.SEMITIC.HEBREW,HEBREW,hebr1245
1352,0,0,-1.0362658230349135,South Asia,IE.INDIC.SANSKRIT,SANSKRIT,sans1269
1371,1,1,0.7993230475042798,Southwest Asia,IE.IRANIAN.PERSIAN,PERSIAN,west2369
1374,1,0,0.410293337460819,Europe,IE.ROMANCE.FRENCH,FRENCH,stan1290
1376,0,1,0.7259737704316463,Africa,NC.BANTOID.NGONI_2,NGONI_2,zulu1248
1392,0,0,-0.7038728965538659,Southwest Asia,AA.SEMITIC.SYRIAC_2,SYRIAC_2,clas1252
1396,0,0,-1.320378212708658,Africa,An.OCEANIC.NATI,NATI,
1400,1,1,-0.7595812082546001,East Asia,IE.TOCHARIAN.COMMON_TOCHARIAN,COMMON_TOCHARIAN,
1412,0,0,0.6684085150075544,Central Eurasia,Jap.JAPANESE.TOKYO_JAPANESE,TOKYO_JAPANESE,nucl1643
1415,1,0,-0.7131576151706549,Europe,Tot.TOTONACAN.TOTONAC_TEJERIA,TOTONAC_TEJERIA,
1433,0,0,-0.8060048013385452,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
1495,0,0,0.8160355410145,Europe,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
1511,1,1,0.6368404717104716,Africa,AA.WEST_CHADIC.HAUSA_2,HAUSA_2,haus1257
1517,0,0,0.759398757452087,Africa,IE.ROMANCE.FRENCH,FRENCH,stan1290
1522,1,0,0.6154856188918568,Africa,Hur.HUARPE.ALLENTIAC,ALLENTIAC,
1544,1,0,0.4437183244812595,Europe,IE.SLAVIC.POLISH,POLISH,poli1260
1555,1,0,0.7909668007491697,Southwest Asia,An.NORTHWEST_FORMOSAN.PAZEH,PAZEH,
1570,0,1,0.7259737704316463,South Asia,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
1574,0,0,-2.895066490116079,Southwest Asia,AA.SEMITIC.AKKADIAN_2,AKKADIAN_2,akka1240
1619,1,0,0.0760434672564135,Europe,AA.SEMITIC.AKKADIAN_2,AKKADIAN_2,akka1240
1621,1,0,0.5402793980958656,Europe,AA.SEMITIC.AKKADIAN,AKKADIAN,akka1240
