entry_id,entry_name,answer_value,world_region_simple
1293,The Zapotec or Ben 'Zaa (The Cloud People),1,Americas
1289,Buginese Muslims,1,Asia
1288,Bailadeiras of Goa,1,Asia
1284,Religion of Phoenicia,1,Asia
1283,Butonese Muslims,1,Asia
1281,Otoro Nuba,1,Africa
1279,Mandarese Muslims,1,Asia
1268,Monotheistic Pre-Islamic South Arabia,1,Asia
1264,Judeans in Babylonia,1,Asia
1263,Judean/Yehudite Colony at Elephantine (Persian period),1,Africa
1259,"The LuWang School, the School of Lu Xiangshan and Wang Yangming",1,Europe
1258,Religion in Judah,1,Asia
1257,Ammonite Religion,1,Asia
1251,Tsonga,1,Africa
1250,Hanbalism,1,Asia
1249,Cult of the Egyptian Gods at Demetrias,1,Europe
1248,Religion in the Old Assyrian Period,1,Asia
1247,Exovedate,1,Americas
1246,Shilluk,1,Africa
1241,Taiping 太平 Movement,1,Asia
1240,Azande,1,Africa
1234,Ashanti,1,Africa
1231,"Shenxiao 神霄 (""Divine Empyrean"") Daoism",1,Asia
1229,Three Self Patriotic Movement (TSPM),1,Europe
1228,Lesu,1,Oceania-Australia
1227,Polytheistic Pre-Islamic South Arabia,1,Africa
1223,Toda,1,Asia
1220,The Cult of Chinggis Khan (a.k.a. Genghis Khan) in Mongolia,1,Europe
1210,Mende,1,Africa
1199,Tiv,1,Africa
1197,Atheism in the Soviet Union,1,Europe
1196,K’iche’ (Quiché),1,Americas
1192,Kaharingan,1,Asia
1191,Religion in Greco-Roman Alexandria,1,Africa
1190,Ancient state of Urartu,1,Asia
1189,Yādiya/Sam'al,1,Asia
1187,Sanctuary at Tell Damiyah,1,Asia
1183,Religion at Nippur in the Ur III period,1,Asia
1180,Batak Traditional Religions,1,Asia
1178,Modern Mystery School (MMS),1,Americas
1175,Religion in Northern Hejaz,1,Asia
1172,Twofold Mystery (Chongxuan 重玄),1,Asia
1162,Lingbao dafa,1,Asia
1156,Solovetski monastery,1,Europe
1154,The Cult of the Fox,1,Asia
1153,Russian Orthodox Mission in Alaska,1,Americas
1149,Christianity in Tang China,1,Asia
1140,Early Medieval Confucianism,1,Asia
1136,The Fellowship of Goodness 同善社 (Tongshanshe),1,Asia
1134,Tiantai,1,Asia
1133,Religion in Greco-Roman Egypt,1,Africa
1129,Ancient Thessalians,1,Europe
1127,Anglican Church of Korea,1,Asia
1125,Ancient Egypt - the Ramesside Period,1,Africa
1110,Twana,1,Americas
1109,Chan Buddhism in the Song,1,Asia
1108,Early Christianity and Monasticism in Egypt,1,Asia
1101,Natchez,1,Americas
1087,The Bogomils,1,Europe
1083,Drukpa Kagyü School (Bhutan),1,Asia
1076,Inquisitors of Goa's Santo Ofício,1,Asia
