entry_id,entrytag_path,ids,depth
190,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382]->Tamil-Kota[6773]->Tamil-Toda[8325]->Tamil-Irula[9751]->Tamil-Kodagu[10977]->Tamil-Malayalam[11959],"[1747, 1908, 2492, 4058, 5382, 6773, 8325, 9751, 10977, 11959]",10
190,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Dhivehi-Sinhala[8296]->Sinhalaic[9714],"[1747, 1904, 2479, 4034, 5357, 6751, 8296, 9714]",8
190,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382],"[1747, 1908, 2492, 4058, 5382]",5
190,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357],"[1747, 1904, 2479, 4034, 5357]",5
190,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058],"[1747, 1908, 2492, 4058]",4
190,Language[1747]->Dravidian[1908]->South Dravidian[2492],"[1747, 1908, 2492]",3
190,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382]->Tamil-Kota[6773]->Tamil-Toda[8325]->Tamil-Irula[9751]->Tamil-Kodagu[10977],"[1747, 1908, 2492, 4058, 5382, 6773, 8325, 9751, 10977]",9
190,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Dhivehi-Sinhala[8296]->Sinhalaic[9714]->Sinhala[10936],"[1747, 1904, 2479, 4034, 5357, 6751, 8296, 9714, 10936]",9
190,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382]->Tamil-Kota[6773]->Tamil-Toda[8325]->Tamil-Irula[9751],"[1747, 1908, 2492, 4058, 5382, 6773, 8325, 9751]",8
190,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382]->Tamil-Kota[6773]->Tamil-Toda[8325],"[1747, 1908, 2492, 4058, 5382, 6773, 8325]",7
190,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Dhivehi-Sinhala[8296],"[1747, 1904, 2479, 4034, 5357, 6751, 8296]",7
190,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751],"[1747, 1904, 2479, 4034, 5357, 6751]",6
190,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034],"[1747, 1904, 2479, 4034]",4
190,Language[1747]->Indo-European[1904],"[1747, 1904]",2
190,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382]->Tamil-Kota[6773]->Tamil-Toda[8325]->Tamil-Irula[9751]->Tamil-Kodagu[10977]->Tamil-Malayalam[11959]->Tamiloid[12845]->Tamil-Paliyan[13570],"[1747, 1908, 2492, 4058, 5382, 6773, 8325, 9751, 10977, 11959, 12845, 13570]",12
190,Language[1747]->Dravidian[1908],"[1747, 1908]",2
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406]->Sindhi-Lahnda[30754]->Lahnda[32525]->Siraikic[34110]->Saraiki[35896],"[1747, 1904, 2479, 4034, 5357, 29406, 30754, 32525, 34110, 35896]",10
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406]->Sindhi-Lahnda[30754]->Eastern Panjabic[32524]->Eastern Panjabi[34108]->Powadhi[35890],"[1747, 1904, 2479, 4034, 5357, 29406, 30754, 32524, 34108, 35890]",10
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406]->Sindhi-Lahnda[30754]->Lahnda[32525]->Western Panjabi[34113],"[1747, 1904, 2479, 4034, 5357, 29406, 30754, 32525, 34113]",9
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406]->Sindhi-Lahnda[30754]->Lahnda[32525],"[1747, 1904, 2479, 4034, 5357, 29406, 30754, 32525]",8
